id_startu	rok	id_zawodnika	kod_grupy	obywatel_kraju
75	2008	55	C.A	Rosja
76	2008	174	C.A	Francja
77	2008	190	C.A	Kazachstan
78	2008	220	C.A	Australia
79	2008	355	C.A	Francja
80	2008	456	C.A	Francja
81	2008	496	C.A	Australia
82	2008	152	QST	Belgia
83	2008	31	QST	Hiszpania
84	2008	91	QST	Wlochy
85	2008	134	QST	Holandia
86	2008	177	QST	Wlochy
87	2008	514	QST	Belgia
88	2008	559	QST	Belgia
89	2008	582	QST	Wlochy
90	2008	604	QST	Belgia
91	2008	150	ALM	Francja
92	2008	13	ALM	Hiszpania
93	2008	162	ALM	Francja
94	2008	297	ALM	Rosja
95	2008	171	ALM	Szwajcaria
96	2008	202	ALM	Francja
97	2008	231	ALM	Francja
98	2008	498	ALM	Francja
99	2008	599	ALM	Slowenia
100	2008	537	GST	Niemcy
101	2008	192	GST	Niemcy
102	2008	193	GST	Niemcy
103	2008	252	GST	Niemcy
104	2008	324	GST	Austria
105	2008	333	GST	Niemcy
106	2008	348	GST	Niemcy
107	2008	535	GST	Niemcy
108	2008	647	GST	Niemcy
109	2008	420	AGR	Francja
110	2008	53	AGR	Francja
111	2008	95	AGR	Francja
112	2008	181	AGR	Francja
113	2008	229	AGR	Hiszpania
114	2008	291	AGR	Francja
115	2008	359	AGR	Francja
116	2008	361	AGR	Francja
117	2008	640	AGR	Francja
118	2008	405	TLJ	Rosja
119	2008	188	TLJ	Hiszpania
120	2008	196	TLJ	Hiszpania
121	2008	349	TLJ	Holandia
122	2008	410	TLJ	Holandia
123	2008	486	TLJ	Holandia
124	2008	571	TLJ	Holandia
125	2008	573	TLJ	Holandia
126	2008	645	TLJ	Holandia
127	2008	180	DEN	Francja
128	2008	114	DEN	Holandia
129	2008	189	DEN	Hiszpania
130	2008	357	DEN	Francja
131	2008	473	DEN	Francja
132	2008	557	DEN	Francja
133	2008	584	DEN	Rosja
134	2008	586	DEN	Szwajcaria
135	2008	639	DEN	Francja
136	2008	661	MRM	Niemcy
137	2008	234	MRM	Niemcy
138	2008	323	MRM	Niemcy
139	2008	346	MRM	Australia
140	2008	427	MRM	Niemcy
141	2008	536	MRM	Niemcy
142	2008	574	MRM	Holandia
143	2008	627	MRM	Slowacja
144	2008	629	MRM	Wlochy
145	2008	94	GFC	Francja
146	2008	102	GFC	Francja
147	2008	153	GFC	Francja
148	2008	218	GFC	Francja
149	2008	226	GFC	Belgia
150	2008	298	GFC	Francja
151	2008	353	GFC	Francja
152	2008	518	GFC	Francja
153	2008	622	GFC	Francja
154	2008	499	GEO	Wlochy
155	2008	49	GEO	Szwajcaria
156	2008	115	GEO	Hiszpania
157	2008	137	GEO	Hiszpania
158	2008	144	GEO	Hiszpania
159	2008	233	GEO	Hiszpania
160	2008	301	GEO	Hiszpania
161	2008	452	GEO	Francja
162	2008	472	GEO	Wlochy
163	2008	101	COF	Francja
164	2008	19	COF	Francja
165	2008	72	COF	Francja
166	2008	158	COF	Francja
167	2008	161	COF	Francja
168	2008	163	COF	Kolumbia
169	2008	414	COF	Francja
170	2008	411	COF	Francja
171	2008	416	COF	Belgia
172	2008	614	EFD	Stany Zjednoczone
173	2008	23	EFD	Szwecja
174	2008	140	EFD	Nowa Zelandia
175	2008	197	EFD	Stany Zjednoczone
176	2008	259	EFD	Kanada
177	2008	373	EFD	Australia
178	2008	377	EFD	Holandia
179	2008	406	EFD	Wielka Brytania
180	2008	453	EFD	Stany Zjednoczone
181	2009	528	CTT	Hiszpania
182	2009	125	CTT	Hiszpania
183	2009	385	CTT	Hiszpania
184	2009	278	CTT	Ukraina
185	2009	252	CTT	Niemcy
186	2009	277	CTT	Norwegia
187	2009	320	CTT	Niemcy
188	2009	346	CTT	Australia
189	2009	515	CTT	Nowa Zelandia
190	2009	176	LTS	Australia
191	2009	145	LTS	Francja
192	2009	348	LTS	Niemcy
193	2009	365	LTS	Australia
194	2009	531	LTS	Belgia
195	2009	602	LTS	Belgia
196	2009	605	LTS	Belgia
197	2009	621	LTS	Belgia
198	2009	646	LTS	Wielka Brytania
199	2009	117	AST	Hiszpania
200	2009	10	AST	Stany Zjednoczone
201	2009	321	AST	Niemcy
202	2009	358	AST	Stany Zjednoczone
203	2009	428	AST	Kazachstan
204	2009	455	AST	Portugalia
205	2009	482	AST	Ukraina
206	2009	493	AST	Szwajcaria
207	2009	667	AST	Hiszpania
208	2009	534	TNK	Luksemburg
209	2009	16	TNK	Norwegia
210	2009	85	TNK	Szwajcaria
211	2009	351	TNK	Szwecja
212	2009	443	TNK	Australia
213	2009	533	TNK	Luksemburg
214	2009	554	TNK	Dania
215	2009	553	TNK	Dania
216	2009	641	TNK	Niemcy
217	2009	405	TLJ	Rosja
218	2009	114	TLJ	Holandia
219	2009	188	TLJ	Hiszpania
220	2009	196	TLJ	Hiszpania
221	2009	206	TLJ	Hiszpania
222	2009	223	TLJ	Holandia
223	2009	437	TLJ	Niemcy
224	2009	486	TLJ	Holandia
225	2009	573	TLJ	Holandia
226	2009	614	EFD	Stany Zjednoczone
227	2009	140	EFD	Nowa Zelandia
228	2009	178	EFD	Stany Zjednoczone
229	2009	259	EFD	Kanada
230	2009	377	EFD	Holandia
231	2009	406	EFD	Wielka Brytania
232	2009	453	EFD	Stany Zjednoczone
233	2009	650	EFD	Wielka Brytania
234	2009	662	EFD	Stany Zjednoczone
235	2009	17	EUS	Hiszpania
236	2009	7	EUS	Hiszpania
237	2009	184	EUS	Hiszpania
238	2009	391	EUS	Hiszpania
239	2009	446	EUS	Hiszpania
240	2009	461	EUS	Hiszpania
241	2009	462	EUS	Hiszpania
242	2009	590	EUS	Hiszpania
243	2009	632	EUS	Hiszpania
244	2009	98	THR	Wielka Brytania
245	2009	169	THR	Austria
246	2009	235	THR	Niemcy
247	2009	261	THR	Stany Zjednoczone
248	2009	316	THR	Luksemburg
249	2009	388	THR	Niemcy
250	2009	416	THR	Belgia
251	2009	496	THR	Australia
252	2009	506	THR	Australia
253	2009	297	ALM	Rosja
254	2009	13	ALM	Hiszpania
255	2009	150	ALM	Francja
256	2009	162	ALM	Francja
257	2009	231	ALM	Francja
258	2009	415	ALM	Francja
259	2009	439	ALM	Wlochy
260	2009	498	ALM	Francja
261	2009	503	ALM	Irlandia
262	2009	458	CAN	Wlochy
263	2009	41	CAN	Wlochy
264	2009	334	CAN	Czechy
265	2009	339	CAN	Bialorus
266	2009	435	CAN	Wlochy
267	2009	520	CAN	Wlochy
268	2009	613	CAN	Dania
269	2009	618	CAN	Wlochy
270	2009	651	CAN	Belgia
271	2009	94	GFC	Francja
272	2009	119	GFC	Francja
273	2009	224	GFC	Francja
274	2009	279	GFC	Bialorus
275	2009	300	GFC	Francja
276	2009	355	GFC	Francja
277	2009	518	GFC	Francja
278	2009	622	GFC	Francja
279	2009	624	GFC	Finlandia
280	2009	460	MOV	Hiszpania
281	2009	14	MOV	Hiszpania
282	2009	121	MOV	Portugalia
283	2009	123	MOV	Francja
284	2009	244	MOV	Hiszpania
285	2009	450	MOV	Hiszpania
286	2009	509	MOV	Hiszpania
287	2009	524	MOV	Hiszpania
288	2009	592	MOV	Kolumbia
289	2009	414	COF	Francja
290	2009	19	COF	Francja
291	2009	161	COF	Francja
292	2009	163	COF	Kolumbia
293	2009	185	COF	Hiszpania
294	2009	311	COF	Francja
295	2009	407	COF	Francja
296	2009	411	COF	Francja
297	2009	456	COF	Francja
298	2009	27	UAD	Wlochy
299	2009	28	UAD	Wlochy
300	2009	77	UAD	Wlochy
301	2009	201	UAD	Wlochy
302	2009	369	UAD	Szwajcaria
303	2009	501	UAD	Wlochy
304	2009	525	UAD	Wlochy
305	2009	527	UAD	Polska
306	2009	556	UAD	Slowenia
307	2009	639	DEN	Francja
308	2009	8	DEN	Japonia
309	2009	59	DEN	Francja
310	2009	180	DEN	Francja
311	2009	246	DEN	Francja
312	2009	357	DEN	Francja
313	2009	471	DEN	Francja
314	2009	510	DEN	Francja
315	2009	584	DEN	Rosja
316	2009	101	QST	Francja
317	2009	31	QST	Hiszpania
318	2009	63	QST	Belgia
319	2009	134	QST	Holandia
320	2009	152	QST	Belgia
321	2009	473	QST	Francja
322	2009	514	QST	Belgia
323	2009	582	QST	Wlochy
324	2009	604	QST	Belgia
325	2009	306	KAT	Rosja
326	2009	55	KAT	Rosja
327	2009	267	KAT	Hiszpania
328	2009	282	KAT	Rosja
329	2009	288	KAT	Rosja
330	2009	430	KAT	Wlochy
331	2009	487	KAT	Wlochy
332	2009	585	KAT	Rosja
333	2009	615	KAT	Belgia
334	2009	420	AGR	Francja
335	2009	65	AGR	Francja
336	2009	84	AGR	Francja
337	2009	182	AGR	Francja
338	2009	181	AGR	Francja
339	2009	229	AGR	Hiszpania
340	2009	359	AGR	Francja
341	2009	361	AGR	Francja
342	2009	640	AGR	Francja
343	2009	219	MRM	Niemcy
344	2009	110	MRM	Niemcy
345	2009	193	MRM	Niemcy
346	2009	198	MRM	Niemcy
347	2009	323	MRM	Niemcy
348	2009	574	MRM	Holandia
349	2009	627	MRM	Slowacja
350	2009	647	MRM	Niemcy
351	2009	654	MRM	Austria
352	2009	360	SUN	Francja
353	2009	45	SUN	Japonia
354	2009	135	SUN	Holandia
355	2009	222	SUN	Niemcy
356	2009	262	SUN	Francja
357	2009	276	SUN	Francja
358	2009	511	SUN	Holandia
359	2009	579	SUN	Holandia
360	2009	608	SUN	Holandia
361	2010	117	AST	Hiszpania
362	2010	137	AST	Hiszpania
363	2010	272	AST	Ukraina
364	2010	256	AST	Hiszpania
365	2010	281	AST	Kazachstan
366	2010	433	AST	Hiszpania
367	2010	441	AST	Hiszpania
368	2010	580	AST	Wlochy
369	2010	652	AST	Kazachstan
370	2010	534	TNK	Luksemburg
371	2010	74	TNK	Dania
372	2010	85	TNK	Szwajcaria
373	2010	200	TNK	Dania
374	2010	443	TNK	Australia
375	2010	533	TNK	Luksemburg
376	2010	554	TNK	Dania
377	2010	553	TNK	Dania
378	2010	641	TNK	Niemcy
379	2010	10	RSH	Stany Zjednoczone
380	2010	68	RSH	Slowenia
381	2010	266	RSH	Stany Zjednoczone
382	2010	321	RSH	Niemcy
383	2010	358	RSH	Stany Zjednoczone
384	2010	428	RSH	Kazachstan
385	2010	455	RSH	Portugalia
386	2010	482	RSH	Ukraina
387	2010	493	RSH	Szwajcaria
388	2010	650	SKY	Wielka Brytania
389	2010	32	SKY	Kanada
390	2010	126	SKY	Wielka Brytania
391	2010	188	SKY	Hiszpania
392	2010	220	SKY	Australia
393	2010	248	SKY	Norwegia
394	2010	372	SKY	Szwecja
395	2010	457	SKY	Belgia
396	2010	577	SKY	Wielka Brytania
397	2010	34	CAN	Wlochy
398	2010	37	CAN	Wlochy
399	2010	329	CAN	Slowenia
400	2010	334	CAN	Czechy
401	2010	339	CAN	Bialorus
402	2010	447	CAN	Wlochy
403	2010	492	CAN	Wlochy
404	2010	567	CAN	Polska
405	2010	613	CAN	Dania
406	2010	614	EFD	Stany Zjednoczone
407	2010	140	EFD	Nowa Zelandia
408	2010	178	EFD	Stany Zjednoczone
409	2010	259	EFD	Kanada
410	2010	275	EFD	Poludniowa Afryka
411	2010	377	EFD	Holandia
412	2010	406	EFD	Wielka Brytania
413	2010	621	EFD	Belgia
414	2010	662	EFD	Stany Zjednoczone
415	2010	355	GFC	Francja
416	2010	94	GFC	Francja
417	2010	153	GFC	Francja
418	2010	224	GFC	Francja
419	2010	343	GFC	Francja
420	2010	516	GFC	Francja
421	2010	518	GFC	Francja
422	2010	564	GFC	Australia
423	2010	622	GFC	Francja
424	2010	306	KAT	Rosja
425	2010	78	KAT	Rosja
426	2010	288	KAT	Rosja
427	2010	325	KAT	Rosja
428	2010	397	KAT	Australia
429	2010	477	KAT	Moldawia
430	2010	504	KAT	Hiszpania
431	2010	615	KAT	Belgia
432	2010	653	KAT	Rosja
433	2010	503	ALM	Irlandia
434	2010	65	ALM	Francja
435	2010	99	ALM	Francja
436	2010	171	ALM	Szwajcaria
437	2010	202	ALM	Francja
438	2010	359	ALM	Francja
439	2010	415	ALM	Francja
440	2010	439	ALM	Wlochy
441	2010	498	ALM	Francja
442	2010	528	CTT	Hiszpania
443	2010	189	CTT	Hiszpania
444	2010	278	CTT	Ukraina
445	2010	274	CTT	Wielka Brytania
446	2010	277	CTT	Norwegia
447	2010	320	CTT	Niemcy
448	2010	327	CTT	Litwa
449	2010	346	CTT	Australia
450	2010	366	CTT	Wielka Brytania
451	2010	605	LTS	Belgia
452	2010	2	LTS	Belgia
453	2010	133	LTS	Belgia
454	2010	145	LTS	Francja
455	2010	348	LTS	Niemcy
456	2010	365	LTS	Australia
457	2010	422	LTS	Hiszpania
458	2010	505	LTS	Belgia
459	2010	646	LTS	Wielka Brytania
460	2010	98	THR	Wielka Brytania
461	2010	169	THR	Austria
462	2010	235	THR	Niemcy
463	2010	250	THR	Australia
464	2010	388	THR	Niemcy
465	2010	416	THR	Belgia
466	2010	496	THR	Australia
467	2010	506	THR	Australia
468	2010	548	THR	Bialorus
469	2010	176	BMC	Australia
470	2010	27	BMC	Wlochy
471	2010	61	BMC	Stany Zjednoczone
472	2010	81	BMC	Niemcy
473	2010	195	BMC	Szwajcaria
474	2010	261	BMC	Stany Zjednoczone
475	2010	336	BMC	Holandia
476	2010	419	BMC	Szwajcaria
477	2010	525	BMC	Wlochy
478	2010	101	QST	Francja
479	2010	31	QST	Hiszpania
480	2010	139	QST	Belgia
481	2010	151	QST	Belgia
482	2010	473	QST	Francja
483	2010	494	QST	Wlochy
484	2010	538	QST	Belgia
485	2010	604	QST	Belgia
486	2010	655	QST	Belgia
487	2010	219	MRM	Niemcy
488	2010	110	MRM	Niemcy
489	2010	198	MRM	Niemcy
490	2010	322	MRM	Niemcy
491	2010	323	MRM	Niemcy
492	2010	502	MRM	Australia
493	2010	508	MRM	Austria
494	2010	574	MRM	Holandia
495	2010	647	MRM	Niemcy
496	2010	639	DEN	Francja
497	2010	8	DEN	Japonia
498	2010	100	DEN	Francja
499	2010	180	DEN	Francja
500	2010	214	DEN	Francja
501	2010	510	DEN	Francja
502	2010	557	DEN	Francja
503	2010	589	DEN	Francja
504	2010	640	DEN	Francja
505	2010	524	MOV	Hiszpania
506	2010	121	MOV	Portugalia
507	2010	175	MOV	Hiszpania
508	2010	244	MOV	Hiszpania
509	2010	317	MOV	Bialorus
510	2010	420	MOV	Francja
511	2010	464	MOV	Francja
512	2010	476	MOV	Hiszpania
513	2010	509	MOV	Hiszpania
514	2010	568	COF	Estonia
515	2010	19	COF	Francja
516	2010	161	COF	Francja
517	2010	170	COF	Francja
518	2010	311	COF	Francja
519	2010	407	COF	Francja
520	2010	411	COF	Francja
521	2010	417	COF	Francja
522	2010	456	COF	Francja
523	2010	523	EUS	Hiszpania
524	2010	287	EUS	Hiszpania
525	2010	391	EUS	Hiszpania
526	2010	446	EUS	Hiszpania
527	2010	461	EUS	Hiszpania
528	2010	462	EUS	Hiszpania
529	2010	590	EUS	Hiszpania
530	2010	626	EUS	Hiszpania
531	2010	632	EUS	Hiszpania
532	2010	405	TLJ	Rosja
533	2010	62	TLJ	Holandia
534	2010	196	TLJ	Hiszpania
535	2010	206	TLJ	Hiszpania
536	2010	223	TLJ	Holandia
537	2010	410	TLJ	Holandia
538	2010	437	TLJ	Niemcy
539	2010	571	TLJ	Holandia
540	2010	581	TLJ	Holandia
541	2010	127	UAD	Wlochy
542	2010	58	UAD	Slowenia
543	2010	129	UAD	Wlochy
544	2010	215	UAD	Wlochy
545	2010	264	UAD	Niemcy
546	2010	370	UAD	Wlochy
547	2010	381	UAD	Wlochy
548	2010	466	UAD	Wlochy
549	2010	556	UAD	Slowenia
550	2010	88	GEO	Wlochy
551	2010	40	GEO	Hiszpania
552	2010	90	GEO	Portugalia
553	2010	164	GEO	Hiszpania
554	2010	168	GEO	Austria
555	2010	183	GEO	Wlochy
556	2010	395	GEO	Hiszpania
557	2010	463	GEO	Hiszpania
558	2010	600	GEO	Hiszpania
559	2011	117	TNK	Hiszpania
560	2011	256	TNK	Hiszpania
561	2011	433	TNK	Hiszpania
562	2011	441	TNK	Hiszpania
563	2011	485	TNK	Australia
564	2011	554	TNK	Dania
565	2011	553	TNK	Dania
566	2011	582	TNK	Wlochy
567	2011	613	TNK	Dania
568	2011	534	TFS	Luksemburg
569	2011	85	TFS	Szwajcaria
570	2011	200	TFS	Dania
571	2011	219	TFS	Niemcy
572	2011	416	TFS	Belgia
573	2011	443	TFS	Australia
574	2011	486	TFS	Holandia
575	2011	533	TFS	Luksemburg
576	2011	641	TFS	Niemcy
577	2011	523	EUS	Hiszpania
578	2011	290	EUS	Hiszpania
579	2011	391	EUS	Hiszpania
580	2011	461	EUS	Hiszpania
581	2011	462	EUS	Hiszpania
582	2011	590	EUS	Hiszpania
583	2011	593	EUS	Hiszpania
584	2011	626	EUS	Hiszpania
585	2011	632	EUS	Hiszpania
586	2011	605	LTS	Belgia
587	2011	226	LTS	Belgia
588	2011	236	LTS	Niemcy
589	2011	348	LTS	Niemcy
590	2011	505	LTS	Belgia
591	2011	544	LTS	Niemcy
592	2011	604	LTS	Belgia
593	2011	616	LTS	Belgia
594	2011	651	LTS	Belgia
595	2011	223	TLJ	Holandia
596	2011	31	TLJ	Hiszpania
597	2011	62	TLJ	Holandia
598	2011	206	TLJ	Hiszpania
599	2011	413	TLJ	Holandia
600	2011	437	TLJ	Niemcy
601	2011	524	TLJ	Hiszpania
602	2011	573	TLJ	Holandia
603	2011	581	TLJ	Holandia
604	2011	277	EFD	Norwegia
605	2011	130	EFD	Stany Zjednoczone
606	2011	140	EFD	Nowa Zelandia
607	2011	178	EFD	Stany Zjednoczone
608	2011	259	EFD	Kanada
609	2011	406	EFD	Wielka Brytania
610	2011	432	EFD	Litwa
611	2011	614	EFD	Stany Zjednoczone
612	2011	662	EFD	Stany Zjednoczone
613	2011	652	AST	Kazachstan
614	2011	153	AST	Francja
615	2011	190	AST	Kazachstan
616	2011	272	AST	Ukraina
617	2011	281	AST	Kazachstan
618	2011	334	AST	Czechy
619	2011	580	AST	Wlochy
620	2011	595	AST	Litwa
621	2011	665	AST	Kazachstan
622	2011	68	RSH	Slowenia
623	2011	266	RSH	Stany Zjednoczone
624	2011	285	RSH	Hiszpania
625	2011	321	RSH	Niemcy
626	2011	358	RSH	Stany Zjednoczone
627	2011	428	RSH	Kazachstan
628	2011	455	RSH	Portugalia
629	2011	482	RSH	Ukraina
630	2011	667	RSH	Hiszpania
631	2011	14	MOV	Hiszpania
632	2011	5	MOV	Kostaryka
633	2011	121	MOV	Portugalia
634	2011	175	MOV	Hiszpania
635	2011	244	MOV	Hiszpania
636	2011	284	MOV	Hiszpania
637	2011	317	MOV	Bialorus
638	2011	509	MOV	Hiszpania
639	2011	631	MOV	Hiszpania
640	2011	34	CAN	Wlochy
641	2011	56	CAN	Polska
642	2011	329	CAN	Slowenia
643	2011	368	CAN	Wlochy
644	2011	447	CAN	Wlochy
645	2011	454	CAN	Polska
646	2011	520	CAN	Wlochy
647	2011	567	CAN	Polska
648	2011	618	CAN	Wlochy
649	2011	503	ALM	Irlandia
650	2011	65	ALM	Francja
651	2011	162	ALM	Francja
652	2011	202	ALM	Francja
653	2011	260	ALM	Francja
654	2011	304	ALM	Francja
655	2011	407	ALM	Francja
656	2011	459	ALM	Francja
657	2011	498	ALM	Francja
658	2011	650	SKY	Wielka Brytania
659	2011	188	SKY	Hiszpania
660	2011	220	SKY	Australia
661	2011	248	SKY	Norwegia
662	2011	323	SKY	Niemcy
663	2011	566	SKY	Wielka Brytania
664	2011	577	SKY	Wielka Brytania
665	2011	592	SKY	Kolumbia
666	2011	664	SKY	Hiszpania
667	2011	101	QST	Francja
668	2011	63	QST	Belgia
669	2011	110	QST	Niemcy
670	2011	139	QST	Belgia
671	2011	151	QST	Belgia
672	2011	172	QST	Holandia
673	2011	473	QST	Francja
674	2011	559	QST	Belgia
675	2011	574	QST	Holandia
676	2011	94	GFC	Francja
677	2011	59	GFC	Francja
678	2011	145	GFC	Francja
679	2011	296	GFC	Francja
680	2011	400	GFC	Belgia
681	2011	456	GFC	Francja
682	2011	516	GFC	Francja
683	2011	518	GFC	Francja
684	2011	634	GFC	Francja
685	2011	176	BMC	Australia
686	2011	61	BMC	Stany Zjednoczone
687	2011	81	BMC	Niemcy
688	2011	261	BMC	Stany Zjednoczone
689	2011	411	BMC	Francja
690	2011	419	BMC	Szwajcaria
691	2011	492	BMC	Wlochy
692	2011	526	BMC	Wlochy
693	2011	530	BMC	Szwajcaria
694	2011	568	COF	Estonia
695	2011	80	COF	Francja
696	2011	161	COF	Francja
697	2011	163	COF	Kolumbia
698	2011	170	COF	Francja
699	2011	205	COF	Francja
700	2011	414	COF	Francja
701	2011	597	COF	Francja
702	2011	666	COF	Belgia
703	2011	127	UAD	Wlochy
704	2011	48	UAD	Wlochy
705	2011	58	UAD	Slowenia
706	2011	60	UAD	Wlochy
707	2011	264	UAD	Niemcy
708	2011	330	UAD	Ukraina
709	2011	369	UAD	Szwajcaria
710	2011	381	UAD	Wlochy
711	2011	466	UAD	Wlochy
712	2011	98	THR	Wielka Brytania
713	2011	25	THR	Dania
714	2011	169	THR	Austria
715	2011	230	THR	Australia
716	2011	388	THR	Niemcy
717	2011	453	THR	Stany Zjednoczone
718	2011	496	THR	Australia
719	2011	607	THR	Stany Zjednoczone
720	2011	627	THR	Slowacja
721	2011	639	DEN	Francja
722	2011	100	DEN	Francja
723	2011	214	DEN	Francja
724	2011	216	DEN	Francja
725	2011	299	DEN	Francja
726	2011	311	DEN	Francja
727	2011	490	DEN	Francja
728	2011	510	DEN	Francja
729	2011	589	DEN	Francja
730	2011	306	KAT	Rosja
731	2011	78	KAT	Rosja
732	2011	203	KAT	Rosja
733	2011	243	KAT	Rosja
734	2011	282	KAT	Rosja
735	2011	286	KAT	Rosja
736	2011	325	KAT	Rosja
737	2011	545	KAT	Rosja
738	2011	584	KAT	Rosja
739	2011	181	VCD	Francja
740	2011	67	VCD	Slowenia
741	2011	132	VCD	Belgia
742	2011	265	VCD	Holandia
743	2011	362	VCD	Belgia
744	2011	384	VCD	Wlochy
745	2011	478	VCD	Holandia
746	2011	519	VCD	Holandia
747	2011	649	VCD	Holandia
748	2011	119	SOJ	Francja
749	2011	123	SOJ	Francja
750	2011	146	SOJ	Francja
751	2011	174	SOJ	Francja
752	2011	204	SOJ	Francja
753	2011	262	SOJ	Francja
754	2011	295	SOJ	Francja
755	2011	382	SOJ	Francja
756	2011	569	SOJ	Francja
757	2012	176	BMC	Australia
758	2012	81	BMC	Niemcy
759	2012	126	BMC	Wielka Brytania
760	2012	226	BMC	Belgia
761	2012	261	BMC	Stany Zjednoczone
762	2012	411	BMC	Francja
763	2012	492	BMC	Wlochy
764	2012	530	BMC	Szwajcaria
765	2012	607	BMC	Stany Zjednoczone
766	2012	533	TFS	Luksemburg
767	2012	85	TFS	Szwajcaria
768	2012	205	TFS	Francja
769	2012	266	TFS	Stany Zjednoczone
770	2012	321	TFS	Niemcy
771	2012	416	TFS	Belgia
772	2012	482	TFS	Ukraina
773	2012	641	TFS	Niemcy
774	2012	667	TFS	Hiszpania
775	2012	639	DEN	Francja
776	2012	8	DEN	Japonia
777	2012	47	DEN	Francja
778	2012	214	DEN	Francja
779	2012	216	DEN	Francja
780	2012	299	DEN	Francja
781	2012	311	DEN	Francja
782	2012	380	DEN	Wlochy
783	2012	510	DEN	Francja
784	2012	523	EUS	Hiszpania
785	2012	17	EUS	Hiszpania
786	2012	21	EUS	Hiszpania
787	2012	290	EUS	Hiszpania
788	2012	391	EUS	Hiszpania
789	2012	462	EUS	Hiszpania
790	2012	590	EUS	Hiszpania
791	2012	593	EUS	Hiszpania
792	2012	632	EUS	Hiszpania
793	2012	529	UAD	Wlochy
794	2012	58	UAD	Slowenia
795	2012	264	UAD	Niemcy
796	2012	338	UAD	Francja
797	2012	365	UAD	Australia
798	2012	392	UAD	Wlochy
799	2012	466	UAD	Wlochy
800	2012	561	UAD	Wlochy
801	2012	636	UAD	Wlochy
802	2012	435	CAN	Wlochy
803	2012	34	CAN	Wlochy
804	2012	87	CAN	Wlochy
805	2012	329	CAN	Slowenia
806	2012	434	CAN	Niemcy
807	2012	447	CAN	Wlochy
808	2012	521	CAN	Slowacja
809	2012	567	CAN	Polska
810	2012	618	CAN	Wlochy
811	2012	259	EFD	Kanada
812	2012	130	EFD	Stany Zjednoczone
813	2012	178	EFD	Stany Zjednoczone
814	2012	275	EFD	Poludniowa Afryka
815	2012	390	EFD	Irlandia
816	2012	406	EFD	Wielka Brytania
817	2012	621	EFD	Belgia
818	2012	614	EFD	Stany Zjednoczone
819	2012	662	EFD	Stany Zjednoczone
820	2012	459	ALM	Francja
821	2012	65	ALM	Francja
822	2012	105	ALM	Francja
823	2012	162	ALM	Francja
824	2012	260	ALM	Francja
825	2012	304	ALM	Francja
826	2012	407	ALM	Francja
827	2012	498	ALM	Francja
828	2012	503	ALM	Irlandia
829	2012	568	COF	Estonia
830	2012	153	COF	Francja
831	2012	161	COF	Francja
832	2012	167	COF	Francja
833	2012	194	COF	Francja
834	2012	225	COF	Belgia
835	2012	393	COF	Hiszpania
