id_zawodnika	imie	nazwisko	data
86	Jonathan	Cantwell	1982-01-08
87	Federico	Canuti	1985-08-30
88	Eros	Capecchi	1986-06-13
89	Felix	Cardenas	1973-11-24
90	Manuel Antonio	Cardoso	1983-04-07
91	Matteo	Carrara	1979-03-25
92	Giampaolo	Caruso	1980-08-15
93	Damiano	Caruso	1987-10-12
94	Sandy	Casar	1979-02-02
95	Jimmy	Casper	1978-05-28
96	Jonathan	Castroviejo	1987-04-27
97	Dario	Cataldo	1985-03-17
98	Mark	Cavendish	1985-05-21
99	Dimitri	Champion	1983-09-06
100	Anthony	Charteau	1979-06-04
101	Sylvain	Chavanel	1979-06-30
102	Sebastien	Chavanel	1981-03-21
103	Esteban	Chaves	1990-01-17
104	Ji	Cheng	1987-07-15
105	Mikael	Cherel	1986-03-17
106	Giampaolo	Cheula	1979-05-23
107	Francesco	Chicchi	1980-11-27
108	Davide	Cimolai	1989-08-13
109	Ondrej	Cink	1990-12-07
110	Gerald	Ciolek	1986-09-19
111	Dario	Cioni	1974-12-02
112	Dimitri	Claeys	1987-06-18
113	Simon	Clarke	1986-07-18
114	Stef	Clement	1982-09-24
115	Juan Jose	Cobo	1981-02-21
116	Sonny	Colbrelli	1990-05-17
117	Alberto	Contador	1982-12-06
118	Baden	Cooke	1978-10-12
119	Jerome	Coppel	1986-08-06
120	Bryan	Coquard	1992-04-25
121	Rui	Costa	1986-10-05
122	Jerome	Cousin	1989-06-05
123	Arnaud	Coyot	1980-10-06
124	Lawson	Craddock	1992-02-20
125	Inigo	Cuesta	1969-06-03
126	Steve	Cummings	1981-03-19
127	Damiano	Cunego	1981-09-19
128	Roy	Curvers	1979-12-27
129	Mauro	Da Dalto	1981-04-08
130	Tom	Danielson	1978-03-13
131	Bart	De Clercq	1986-08-26
132	Thomas	De Gendt	1986-11-06
133	Francis	De Greef	1985-02-02
134	Steven	De Jongh	1973-11-25
135	Koen	de Kort	1982-09-08
136	David	de la Cruz	1989-05-06
137	David	de la Fuente	1981-05-04
138	Alessandro	De Marchi	1986-05-19
139	Kevin	De Weert	1982-05-27
140	Julian	Dean	1975-01-28
141	Jens	Debusschere	1989-08-28
142	Thomas	Degand	1986-05-13
143	John	Degenkolb	1989-01-07
144	Jesus	Del Nero	1982-03-16
145	Mickael	Delage	1985-08-06
146	Anthony	Delaplace	1989-09-11
147	Arnaud	Demare	1991-08-26
148	Zak	Dempster	1987-09-27
149	Rohan	Dennis	1990-05-28
150	Cyril	Dessel	1974-11-29
151	Dries	Devenyns	1983-07-22
152	Stijn	Devolder	1979-08-29
153	Remy	Di Gregorio	1985-07-31
154	Laurent	Didier	1984-07-19
155	Axel	Domont	1990-08-07
156	Alex	Dowsett	1988-10-03
157	Antoine	Duchesne	1991-09-12
158	Herve	Duclos-Lassalle	1979-12-24
159	Moises	Duenas	1981-05-10
160	Tom	Dumoulin	1990-11-11
161	Samuel	Dumoulin	1980-08-20
162	Hubert	Dupont	1980-11-13
163	Leonardo	Duque	1980-04-10
164	Arkaitz	Duran	1986-05-19
165	Kristijan	Durasek	1987-07-26
166	Luke	Durbridge	1991-04-09
167	Nicolas	Edet	1987-12-02
168	Markus	Eibegger	1984-10-16
169	Bernhard	Eisel	1981-02-17
170	Julien	El Fares	1985-06-01
171	Martin	Elmiger	1978-09-23
172	Addy	Engels	1977-06-16
173	Sondre Holst	Enger	1993-12-17
174	Jimmy	Engoulvent	1979-12-07
175	Imanol	Erviti	1983-11-15
176	Cadel	Evans	1977-02-14
177	Mauro	Facci	1982-05-11
178	Tyler	Farrar	1984-06-02
179	Elia	Favilli	1989-01-31
180	Pierrick	Fedrigo	1978-11-30
181	Romain	Feillu	1984-04-16
182	Brice	Feillu	1985-07-26
183	Fabio	Felline	1990-03-29
184	Koldo	Fernandez	1981-09-13
185	Bingen	Fernandez	1972-12-15
186	Roberto	Ferrari	1983-03-09
187	Murilo	Fischer	1979-06-16
188	Juan Antonio	Flecha	1977-09-17
189	Xavier	Florencio	1979-12-26
190	Dmitrij	Fofonow	1976-08-15
191	Armindo	Fonseca	1989-05-01
192	Robert	Forster	1978-01-27
193	Markus	Fothen	1981-09-09
194	Julien	Fouchard	1986-06-20
195	Mathias	Frank	1986-12-09
196	Oscar	Freire	1976-02-15
197	Will	Frischkorn	1981-06-10
198	Johannes	Frohlinger	1985-06-09
199	Chris	Froome	1985-05-20
200	Jakob	Fuglsang	1985-03-22
201	Angelo	Furlan	1977-06-21
202	John	Gadret	1979-04-22
203	Dienis	Galimzianow	1987-03-07
204	Jeremie	Galland	1983-04-08
205	Tony	Gallopin	1988-05-24
206	Juan Manuel	Garate	1976-04-24
207	Jose Vicente	Garcia	1972-08-04
208	Egoitz	Garcia	1986-03-31
209	David Lopez	Garcia	1981-05-13
210	Enrico	Gasparotto	1982-03-22
211	Ben	Gastauer	1987-11-14
212	Oscar	Gatto	1985-01-01
213	Damien	Gaudin	1986-08-20
214	Cyril	Gautier	1987-09-26
215	Francesco	Gavazzi	1984-08-01
216	Yohann	Gene	1981-06-25
217	Alexandre	Geniez	1988-04-16
218	Arnaud	Gerard	1984-10-06
219	Linus	Gerdemann	1982-09-16
220	Simon	Gerrans	1980-05-16
221	Elie	Gesbert	1995-07-01
222	Simon	Geschke	1986-03-13
223	Robert	Gesink	1986-05-31
224	Anthony	Geslin	1980-06-09
225	Jan	Ghyselinck	1988-02-24
226	Philippe	Gilbert	1982-07-05
227	Michael	Gogl	1993-11-04
228	Michal	Golas	1984-04-29
229	Eduardo	Gonzalo	1983-08-25
230	Matthew	Goss	1986-11-05
231	Stephane	Goubert	1970-03-13
232	Alexis	Gougeard	1993-03-05
233	Angel	Gomez	1981-05-13
234	Ralf	Grabsch	1973-04-07
235	Bert	Grabsch	1975-06-19
236	Andre	Greipel	1982-07-16
237	Patrick	Gretsch	1987-04-07
238	Tsgabu	Grmay	1991-08-25
239	Dylan	Groenewegen	1993-06-21
240	Dmitriy	Gruzdev	1986-03-13
241	Jacopo	Guarnieri	1987-08-14
242	Florian	Guillou	1982-12-29
243	Wladimir	Gusiew	1982-07-04
244	Jose Ivan	Gutierrez	1978-11-27
245	Nathan	Haas	1989-03-12
246	Said	Haddou	1982-11-23
247	Juan Jose	Haedo	1981-01-26
248	Edvald Boasson	Hagen	1987-05-17
249	Marco	Haller	1991-04-01
250	Adam	Hansen	1981-05-11
251	Romain	Hardy	1988-08-24
252	Heinrich	Haussler	1984-02-25
253	Mathew	Hayman	1978-04-20
254	Sergio	Henao	1987-12-10
255	Greg	Henderson	1976-09-10
256	Jesus	Hernandez	1981-09-28
257	Jose	Herrada	1985-10-01
258	Jesus	Herrada	1990-07-26
259	Ryder	Hesjedal	1980-12-09
260	Sebastien	Hinault	1974-02-11
261	George	Hincapie	1973-06-29
262	Jonathan	Hivert	1985-03-23
263	Reto	Hollenstein	1985-08-22
264	Danilo	Hondo	1974-01-04
265	Johnny	Hoogerland	1983-05-13
266	Chris	Horner	1971-10-23
267	Joan	Horrach	1974-03-27
268	Leif	Hoste	1977-07-17
269	Leigh	Howard	1989-10-18
270	Alex	Howes	1988-01-01
271	Damien	Howson	1992-08-13
272	Andrij	Hriwko	1983-08-07
273	Yann	Huguet	1984-05-02
274	Jeremy	Hunt	1974-03-12
275	Robert	Hunter	1977-04-22
276	Thierry	Hupond	1984-11-10
277	Thor	Hushovd	1978-01-18
278	Volodymir	Hustov	1977-02-15
279	Jauhienij	Hutarowicz	1983-11-29
280	Bartosz	Huzarski	1980-10-27
281	Maksim	Iglinski	1981-04-18
282	Michail	Ignatjew	1985-05-07
283	Daryl	Impey	1984-12-06
284	Benat	Intxausti	1986-03-20
285	Markel	Irizar	1980-02-05
286	Wladimir	Isajczew	1986-04-21
287	Inaki	Isasi	1977-04-20
288	Siergiej	Iwanow	1975-03-05
289	Jon	Izagirre	1989-02-04
290	Gorka	Izagirre	1987-10-07
291	Nicolas	Jalabert	1973-04-13
292	Reinardt	Janse van Rensburg	1989-02-03
293	Jacques	Janse van Rensburg	1987-09-06
294	Benoit	Jarrier	1989-02-01
295	Fabrice	Jeandesboz	1984-12-04
296	Arnold	Jeannesson	1986-01-15
297	Wladimir	Jefimkin	1981-12-02
298	Lilian	Jegou	1976-01-20
299	Vincent	Jerome	1984-11-26
300	Sebastien	Joly	1979-06-25
301	Josep	Jufre	1975-08-05
302	Bob	Jungels	1992-09-22
303	Christopher	Juul-Jensen	1989-07-06
304	Blel	Kadri	1986-09-03
305	Tanel	Kangert	1987-03-11
306	Wladimir	Karpiec	1980-09-20
307	Andriej	Kaszeczkin	1980-03-21
308	Iljo	Keisse	1982-12-21
309	Wilco	Kelderman	1991-03-25
310	Peter	Kennaugh	1989-06-15
311	Christophe	Kern	1981-01-18
312	Fredrik	Kessiakoff	1980-05-17
313	Jens	Keukeleire	1988-11-23
314	Ted	King	1983-01-31
315	Ben	King	1989-03-22
316	Kim	Kirchen	1978-07-03
317	Wasil	Kiryjenka	1981-06-28
318	Robert	Kiserlovski	1986-08-09
319	Marcel	Kittel	1988-05-11
320	Andreas	Klier	1976-01-15
321	Andreas	Kloden	1975-06-22
322	Roger	Kluge	1986-02-05
323	Christian	Knees	1981-03-05
324	Bernhard	Kohl	1982-01-04
325	Aleksandr	Kolobniew	1981-05-04
326	Leopold	Konig	1987-11-15
327	Ignatas	Konovalovas	1985-12-08
328	Patrick	Konrad	1991-10-13
329	Kristijan	Koren	1986-11-25
330	Denys	Kostyuk	1982-03-13
331	Bakhtiyar	Kozhatayev	1992-03-28
332	Dmitry	Kozonchuk	1984-04-05
333	Sven	Krauss	1983-01-06
334	Roman	Kreuziger	1986-05-06
335	Alexander	Kristoff	1987-07-05
336	Karsten	Kroon	1976-01-29
337	Steven	Kruijswijk	1987-06-07
338	Jurij	Krywcow	1979-02-07
339	Alaksandr	Kuczynski	1979-10-27
340	Merhawi	Kudus	1994-01-23
341	Stefan	Kung	1993-11-16
342	Michal	Kwiatkowski	1990-06-02
343	Matthieu	Ladagnous	1984-12-12
344	Vegard Stake	Laengen	1989-02-07
345	Maurits	Lammertink	1990-08-31
346	Brett	Lancaster	1979-11-15
347	Mikel	Landa	1989-12-13
348	Sebastian	Lang	1979-09-15
349	Sebastian	Langeveld	1985-01-17
350	Christophe	Laporte	1992-12-11
351	Gustav	Larsson	1980-09-20
352	Pierre	Latour	1993-10-12
353	Yoann	Le Boulanger	1975-11-04
354	Olivier	Le Gac	1993-08-27
355	Christophe	Le Mevel	1980-09-11
356	Tom	Leezer	1985-12-26
357	Laurent	Lefevre	1976-07-02
358	Levi	Leipheimer	1973-10-24
359	David	Lelay	1979-12-30
360	Cyril	Lemoine	1983-03-03
361	Geoffroy	Lequatre	1981-06-30
362	Bjorn	Leukemans	1977-07-01
363	Guillaume	Levarlet	1985-07-25
364	Bert-Jan	Lindeman	1989-06-16
365	Matthew	Lloyd	1983-05-24
366	Daniel	Lloyd	1980-08-11
367	Juan Jose	Lobato	1988-12-30
368	Paolo	Longo Borghini	1980-12-10
369	David	Loosli	1980-05-08
370	Mirco	Lorenzetto	1981-07-13
371	Alberto	Losada	1982-02-28
372	Thomas	Lovkvist	1984-04-04
373	Trent	Lowe	1984-10-08
374	Anders	Lund	1985-02-14
375	Siergiej	Lagutin	1981-01-14
376	Aleksiej	Lucenko	1992-09-07
377	Martijn	Maaskant	1983-07-27
378	Tiago	Machado	1985-10-18
379	Rafal	Majka	1989-09-12
380	Davide	Malacarne	1987-07-11
381	Adriano	Malori	1988-01-28
382	Laurent	Mangel	1981-05-22
383	Alan	Marangoni	1984-07-16
384	Marco	Marcato	1984-02-11
385	Jose Angel Gomez	Marchante	1980-05-30
386	Jean-Marc	Marino	1983-08-15
387	Paul	Martens	1983-10-26
388	Tony	Martin	1985-04-23
389	Guillaume	Martin	1993-06-09
390	Daniel	Martin	1986-08-20
391	Egoi	Martinez	1978-05-15
392	Marco	Marzano	1980-06-10
393	Luis Angel	Mate	1984-03-23
394	Michael	Matthews	1990-09-26
395	Iban	Mayoz	1981-09-30
396	Jay	McCarthy	1992-09-08
397	Robbie	McEwen	1972-06-24
398	Daniel	McLay	1992-01-03
399	Maxime	Mederel	1980-09-19
400	Gianni	Meersman	1985-12-05
401	Christian	Meier	1985-02-21
402	Louis	Meintjes	1992-02-21
403	Jose	Mendes	1985-04-24
404	Cameron	Meyer	1988-01-11
405	Dienis	Mienszow	1978-01-25
406	David	Millar	1977-01-04
407	Sebastien	Minard	1982-06-12
408	Marco	Minnaard	1989-04-11
409	Sacha	Modolo	1987-06-19
410	Koos	Moerenhout	1973-11-05
411	Amael	Moinard	1982-02-02
412	Rudy	Molard	1989-09-17
413	Bauke	Mollema	1986-11-26
414	David	Moncoutie	1975-04-30
415	Lloyd	Mondory	1982-04-26
416	Maxime	Monfort	1983-01-14
417	Damien	Monier	1982-08-27
418	Matteo	Montaguti	1984-01-06
419	Steve	Morabito	1983-01-30
420	Christophe	Moreau	1971-04-12
421	Javier	Moreno	1984-07-18
422	Daniel	Moreno	1981-09-05
423	Massimiliano	Mori	1974-01-08
424	Manuele	Mori	1980-09-08
425	Michael	Morkov	1985-04-30
426	Moreno	Moser	1990-12-25
427	Martin	Muller	1974-04-05
428	Dmitrij	Murawjow	1979-11-02
429	Oliver	Naesen	1990-09-16
430	Danilo	Napolitano	1981-01-31
431	Bryan	Nauleau	1988-03-13
432	Ramunas	Navardauskas	1988-01-30
433	Daniel	Navarro	1983-07-18
434	Dominik	Nerz	1989-08-25
435	Vincenzo	Nibali	1984-11-14
436	Przemyslaw	Niemiec	1980-04-11
437	Grischa	Niermann	1975-11-03
438	Mikel	Nieve	1984-05-26
439	Rinaldo	Nocentini	1977-09-25
440	Lars Petter	Nordhaug	1984-05-14
441	Benjamin	Noval	1979-01-23
442	Nick	Nuyens	1980-05-05
443	Stuart	O'Grady	1973-08-06
444	Yoann	Offredo	1986-11-12
445	Nelson	Oliveira	1989-03-06
446	Juan Jose	Oroz	1980-07-11
447	Daniel	Oss	1987-01-13
448	Jarlinson	Pantano	1988-11-19
449	Luca	Paolini	1977-01-17
450	Luis	Pasamontes	1979-10-02
451	Andrea	Pasqualon	1988-01-02
452	Aurelien	Passeron	1984-01-19
453	Danny	Pate	1979-03-23
454	Maciej	Paterski	1986-09-12
455	Sergio	Paulinho	1980-03-26
456	Remi	Pauriol	1982-04-04
457	Serge	Pauwels	1983-11-21
458	Franco	Pellizotti	1978-01-15
459	Jean-Christophe	Peraud	1977-05-22
460	Oscar	Pereiro Sio	1977-08-03
461	Alan	Perez	1982-07-15
462	Ruben	Perez	1981-10-30
463	Aitor	Perez	1977-07-24
464	Mathieu	Perget	1984-09-18
465	Pierre-Luc	Perichon	1987-01-04
466	Alessandro	Petacchi	1974-01-03
467	Adrien	Petit	1990-09-26
468	Taylor	Phinney	1990-06-27
469	Luka	Pibernik	1993-10-23
470	Laurent	Pichon	1986-07-19
471	Alexandre	Pichot	1983-01-06
472	Leonardo	Piepoli	1971-09-29
473	Jerome	Pineau	1980-01-02
474	Cedric	Pineau	1985-05-08
475	Thibaut	Pinot	1990-05-29
476	Ruben	Plaza	1980-02-29
477	Aleksandr	Pljuszkin	1987-01-13
478	Wout	Poels	1987-10-01
479	Jan	Polanc	1992-05-06
480	Nils	Politt	1994-03-06
481	Pawel	Poljanski	1990-05-06
482	Jaroslaw	Popowycz	1980-01-04
483	Alexander	Porsev	1986-02-21
484	Nicolas	Portal	1979-04-23
485	Richie	Porte	1985-01-30
486	Joost	Posthuma	1981-03-08
487	Filippo	Pozzato	1981-09-10
488	Domenico	Pozzovivo	1982-11-30
489	Georg	Preidler	1990-06-17
490	Perrig	Quemeneur	1984-04-26
491	Nairo	Quintana	1990-02-04
492	Manuel	Quinziato	1979-10-30
493	Gregory	Rast	1980-01-17
494	Francesco	Reda	1982-11-19
495	Sebastien	Reichenbach	1989-05-28
496	Mark	Renshaw	1982-10-22
497	Kevin	Reza	1988-05-18
498	Christophe	Riblon	1981-01-17
499	Riccardo	Ricco	1983-09-01
500	Maximiliano	Richeze	1983-03-07
501	Daniele	Righi	1976-03-28
502	Luke	Roberts	1977-01-25
503	Nicolas	Roche	1984-07-03
504	Joaquim	Rodriguez	1979-05-12
505	Jurgen	Roelandts	1985-07-02
506	Michael	Rogers	1979-12-20
507	Primoz	Roglic	1989-10-29
508	Thomas	Rohregger	1982-12-23
509	Jose Joaquin	Rojas	1985-06-08
510	Pierre	Rolland	1986-10-10
511	Piet	Rooijakkers	1980-08-16
512	Timo	Roosen	1993-01-11
513	Diego	Rosa	1989-03-27
514	Sebastien	Rosseler	1981-07-15
515	Hayden	Roulston	1981-01-10
516	Anthony	Roux	1987-04-18
517	Luke	Rowe	1990-03-10
518	Jeremy	Roy	1983-06-22
519	Rob	Ruijgh	1986-11-12
520	Fabio	Sabatini	1985-02-18
521	Peter	Sagan	1990-01-26
522	Juraj	Sagan	1988-12-23
523	Samuel	Sanchez	1978-02-05
524	Luis Leon	Sanchez	1983-11-24
525	Mauro	Santambrogio	1984-10-07
526	Ivan	Santaromita	1984-04-30
527	Marcin	Sapa	1976-02-10
528	Carlos	Sastre	1975-04-22
529	Michele	Scarponi	1979-09-25
530	Michael	Schar	1986-09-29
531	Staf	Scheirlinckx	1979-03-12
532	Andreas	Schillinger	1983-07-13
533	Frank	Schleck	1980-04-15
534	Andy	Schleck	1985-06-10
535	Ronny	Scholz	1978-04-24
536	Bjorn	Schroder	1980-10-27
537	Stefan	Schumacher	1981-07-21
538	Kevin	Seeldraeyers	1986-09-12
539	Rudiger	Selig	1989-02-19
540	Florian	Senechal	1993-07-10
541	Eduardo	Sepulveda	1991-06-13
542	Jose	Serpa	1979-04-17
543	Romain	Sicard	1988-01-01
544	Marcel	Sieberg	1982-04-30
545	Egor	Silin	1988-06-25
546	Julien	Simon	1985-10-04
547	Ramon	Sinkeldam	1989-02-09
548	Kanstancin	Siucou	1982-08-09
549	Tom-Jelte	Slagter	1989-07-01
550	Dion	Smith	1993-03-03
551	Gatis	Smukulis	1987-04-15
552	Mauricio	Soler	1983-01-14
553	Nicki	Sorensen	1975-05-14
554	Chris Anker	Sorensen	1984-09-05
555	Geoffrey	Soupe	1988-03-22
556	Simon	Spilak	1986-06-23
557	Matthieu	Sprick	1981-09-29
558	Ian	Stannard	1987-05-25
559	Gert	Steegmans	1980-09-30
560	Peter	Stetina	1987-08-08
561	Simone	Stortoni	1985-07-07
562	Jasper	Stuyven	1992-04-17
563	Zdenek	Stybar	1985-12-11
564	Wesley	Sulzberger	1986-10-26
565	Jasha	Sutterlin	1992-11-04
566	Ben	Swift	1987-11-05
567	Sylwester	Szmyd	1978-03-02
568	Rein	Taaramae	1987-04-24
569	Yannick	Talabardon	1981-07-06
570	Andrew	Talansky	1988-11-23
571	Bram	Tankink	1978-12-03
572	Daniel	Teklehaimanot	1988-11-10
573	Laurens	ten Dam	1980-11-13
574	Niki	Terpstra	1984-05-18
575	Mike	Teunissen	1992-08-25
576	Edward	Theuns	1991-04-30
577	Geraint	Thomas	1986-05-25
578	Scott	Thwaites	1990-02-12
579	Albert	Timmer	1985-06-13
580	Paolo	Tiralongo	1977-07-08
581	Maarten	Tjallingii	1977-11-05
582	Matteo	Tosatto	1974-05-14
583	Matteo	Trentin	1989-08-02
584	Jurij	Trofimow	1984-01-26
585	Nikolay	Trusov	1985-07-02
586	Johann	Tschopp	1982-07-01
587	Svein	Tuft	1977-05-09
588	Angelo	Tulik	1990-12-02
589	Sebastien	Turgot	1984-04-11
590	Amets	Txurruka	1982-11-10
591	Diego	Ulissi	1989-07-15
592	Rigoberto	Uran	1987-01-26
593	Pablo	Urtasun	1980-03-29
594	Florian	Vachon	1985-01-02
595	Tomas	Vaitkus	1982-02-04
596	Petr	Vakoc	1992-07-11
597	Tristan	Valentin	1982-02-23
598	Michael	Valgren	1992-02-07
599	Tadej	Valjavec	1977-04-13
600	Rafael	Valls	1987-06-25
601	Alejandro	Valverde	1980-04-25
602	Greg	Van Avermaet	1985-05-17
603	Dylan	van Baarle	1992-05-21
604	Jurgen	Van de Walle	1977-02-09
605	Jurgen	Van Den Broeck	1983-02-01
606	Jos	van Emden	1985-02-18
607	Tejay	van Garderen	1988-08-12
608	Kenny	van Hummel	1982-09-30
609	Guillaume	Van Keirsbulck	1991-02-14
610	Danny	van Poppel	1993-07-26
611	Boy	van Poppel	1988-01-18
612	Kenneth	Vanbilsen	1990-06-01
613	Brian	Vandborg	1981-12-04
614	Christian	Vande Velde	1976-05-22
615	Stijn	Vandenbergh	1984-04-25
616	Jelle	Vanendert	1985-02-19
617	Sep	Vanmarcke	1988-07-28
618	Alessandro	Vanotti	1980-09-16
619	Wim	Vansevenant	1971-12-23
620	Pieter	Vanspeybrouck	1987-02-10
621	Johan	Vansummeren	1981-02-04
622	Benoit	Vaugrenard	1982-01-05
623	Tom	Veelers	1984-09-14
624	Jussi	Veikkanen	1981-03-29
625	David	Veilleux	1987-11-26
626	Ivan	Velasco	1980-02-07
627	Peter	Velits	1985-02-21
628	Martin	Velits	1985-02-21
629	Marco	Velo	1974-03-09
630	Jaco	Venter	1987-02-13
631	Francisco	Ventoso	1982-05-06
632	Gorka	Verdugo	1978-11-04
633	Julien	Vermote	1989-07-26
634	Arthur	Vichot	1988-11-26
635	Angel	Vicioso	1977-04-13
636	Davide	Vigano	1984-06-12
637	Giovanni	Visconti	1983-01-13
638	Elia	Viviani	1989-02-07
639	Thomas	Voeckler	1979-06-22
640	Nicolas	Vogondy	1977-08-08
641	Jens	Voigt	1971-09-17
642	Paul	Voss	1986-03-26
643	Alexis	Vuillermoz	1988-06-01
644	Robert	Wagner	1983-04-17
645	Pieter	Weening	1981-04-05
646	Charly	Wegelius	1978-04-26
647	Fabian	Wegmann	1980-06-20
648	Tim	Wellens	1991-05-10
649	Lieuwe	Westra	1982-09-11
650	Bradley	Wiggins	1980-04-28
651	Frederik	Willems	1979-09-08
652	Aleksandr	Winokurow	1973-09-16
653	Eduard	Worganow	1982-12-07
654	Peter	Wrolich	1974-05-30
655	Maarten	Wynants	1982-05-13
656	Marcel	Wyss	1986-06-25
657	Danilo	Wyss	1985-08-26
658	Simon	Yates	1992-08-07
659	Adam	Yates	1992-08-07
660	Rick	Zabel	1993-12-07
661	Erik	Zabel	1970-07-07
662	David	Zabriskie	1979-01-12
663	Ilnur	Zakarin	1989-09-15
664	Xabier	Zandio	1977-03-17
665	Andriej	Zejc	1986-12-14
666	Romain	Zingle	1987-01-29
667	Haimar	Zubeldia	1977-04-01
