Jezyk	Rodzina
hausa	afroazjatycka
haya	nigero-kongijska
hazaragi	indoeuropejska
hebrajski	afroazjatycka
hehe	nigero-kongijska
hiligaynon	austronezyjska
hindi	indoeuropejska
hiszpanski	indoeuropejska
hlai	dajska
hmong	hmong-mien
ho	austroazjatycka
hokkien	austronezyjska
holenderski	indoeuropejska
huastec	majanska
ibanag	austronezyjska
ibibio	nigero-kongijska
idakho	nigero-kongijska
igbo	nigero-kongijska
ijaw	nigero-kongijska
ilocano	austronezyjska
indonezyjski	austronezyjska
inguski	polnocno-wschodniokaukaska
iraqw	afroazjatycka
izere	nigero-kongijska
jambi	austronezyjska
japonski	jezyk izolowany
jarai	austronezyjska
jawajski	austronezyjska
jidysz	indoeuropejska
jingpo	sino-tybetanska
jinpgho	sino-tybetanska
jita	nigero-kongijska
kabardyjski	abchasko-adygijska
kabyle	afroazjatycka
kafa	afroazjatycka
kagulu	nigero-kongijska
kakwa	nilo-saharyjska
kam	dajska
kamba	nigero-kongijska
kannada	drawidyjska
kantonski	sino-tybetanska
kanuri	nilo-saharyjska
kanyok	nigero-kongijska
kapampangan	austronezyjska
karaczajsko-balkarski	turecka
karbi	sino-tybetanska
karen	sino-tybetanska
kaszmirski	indoeuropejska
kaszubski	indoeuropejska
katalonski	indoeuropejska
kayah	sino-tybetanska
kayan	sino-tybetanska
kazakh	turecka
keczua	keczua
kele	nigero-kongijska
kenye	nigero-kongijska
kerewe	nigero-kongijska
khammuang	dajska
khandeshi	indoeuropejska
kharia	austroazjatycka
khasi	austroazjatycka
khmerski	austroazjatycka
khun	dajska
kiembu	nigero-kongijska
kigiryama	nigero-kongijska
kimmun	hmong-mien
kimiiru	nigero-kongijska
kinaray-a	austronezyjska
kinga	nigero-kongijska
kinyarwanda	nigero-kongijska
kipsigis	nilo-saharyjska
kirgiski	turecka
kisan	drawidyjska
kitharaka	nigero-kongijska
kituba	nigero-kongijska
koho	austroazjatycka
kolami	drawidyjska
komering	austronezyjska
komi	uralska
konkani	indoeuropejska
konyak	sino-tybetanska
konzo	nigero-kongijska
koongo	nigero-kongijska
koreanski	jezyk izolowany
korku	austroazjatycka
koya	drawidyjska
kri	algijska
kui	drawidyjska
kumam	nilo-saharyjska
kumyk	turecka
kupsapiiny	nilo-saharyjska
kurdyjski	indoeuropejska
kuria	nigero-kongijska
kurukh	drawidyjska
kuvi	drawidyjska
kuy	austroazjatycka
kwaya	nigero-kongijska
ladakhi	sino-tybetanska
lahu	sino-tybetanska
lak	polnocno-wschodniokaukaska
langi	nigero-kongijska
lango	nilo-saharyjska
lao	dajska
laotanski	dajska
lega-shabunda	nigero-kongijska
lewotobi	austronezyjska
lezgi	polnocno-wschodniokaukaska
lingala	nigero-kongijska
lisu	sino-tybetanska
logo	nigero-kongijska
lotha	sino-tybetanska
luba-kasai	nigero-kongijska
luba-katanga	nigero-kongijska
lubukusu	nigero-kongijska
lugbara	nilo-saharyjska
luguru	nigero-kongijska
lukabaras	nigero-kongijska
lulogooli	nigero-kongijska
luo	nilo-saharyjska
luri	indoeuropejska
lutachoni	nigero-kongijska
ma'di	nilo-saharyjska
maasai	nilo-saharyjska
macedonski	indoeuropejska
machame	nigero-kongijska
madurese	austronezyjska
maguindanao	austronezyjska
maithili	indoeuropejska
makassarese	austronezyjska
makhuwa-meetto	nigero-kongijska
makonde	nigero-kongijska
malayalam	drawidyjska
malto	drawidyjska
mambwe-lungu	nigero-kongijska
mandarynski	sino-tybetanska
mangbetu	nigero-kongijska
manggarai	austronezyjska
maonan	dajska
mapuche	jezyk izolowany
maranao	austronezyjska
marathi	indoeuropejska
markweeta	nilo-saharyjska
maryjski	uralska
masaaba	nigero-kongijska
masalit	nilo-saharyjska
masbateno	austronezyjska
matengo	nigero-kongijska
maya	majanska
mayogo	nigero-kongijska
mazahua	otomang
mazatec	otomang
mbadja	nigero-kongijska
meitei	sino-tybetanska
mien	hmong-mien
minnan	sino-tybetanska
minangkabau	austronezyjska
minhasan	austronezyjska
mishing	sino-tybetanska
mixe	jezyk izolowany
mixtec	otomang
mizo	sino-tybetanska
mochi	nigero-kongijska
molukanski	austronezyjska
mon	austroazjatycka
mongo-nkundu	nigero-kongijska
mongolski	mongolska
mongondow	austronezyjska
monguor	mongolska
mulam	dajska
muna	austronezyjska
munda	austroazjatycka
mundari	austroazjatycka
muong	austroazjatycka
musi	austronezyjska
mwera	nigero-kongijska
nahuatl	uto-aztecka
nande	nigero-kongijska
nandi	nilo-saharyjska
nashi	sino-tybetanska
navajo	na-dene
ndali	nigero-kongijska
ndebele	nigero-kongijska
ndendule	nigero-kongijska
nepalski	indoeuropejska
ng'akarimojong	nilo-saharyjska
ngajudayak	austronezyjska
ngaw	dajska
ngbaka	nigero-kongijska
ngbandi	nigero-kongijska
ngingo	nigero-kongijska
ngiti	nigero-kongijska
ngoni	nigero-kongijska
ngulu	nigero-kongijska
nias	austronezyjska
niemiecki	indoeuropejska
nilamba	nigero-kongijska
nissi	sino-tybetanska
nobiin	nilo-saharyjska
nung	dajska
nyakyusa-ngonde	nigero-kongijska
nyala	nigero-kongijska
nyambo	nigero-kongijska
nyamwezi	nigero-kongijska
nyankore	nigero-kongijska
nyaturu	nigero-kongijska
nyiha	nigero-kongijska
nyole	nilo-saharyjska
nyoro	nigero-kongijska
odia	indoeuropejska
okcytanski	indoeuropejska
okinawski	jezyk izolowany
olukhayo	nigero-kongijska
olumarachi	nigero-kongijska
olumarama	nigero-kongijska
olunyole	nigero-kongijska
olusamia	nigero-kongijska
olushisa	nigero-kongijska
olutsotso	nigero-kongijska
oluwanga	nigero-kongijska
oromo	afroazjatycka
osing	austronezyjska
ossetic	indoeuropejska
otomi	otomang
pa'o	sino-tybetanska
paktai	dajska
palaung	austroazjatycka
pangasinan	austronezyjska
pashai	indoeuropejska
paszto	indoeuropejska
pendzabski	indoeuropejska
perski	indoeuropejska
phende	nigero-kongijska
phom	sino-tybetanska
phuthai	dajska
pogolo	nigero-kongijska
pokoot	nilo-saharyjska
polski	indoeuropejska
portugalski	indoeuropejska
purepecha	jezyk izolowany
qiang	sino-tybetanska
rabha	sino-tybetanska
rade	austronezyjska
rakhine	sino-tybetanska
rejang	austronezyjska
roglai	austronezyjska
rohingya	indoeuropejska
romski	indoeuropejska
rosyjski	indoeuropejska
rumunski	indoeuropejska
ruund	nigero-kongijska
saamia	nigero-kongijska
sabaot	nilo-saharyjska
safwa	nigero-kongijska
sagalla	nigero-kongijska
salar	turecka
sanga	nigero-kongijska
santali	austroazjatycka
saraiki	indoeuropejska
sasak	austronezyjska
savara	austroazjatycka
sedang	austroazjatycka
sema	sino-tybetanska
serbsko-chorwacki	indoeuropejska
sesotho	nigero-kongijska
shambala	nigero-kongijska
shan	dajska
shi	nigero-kongijska
shubi	nigero-kongijska
sidamo	afroazjatycka
sindhi	indoeuropejska
soga	nigero-kongijska
somalijski	afroazjatycka
songe	nigero-kongijska
sotho	nigero-kongijska
suahili	nigero-kongijska
suazi	nigero-kongijska
suba	nigero-kongijska
sui	dajska
sukuma	nigero-kongijska
sumbwa	nigero-kongijska
sundanese	austronezyjska
surigaonon	austronezyjska
taabwa	nigero-kongijska
tabasaran	polnocno-wschodniokaukaska
tachawit	afroazjatycka
tachelhit	afroazjatycka
tae	austronezyjska
tagalog	austronezyjska
taidaeng	dajska
taidam	dajska
taidon	dajska
tajski	dajska
talinga-bwisi	nigero-kongijska
tamazight	afroazjatycka
tamilski	drawidyjska
tangkhul	sino-tybetanska
tarift	afroazjatycka
tatarski	turecka
tausug	austronezyjska
tavoyan	sino-tybetanska
tay	dajska
telugu	drawidyjska
tembo	nigero-kongijska
teso	nilo-saharyjska
tetela	nigero-kongijska
tetum	austronezyjska
thado	sino-tybetanska
thai	dajska
thur	nilo-saharyjska
tibetan	sino-tybetanska
tigrinya	afroazjatycka
tiv	nigero-kongijska
tlapanec	otomang
tolaki	austronezyjska
tooro	nigero-kongijska
toraja-sa'dan	austronezyjska
totonac	jezyk izolowany
tripuri	sino-tybetanska
tseltal	majanska
tsonga	nigero-kongijska
tsotsil	majanska
tswana	nigero-kongijska
tujia	sino-tybetanska
tulu	drawidyjska
turecki	turecka
turkana	nilo-saharyjska
turkmenski	turecka
tuwinski	turecka
uabmeto	austronezyjska
ujgurski	turecka
ukrainski	indoeuropejska
urdu	indoeuropejska
urum	turecka
uzbecki	turecka
va	austroazjatycka
venda	nigero-kongijska
vunjo	nigero-kongijska
wa	austroazjatycka
walijski	indoeuropejska
waray-waray	austronezyjska
wegierski	uralska
wietnamski	austroazjatycka
wloski	indoeuropejska
wolaytta	afroazjatycka
xhosa	nigero-kongijska
xibe	tungusko-mandzurska
yaka	nigero-kongijska
yakan	austronezyjska
yao	nigero-kongijska
yawi	austronezyjska
yi	sino-tybetanska
yombe	nigero-kongijska
yoruba	nigero-kongijska
zaghawa	nilo-saharyjska
zanaki	nigero-kongijska
zande	nigero-kongijska
zapotec	otomang
zazaki	indoeuropejska
zhuang	dajska
zigula	nigero-kongijska
zinza	nigero-kongijska
zulu	nigero-kongijska
