data	port	towar	Z/W	ile ton	cena za tone w talarach
2017-03-25	Aleksandria	T5	Z	35	37
2017-03-25	Aleksandria	T3	Z	40	19
2017-04-15	Bejrut	T2	W	21	36
2017-04-15	Bejrut	T4	W	2	97
2017-04-15	Bejrut	T3	Z	12	20
2017-04-15	Bejrut	T1	Z	15	8
2017-04-15	Bejrut	T5	Z	1	40
2017-05-09	Palermo	T1	W	86	12
2017-05-09	Palermo	T3	W	110	31
2017-05-09	Palermo	T5	Z	33	38
2017-05-09	Palermo	T2	Z	13	23
2017-05-09	Palermo	T4	Z	37	61
2017-05-27	Neapol	T1	W	1	12
2017-05-27	Neapol	T5	W	68	59
2017-05-27	Neapol	T4	Z	35	66
2017-05-27	Neapol	T3	Z	25	21
2017-05-27	Neapol	T2	Z	10	25
2017-06-18	Monako	T2	W	38	37
2017-06-18	Monako	T1	Z	22	8
2017-06-18	Monako	T3	Z	25	20
2017-06-18	Monako	T5	Z	8	39
2017-06-18	Monako	T4	Z	45	62
2017-07-13	Barcelona	T4	W	116	100
2017-07-13	Barcelona	T3	Z	29	19
2017-07-26	Walencja	T2	W	5	34
2017-07-26	Walencja	T1	W	22	11
2017-07-26	Walencja	T3	Z	37	22
2017-07-26	Walencja	T4	Z	10	70
2017-07-26	Walencja	T5	Z	42	44
2017-08-12	Algier	T4	W	11	94
2017-08-12	Algier	T5	W	48	59
2017-08-12	Algier	T3	Z	20	21
2017-08-12	Algier	T2	Z	26	25
2017-08-27	Tunis	T1	Z	24	9
2017-08-27	Tunis	T4	Z	38	68
2017-08-27	Tunis	T3	Z	14	21
2017-08-27	Tunis	T5	Z	4	43
2017-09-15	Benghazi	T2	W	19	36
2017-09-15	Benghazi	T4	Z	30	65
2017-10-11	Aleksandria	T5	W	6	63
2017-10-11	Aleksandria	T4	Z	43	59
2017-11-01	Bejrut	T5	W	1	61
2017-11-01	Bejrut	T3	W	147	30
2017-11-01	Bejrut	T1	Z	15	8
2017-11-01	Bejrut	T4	Z	24	63
2017-11-01	Bejrut	T2	Z	19	24
2017-11-25	Palermo	T4	W	134	99
2017-11-25	Palermo	T5	Z	12	38
2017-12-13	Neapol	T3	W	4	30
2017-12-13	Neapol	T1	Z	26	8
2017-12-13	Neapol	T4	Z	38	66
2018-01-04	Monako	T4	W	38	98
2018-01-04	Monako	T2	W	44	37
2018-01-04	Monako	T1	Z	21	8
2018-01-04	Monako	T5	Z	10	39
2018-01-29	Barcelona	T2	W	15	38
2018-01-29	Barcelona	T5	W	22	63
2018-01-29	Barcelona	T4	Z	9	60
2018-01-29	Barcelona	T3	Z	6	19
2018-01-29	Barcelona	T1	Z	4	8
2018-01-30	Walencja	T3	W	6	25
2018-01-30	Walencja	T4	Z	48	79
2018-02-16	Algier	T5	Z	34	42
2018-02-16	Algier	T2	W	49	35
2018-02-16	Algier	T1	Z	10	8
2018-02-16	Algier	T3	Z	47	21
2018-02-16	Algier	T4	Z	48	66
2018-03-03	Tunis	T5	W	34	58
2018-03-03	Tunis	T1	Z	5	9
2018-03-22	Benghazi	T3	W	46	30
2018-03-22	Benghazi	T4	Z	49	65
2018-03-22	Benghazi	T1	Z	16	8
2018-04-17	Aleksandria	T5	Z	5	37
2018-04-17	Aleksandria	T3	W	1	32
2018-04-17	Aleksandria	T1	Z	34	7
2018-04-17	Aleksandria	T4	Z	29	59
2018-05-08	Bejrut	T2	Z	34	24
2018-05-08	Bejrut	T3	Z	27	20
2018-05-08	Bejrut	T1	Z	40	8
2018-06-01	Palermo	T4	W	184	99
2018-06-01	Palermo	T5	Z	48	38
2018-06-01	Palermo	T2	Z	21	23
2018-06-19	Neapol	T4	Z	47	66
2018-06-19	Neapol	T2	Z	6	25
2018-06-19	Neapol	T5	Z	47	41
2018-07-11	Monako	T1	W	192	12
2018-07-11	Monako	T2	W	48	37
2018-07-11	Monako	T4	Z	18	62
2018-07-11	Monako	T5	Z	25	39
2018-07-11	Monako	T3	Z	2	20
2018-08-05	Barcelona	T2	W	13	38
2018-08-05	Barcelona	T5	W	121	63
2018-08-05	Barcelona	T3	Z	30	19
2018-08-05	Barcelona	T1	Z	46	8
2018-08-18	Walencja	T1	W	49	11
2018-08-18	Walencja	T4	W	61	90
2018-08-18	Walencja	T3	Z	19	22
2018-08-18	Walencja	T5	Z	22	44
2018-09-04	Algier	T2	Z	9	25
2018-09-04	Algier	T4	W	4	94
2018-09-04	Algier	T3	Z	8	21
2018-09-04	Algier	T1	Z	47	8
2018-09-19	Tunis	T3	W	82	29
2018-09-19	Tunis	T5	W	26	58
2018-09-19	Tunis	T1	Z	24	9
2018-09-19	Tunis	T2	Z	36	26
2018-09-19	Tunis	T4	Z	6	68
2018-10-08	Benghazi	T2	W	45	36
2018-10-08	Benghazi	T1	Z	18	8
2018-10-08	Benghazi	T5	Z	20	41
2018-11-03	Aleksandria	T3	W	4	32
2018-11-03	Aleksandria	T5	Z	48	37
2018-11-24	Bejrut	T5	W	64	61
2018-11-24	Bejrut	T4	Z	43	63
2018-11-24	Bejrut	T2	Z	24	24
2018-12-18	Palermo	T5	W	4	62
2018-12-18	Palermo	T3	Z	35	19
2018-12-18	Palermo	T1	Z	41	8
2018-12-18	Palermo	T4	Z	23	61
2018-12-18	Palermo	T2	Z	46	23
