Panstwo	Jezyk	Uzytkownicy	Urzedowy
Chiny	dongxiang	0,6	nie
DRK	mangbetu	0,6	nie
Francja	okcytanski	0,6	nie
Francja	portugalski	0,6	nie
Indie	halabi	0,6	nie
Indie	korku	0,6	nie
Indie	mishing	0,6	nie
Indonezja	batakkaro	0,6	nie
Indonezja	uabmeto	0,6	nie
Kenia	pokoot	0,6	nie
Kenia	lulogooli	0,6	nie
Kenia	idakho	0,6	nie
Niemcy	wloski	0,6	nie
Niemcy	arabski	0,6	nie
Tanzania	maasai	0,6	nie
Tanzania	nilamba	0,6	nie
Tanzania	mochi	0,6	nie
Tanzania	yao	0,6	nie
Uganda	gwere	0,6	nie
Ukraina	jidysz	0,6	nie
USA	hindi	0,6	nie
USA	polski	0,6	nie
Wielka Brytania	polski	0,6	nie
Wielka Brytania	walijski	0,6	nie
Wlochy	friulski	0,6	nie
Afganistan	aimaq	0,5	nie
Birma	palaung	0,5	nie
Birma	mandarynski	0,5	nie
Brazylia	hiszpanski	0,5	nie
Chiny	lahu	0,5	nie
DRK	chokwe	0,5	nie
Filipiny	masbateno	0,5	nie
Filipiny	aklanon	0,5	nie
Francja	wloski	0,5	nie
Francja	hiszpanski	0,5	nie
Indie	munda	0,5	nie
Indonezja	bima	0,5	nie
Indonezja	komering	0,5	nie
Indonezja	manggarai	0,5	nie
Indonezja	toraja-sa'dan	0,5	nie
Niemcy	kurdyjski	0,5	nie
Niemcy	rumunski	0,5	nie
Rosja	kabardyjski	0,5	nie
Rosja	maryjski	0,5	nie
Rosja	dargwa	0,5	nie
Rosja	azerski	0,5	nie
Rosja	ossetic	0,5	nie
Tajlandia	ngaw	0,5	nie
Tajlandia	phuthai	0,5	nie
Tanzania	makhuwa-meetto	0,5	nie
Tanzania	asu	0,5	nie
Tanzania	mwera	0,5	nie
Tanzania	iraqw	0,5	nie
Turcja	azerski	0,5	nie
Uganda	nyole	0,5	nie
Uganda	saamia	0,5	nie
Uganda	aringa	0,5	nie
Uganda	adhola	0,5	nie
Wlochy	arabski	0,5	nie
Afganistan	pashai	0,4	nie
Argentyna	niemiecki	0,4	nie
Birma	tavoyan	0,4	nie
Birma	wa	0,4	nie
Brazylia	japonski	0,4	nie
Chiny	va	0,4	nie
Chiny	sui	0,4	nie
DRK	sanga	0,4	nie
DRK	phende	0,4	nie
DRK	fuliiru	0,4	nie
DRK	lega-shabunda	0,4	nie
DRK	mongo-nkundu	0,4	nie
DRK	mbadja	0,4	nie
Egipt	nobiin	0,4	nie
Indie	karbi	0,4	nie
Indie	koya	0,4	nie
Indie	angielski	0,4	tak
Indonezja	rejang	0,4	nie
Indonezja	tetum	0,4	nie
Irak	perski	0,4	nie
Irak	turkmenski	0,4	nie
Kanada	pendzabski	0,4	nie
Kanada	hiszpanski	0,4	nie
Kanada	niemiecki	0,4	nie
Kanada	wloski	0,4	nie
Kanada	kantonski	0,4	nie
Kenia	chiduruma	0,4	nie
Meksyk	mixtec	0,4	nie
Meksyk	zapotec	0,4	nie
Meksyk	arabski	0,4	nie
Meksyk	tseltal	0,4	nie
Meksyk	angielski	0,4	nie
Poludniowa Afryka	hindi	0,4	nie
Rosja	kumyk	0,4	nie
Rosja	lezgi	0,4	nie
Sudan	masalit	0,4	nie
Tajlandia	karen	0,4	nie
Tajlandia	kuy	0,4	nie
Tanzania	kuria	0,4	nie
Tanzania	langi	0,4	nie
Tanzania	nyambo	0,4	nie
Tanzania	zigula	0,4	nie
Turcja	bulgarski	0,4	nie
USA	japonski	0,4	nie
USA	perski	0,4	nie
USA	urdu	0,4	nie
USA	gudzaracki	0,4	nie
Wlochy	albanski	0,4	nie
Bangladesz	hindi	0,3	nie
Birma	lisu	0,3	nie
Chiny	nashi	0,3	nie
Chiny	qiang	0,3	nie
Chiny	monguor	0,3	nie
DRK	bemba	0,3	nie
DRK	bembe	0,3	nie
DRK	kinyarwanda	0,3	nie
DRK	ngbandi	0,3	nie
DRK	taabwa	0,3	nie
Egipt	domari	0,3	nie
Filipiny	ibanag	0,3	nie
Francja	bretonski	0,3	nie
Indie	ao	0,3	nie
Indie	savara	0,3	nie
Indonezja	bangka	0,3	nie
Indonezja	basasemawa	0,3	nie
Indonezja	gayo	0,3	nie
Indonezja	kantonski	0,3	nie
Indonezja	lewotobi	0,3	nie
Indonezja	muna	0,3	nie
Indonezja	osing	0,3	nie
Indonezja	tae	0,3	nie
Indonezja	tolaki	0,3	nie
Kanada	arabski	0,3	nie
Kanada	tagalog	0,3	nie
Kenia	kiembu	0,3	nie
Kenia	chidigo	0,3	nie
Kenia	olunyole	0,3	nie
Kenia	oluwanga	0,3	nie
Kenia	borana	0,3	nie
Kenia	dawida	0,3	nie
Kenia	markweeta	0,3	nie
Kenia	nyala	0,3	nie
Kenia	kuria	0,3	nie
Kenia	lukabaras	0,3	nie
Meksyk	tsotsil	0,3	nie
Niemcy	grecki	0,3	nie
Niemcy	serbsko-chorwacki	0,3	nie
Niemcy	angielski	0,3	nie
Poludniowa Afryka	tamilski	0,3	nie
Rosja	inguski	0,3	nie
Rosja	karaczajsko-balkarski	0,3	nie
Sudan	kanuri	0,3	nie
Tanzania	machame	0,3	nie
Tanzania	vunjo	0,3	nie
Tanzania	mambwe-lungu	0,3	nie
Tanzania	gudzaracki	0,3	nie
Turcja	adygejski	0,3	nie
Uganda	suahili	0,3	tak
Uganda	ma'di	0,3	nie
Uganda	kupsapiiny	0,3	nie
Uganda	kumam	0,3	nie
Ukraina	rumunski	0,3	nie
Ukraina	bialoruski	0,3	nie
Ukraina	tatarski	0,3	nie
USA	grecki	0,3	nie
USA	serbsko-chorwacki	0,3	nie
Wielka Brytania	urdu	0,3	nie
Wietnam	zhuang	0,3	nie
Wietnam	taidon	0,3	nie
Wlochy	hiszpanski	0,3	nie
Afganistan	beludzi	0,2	nie
Afganistan	brahui	0,2	nie
Argentyna	guarani	0,2	nie
Argentyna	jidysz	0,2	nie
Argentyna	katalonski	0,2	nie
Birma	akha	0,2	nie
Birma	lahu	0,2	nie
Birma	kayah	0,2	nie
Chiny	mulam	0,2	nie
Chiny	xibe	0,2	nie
Chiny	kirgiski	0,2	nie
DRK	logo	0,2	nie
DRK	kanyok	0,2	nie
DRK	budu	0,2	nie
DRK	kele	0,2	nie
DRK	ruund	0,2	nie
DRK	tembo	0,2	nie
Francja	niemiecki	0,2	nie
Francja	polski	0,2	nie
Francja	turecki	0,2	nie
Indie	konyak	0,2	nie
Indie	kharia	0,2	nie
Indie	malto	0,2	nie
Indie	nissi	0,2	nie
Indie	adi	0,2	nie
Indie	thado	0,2	nie
Indie	lotha	0,2	nie
Indie	coorgi	0,2	nie
Indie	rabha	0,2	nie
Irak	gurani	0,2	nie
Irak	asyryjski	0,2	nie
Japonia	mandarynski	0,2	nie
Kanada	mandarynski	0,2	nie
Kanada	portugalski	0,2	nie
Kanada	polski	0,2	nie
Kanada	urdu	0,2	nie
Kanada	perski	0,2	nie
Kanada	rosyjski	0,2	nie
Kenia	sabaot	0,2	nie
Kenia	kitharaka	0,2	nie
Kenia	olumarachi	0,2	nie
Kenia	olumarama	0,2	nie
Meksyk	otomi	0,2	nie
Meksyk	totonac	0,2	nie
Meksyk	mazatec	0,2	nie
Meksyk	ch'ol	0,2	nie
Niemcy	rosyjski	0,2	nie
Niemcy	bulgarski	0,2	nie
Niemcy	albanski	0,2	nie
Niemcy	wegierski	0,2	nie
Niemcy	hiszpanski	0,2	nie
Nigeria	arabski	0,2	nie
Nigeria	bacama	0,2	nie
Nigeria	bata	0,2	nie
Pakistan	rohingya	0,2	nie
Pakistan	arabski	0,2	nie
Rosja	komi	0,2	nie
Rosja	buriacki	0,2	nie
Rosja	tuwinski	0,2	nie
Sudan	berta	0,2	nie
Sudan	zaghawa	0,2	nie
Tanzania	nyiha	0,2	nie
Tanzania	kagulu	0,2	nie
Tanzania	ngingo	0,2	nie
Tanzania	jita	0,2	nie
Tanzania	fipa	0,2	nie
Tanzania	sumbwa	0,2	nie
Tanzania	pogolo	0,2	nie
Tanzania	ngoni	0,2	nie
Tanzania	safwa	0,2	nie
Tanzania	shubi	0,2	nie
Tanzania	hangaza	0,2	nie
Tanzania	matengo	0,2	nie
Tanzania	ndali	0,2	nie
Uganda	kakwa	0,2	nie
Ukraina	bulgarski	0,2	nie
Ukraina	wegierski	0,2	nie
USA	armenski	0,2	nie
USA	hebrajski	0,2	nie
USA	khmerski	0,2	nie
USA	hmong	0,2	nie
USA	navajo	0,2	nie
USA	thai	0,2	nie
USA	jidysz	0,2	nie
Wielka Brytania	pendzabski	0,2	nie
Wielka Brytania	bengalski	0,2	nie
Wielka Brytania	gudzaracki	0,2	nie
Wielka Brytania	arabski	0,2	nie
Wietnam	jarai	0,2	nie
Wietnam	phuthai	0,2	nie
Wietnam	rade	0,2	nie
Wietnam	kimmun	0,2	nie
Wietnam	caolan	0,2	nie
Wietnam	koho	0,2	nie
Wietnam	cham	0,2	nie
Wietnam	bahnar	0,2	nie
Wlochy	mandarynski	0,2	nie
Argentyna	mapuche	0,1	nie
Birma	kayan	0,1	nie
Birma	khun	0,1	nie
Chiny	jingpo	0,1	nie
Chiny	daur	0,1	nie
Chiny	salar	0,1	nie
Chiny	blang	0,1	nie
Chiny	maonan	0,1	nie
Chiny	tujia	0,1	nie
DRK	mayogo	0,1	nie
DRK	ngiti	0,1	nie
Filipiny	yakan	0,1	nie
Indie	tangkhul	0,1	nie
Indie	kisan	0,1	nie
Indie	angami	0,1	nie
Indie	phom	0,1	nie
Indie	kolami	0,1	nie
Indie	kuvi	0,1	nie
Indie	dimasa	0,1	nie
Indie	ladakhi	0,1	nie
Indie	sema	0,1	nie
Irak	chaldejski	0,1	nie
Kanada	wietnamski	0,1	nie
Kanada	koreanski	0,1	nie
Kanada	tamilski	0,1	nie
Kanada	ukrainski	0,1	nie
Kanada	holenderski	0,1	nie
Kanada	grecki	0,1	nie
Kanada	gudzaracki	0,1	nie
Kanada	hindi	0,1	nie
Kanada	rumunski	0,1	nie
Kanada	kri	0,1	nie
Kenia	suba	0,1	nie
Kenia	olushisa	0,1	nie
Kenia	olukhayo	0,1	nie
Kenia	olusamia	0,1	nie
Kenia	olutsotso	0,1	nie
Kenia	lutachoni	0,1	nie
Kenia	suahili	0,1	tak
Kenia	sagalla	0,1	nie
Korea Poludniowa	angielski	0,1	nie
Korea Poludniowa	wietnamski	0,1	nie
Meksyk	huastec	0,1	nie
Meksyk	chinantec	0,1	nie
Meksyk	mixe	0,1	nie
Meksyk	mazahua	0,1	nie
Meksyk	purepecha	0,1	nie
Meksyk	tlapanec	0,1	nie
Niemcy	ukrainski	0,1	nie
Niemcy	francuski	0,1	nie
Niemcy	mandarynski	0,1	nie
Niemcy	macedonski	0,1	nie
Nigeria	izere	0,1	nie
Polska	kaszubski	0,1	nie
Polska	angielski	0,1	nie
Polska	niemiecki	0,1	nie
Rosja	lak	0,1	nie
Rosja	altajski	0,1	nie
Rosja	romski	0,1	nie
Rosja	tabasaran	0,1	nie
Rosja	adygejski	0,1	nie
Sudan	ama	0,1	nie
Tanzania	kinga	0,1	nie
Tanzania	luo	0,1	nie
Tanzania	zinza	0,1	nie
Tanzania	ngulu	0,1	nie
Tanzania	kwaya	0,1	nie
Tanzania	suba	0,1	nie
Tanzania	kerewe	0,1	nie
Tanzania	ndendule	0,1	nie
Tanzania	zanaki	0,1	nie
Turcja	tatarski	0,1	nie
Uganda	pokoot	0,1	nie
Uganda	talinga-bwisi	0,1	nie
Uganda	kenye	0,1	nie
Uganda	gungu	0,1	nie
Uganda	thur	0,1	nie
Ukraina	polski	0,1	nie
Ukraina	armenski	0,1	nie
Ukraina	urum	0,1	nie
USA	laotanski	0,1	nie
USA	wegierski	0,1	nie
Wielka Brytania	portugalski	0,1	nie
Wielka Brytania	hiszpanski	0,1	nie
Wielka Brytania	tamilski	0,1	nie
Wietnam	roglai	0,1	nie
Wietnam	sedang	0,1	nie
Wietnam	taidaeng	0,1	nie
Wlochy	rosyjski	0,1	nie
Wlochy	ukrainski	0,1	nie
Wlochy	francuski	0,1	nie
Wlochy	okcytanski	0,1	nie
Wlochy	serbsko-chorwacki	0,1	nie
