Nr_ew;Nr_klienta;Wypozyczenie;Zwrot
1312;123301;2015-04-24;2015-05-03
1315;123133;2015-02-19;2015-03-10
1316;123270;2015-05-08;2015-05-09
1316;123266;2015-02-25;2015-03-08
1317;123222;2015-03-25;2015-04-09
1318;123208;2015-05-28;2015-06-13
1319;123225;2015-01-27;2015-01-31
1320;123172;2015-01-14;2015-02-08
1321;123112;2015-05-16;2015-05-28
1322;123292;2015-04-30;2015-05-07
1327;123298;2015-02-17;2015-02-20
1328;123258;2015-05-09;2015-05-30
1334;123279;2015-02-01;2015-02-02
1335;123201;2015-05-23;2015-06-01
1335;123284;2015-04-02;2015-04-16
1337;123228;2015-03-07;2015-03-26
1338;123142;2015-04-17;2015-05-13
1341;123274;2015-02-10;2015-03-10
1343;123133;2015-01-07;2015-01-08
1345;123219;2015-02-09;2015-02-20
1347;123252;2015-05-07;2015-05-10
1348;123102;2015-03-25;2015-04-23
1350;123271;2015-02-13;2015-02-14
1351;123139;2015-04-18;2015-05-04
1352;123280;2015-05-13;2015-05-23
1352;123112;2015-02-26;2015-03-21
1353;123147;2015-01-08;2015-01-26
1268;123277;2015-01-09;2015-01-11
