data;godzina;czujnik1;czujnik2;czujnik3;czujnik4;czujnik5;czujnik6;czujnik7;czujnik8;czujnik9;czujnik10
2016-02-18;11:05;-5,61;-2,42;0,12;3,36;5,61;-1,14;4,45;2,27;1,38;8,69
2016-02-20;05:03;8,91;-0,83;6,24;4,74;1,06;-0,73;4,02;2,90;-2,01;-2,02
2016-02-21;11:07;6,18;6,14;4,24;-4,00;-2,92;5,06;-1,26;4,64;-2,96;2,82
2016-02-24;04:06;-3,20;-4,18;2,99;0,22;-3,48;-2,68;0,11;-3,65;-4,10;-3,09
2016-03-01;00:00;6,80;-2,64;5,90;-2,10;1,89;6,73;-7,96;7,18;7,33;-6,44
2016-03-02;04:03;-3,15;-1,58;-7,50;6,68;-4,19;-7,39;3,37;-2,67;6,36;-2,61
2016-03-04;07:00;-4,39;-3,86;-0,97;-4,82;-1,09;1,40;6,56;-2,70;5,24;8,87
2016-03-06;08:09;1,07;4,49;4,04;7,86;-1,99;-0,57;8,09;-0,82;1,63;-1,12
2016-03-07;11:03;-4,32;-4,30;-6,06;0,23;-3,83;-6,11;-7,52;1,75;2,57;7,82
2016-03-10;12:04;8,94;-7,98;7,41;4,46;-3,80;-7,71;3,58;-3,33;3,39;6,28
2016-03-12;05:08;-2,84;-3,79;4,34;6,30;-7,58;8,26;-6,50;-5,80;-7,56;-2,51
2016-03-15;03:02;-2,01;0,62;4,95;6,62;-2,50;7,05;-7,33;7,96;4,51;8,17
2016-03-18;00:12;1,44;-7,21;-6,65;2,21;4,62;1,66;5,10;-6,89;-3,19;-7,39
2016-03-21;03:01;0,98;7,64;6,10;6,46;-0,07;-2,93;-5,81;5,65;5,10;8,25
2016-03-22;12:10;5,83;7,18;-0,19;-2,12;4,26;-7,55;-6,66;-4,80;2,92;2,69
2016-03-23;04:03;-5,39;-7,41;-3,60;0,98;-0,56;-2,33;3,28;-2,19;4,61;-5,94
2016-03-23;06:02;7,98;4,61;7,87;-1,44;4,15;-2,53;-5,96;3,23;-7,13;7,75
2016-03-25;03:07;2,92;0,43;-7,83;-7,67;1,19;5,35;-4,15;6,34;-5,17;1,39
2016-03-26;08:08;5,68;-5,18;8,62;3,66;7,27;-0,88;8,69;-6,24;-5,52;-4,67
2016-03-26;09:05;-3,88;-5,21;8,26;-0,96;4,05;-4,31;7,80;6,75;-0,73;7,28
2016-03-27;05:08;-4,48;-2,05;-7,14;5,11;6,37;7,34;-4,90;-2,26;0,23;7,99
2016-03-28;04:08;-3,04;-1,24;2,62;4,42;7,46;0,77;-0,67;5,80;-7,14;6,48
2016-03-29;07:09;-2,12;-6,19;4,76;4,56;3,19;-2,29;5,10;-5,75;3,63;1,36
2016-04-08;05:05;10,07;12,84;10,24;13,91;10,67;14,11;15,18;13,07;14,39;13,78
2016-04-10;09:08;14,14;15,33;13,07;12,04;13,18;12,65;10,72;11,66;13,00;14,21
2016-04-12;01:05;11,60;13,95;15,13;10,73;15,09;15,98;11,74;15,38;15,98;12,90
2016-04-15;10:04;14,13;13,61;14,61;13,88;15,76;10,85;12,11;12,05;11,87;12,10
2016-04-18;07:05;10,88;12,02;10,26;15,41;15,57;13,27;12,18;13,91;13,86;10,08
2016-04-19;00:03;15,28;13,58;12,71;14,72;12,47;12,44;14,64;14,58;13,66;13,60
2016-04-20;09:09;11,09;15,36;11,14;13,51;10,08;15,95;14,45;13,94;15,76;13,03
2016-04-20;11:01;10,38;13,04;11,90;10,14;12,18;14,79;13,13;13,52;15,54;13,14
2016-04-24;06:06;15,66;10,97;10,10;12,99;11,07;11,10;10,64;12,18;12,63;12,33
2016-04-25;02:01;11,94;13,57;10,05;11,85;10,59;14,12;14,27;15,81;14,00;14,16
2016-04-25;02:02;14,53;13,21;10,84;10,95;11,65;11,34;13,76;12,75;10,43;12,80
2016-04-27;10:07;10,98;10,53;14,64;15,37;13,40;14,22;11,15;12,45;12,96;11,15
2016-04-29;08:00;12,88;11,25;12,97;11,16;10,89;10,21;11,49;15,32;12,40;13,67
2016-05-02;10:04;11,74;12,79;11,07;15,77;14,30;11,61;12,88;12,58;13,63;15,37
2016-05-03;08:03;13,25;14,97;14,88;14,41;10,82;14,32;13,72;10,88;12,95;12,52
2016-05-05;07:05;10,66;10,59;15,14;12,60;11,47;14,91;14,33;14,52;11,65;15,58
2016-05-05;10:07;12,40;11,85;12,06;14,95;15,02;15,09;12,53;11,35;13,64;10,47
2016-05-05;11:10;14,22;11,25;14,05;12,08;10,10;15,84;12,87;15,35;12,14;11,93
2016-05-06;10:06;14,83;10,01;15,51;11,00;11,29;13,42;15,92;15,81;11,20;15,53
2016-05-08;03:06;13,62;13,57;12,68;15,88;13,23;14,10;15,41;11,12;10,81;13,61
2016-05-08;05:05;12,25;14,89;13,86;13,98;11,99;15,06;11,13;13,91;15,56;10,97
2016-05-09;05:05;15,82;14,33;10,41;11,75;15,72;11,51;11,37;15,73;15,44;11,55
2016-05-10;08:04;12,47;14,01;15,38;12,72;12,33;14,07;11,91;14,59;10,58;13,95
2016-05-11;07:00;15,80;13,11;13,43;10,32;14,20;11,41;10,69;15,02;12,21;10,54
2016-05-12;05:06;11,10;10,71;10,75;13,22;14,26;12,59;12,93;15,27;13,00;13,55
2016-05-14;06:04;11,68;11,47;13,02;15,91;15,06;12,81;13,48;15,31;12,15;15,42
2016-05-15;05:12;10,51;14,98;11,30;13,92;11,65;11,59;12,63;11,94;15,32;15,34
2016-05-18;10:07;15,87;13,65;11,34;11,16;13,12;15,50;15,84;12,26;10,69;15,72
2016-05-21;04:01;10,07;14,53;10,54;13,02;10,56;15,58;14,05;13,12;14,65;14,15
2016-05-22;07:08;13,92;10,86;11,05;14,16;11,48;10,45;14,61;12,83;12,25;14,67
2016-05-27;09:08;15,58;13,33;15,53;12,12;10,78;15,67;12,74;12,88;11,93;11,17
2016-05-28;02:09;14,66;12,46;12,31;10,05;15,48;15,29;15,23;15,32;13,62;15,68
2016-06-02;10:05;19,51;12,69;11,38;15,99;15,35;17,24;12,54;12,24;13,03;19,33
2016-06-05;02:03;10,04;10,19;19,75;15,20;18,10;14,37;15,28;11,85;12,32;12,94
2016-06-08;03:02;11,12;15,77;19,17;10,32;10,90;10,58;16,86;17,15;19,41;12,24
2016-06-09;01:05;14,55;15,16;11,74;18,35;10,87;14,03;14,75;18,78;15,52;18,69
2016-06-11;04:08;17,70;15,76;11,34;15,04;16,18;12,14;13,44;14,12;15,27;13,19
2016-06-11;10:03;13,13;12,12;11,60;11,76;16,31;19,27;17,64;14,87;11,94;15,91
2016-06-13;04:09;10,39;13,61;11,20;14,79;12,21;16,76;13,09;14,26;10,45;11,46
2016-06-13;11:00;13,07;17,61;13,36;19,49;17,19;12,99;17,79;18,54;11,92;16,47
2016-06-15;06:09;17,18;18,51;18,23;18,19;17,61;16,04;14,39;18,01;14,90;10,26
2016-06-15;11:04;11,02;16,95;12,02;10,31;17,45;18,00;10,19;13,26;12,17;14,58
2016-06-16;02:09;12,05;13,70;12,71;15,73;19,93;19,27;11,13;14,74;15,42;12,66
2016-06-19;09:03;13,82;17,80;19,18;10,64;11,30;11,15;14,03;17,32;18,63;15,76
2016-06-19;11:10;19,01;13,10;14,77;11,00;19,51;15,48;11,75;17,54;11,08;14,23
2016-06-20;00:03;17,27;13,06;16,12;19,01;13,96;10,03;14,22;14,88;15,12;19,73
2016-06-21;04:05;14,93;18,36;18,34;10,06;16,44;16,83;18,08;11,20;10,56;17,22
2016-06-24;07:10;15,51;16,44;10,02;13,71;10,98;17,39;13,73;17,80;14,59;12,50
2016-06-24;09:04;12,83;14,61;19,86;19,43;12,83;14,00;17,33;12,58;12,47;12,04
2016-06-25;06:05;16,30;10,32;17,69;19,00;17,54;16,20;15,17;10,66;10,10;12,04
2016-06-26;02:02;16,03;12,49;18,23;11,56;15,34;18,19;12,20;18,04;14,52;15,90
2016-06-26;04:03;19,47;19,76;11,95;16,28;13,33;19,91;19,73;15,06;15,39;13,54
2016-06-26;08:12;14,55;11,62;12,91;18,72;18,20;12,03;16,76;10,38;18,15;14,50
2016-06-27;08:03;11,26;11,81;12,66;16,00;11,63;19,61;12,55;11,68;14,08;13,96
2016-06-28;12:09;10,77;10,91;17,60;13,50;16,27;12,44;11,01;16,08;12,30;11,35
2016-06-30;01:06;15,43;17,52;12,01;10,31;13,52;13,39;11,34;10,31;11,07;18,52
2016-07-02;05:11;22,57;24,93;23,16;21,19;22,95;20,79;23,65;24,30;22,91;21,31
2016-07-03;00:06;21,12;24,03;20,46;20,33;24,18;23,01;24,57;22,83;21,55;23,87
2016-07-05;02:05;22,29;22,16;22,90;20,04;21,27;21,55;21,51;23,98;24,01;23,77
2016-07-06;01:08;20,50;21,83;21,96;20,58;23,33;23,73;23,65;20,90;24,06;21,13
2016-07-06;11:03;20,62;20,23;22,96;22,48;23,59;24,99;21,26;20,15;23,52;20,04
2016-07-07;00:04;24,62;20,59;23,70;21,55;21,85;21,12;21,24;24,93;21,90;20,50
2016-07-07;00:08;23,53;22,47;24,91;22,53;20,56;23,64;21,00;20,55;24,08;20,49
2016-07-07;01:05;23,80;20,78;20,56;20,50;20,16;21,68;23,86;21,14;23,10;22,53
2016-07-07;11:11;21,04;22,45;21,06;20,15;24,31;22,72;24,67;21,12;23,35;22,54
2016-07-10;10:07;23,49;22,55;24,66;23,56;20,26;22,27;20,44;22,27;24,47;23,03
2016-07-14;01:00;20,99;21,37;22,15;22,76;20,25;23,80;23,38;20,50;21,65;24,80
2016-07-16;09:08;20,18;24,07;24,25;20,17;21,08;22,83;23,53;23,60;23,16;21,42
2016-07-17;01:07;24,46;23,90;24,19;20,14;23,60;23,67;24,85;24,77;24,75;22,32
2016-07-20;01:05;20,62;21,57;22,99;23,14;22,40;23,83;21,63;21,90;22,89;22,30
2016-07-20;01:07;24,97;23,55;24,91;21,77;23,58;23,03;22,25;22,37;22,57;22,02
2016-07-21;04:02;24,04;21,89;23,85;22,87;24,33;24,38;21,95;21,37;20,45;24,51
2016-07-22;06:02;20,96;22,03;20,89;24,62;22,22;24,32;22,24;20,08;20,18;21,90
2016-07-25;04:11;23,01;24,60;24,70;23,45;24,59;23,65;23,52;21,60;21,42;22,09
2016-07-30;00:03;22,46;24,11;22,12;24,08;23,14;24,56;22,95;21,53;21,19;21,66
2016-08-01;02:12;21,46;20,81;22,16;23,39;21,06;23,13;24,81;21,89;21,04;20,73
2016-08-03;04:06;24,30;21,17;20,45;21,07;23,27;21,82;21,32;21,89;23,96;21,93
2016-08-05;10:06;20,79;20,15;24,61;21,03;20,75;23,58;24,10;20,18;20,25;23,53
2016-08-06;09:11;24,53;20,23;23,44;21,79;22,16;23,23;24,25;22,23;23,64;23,21
2016-08-08;02:08;22,93;21,83;22,20;20,66;21,05;22,52;24,58;24,21;24,25;20,98
2016-08-09;10:08;23,61;22,31;22,54;23,68;24,34;23,60;20,26;20,29;24,84;24,53
2016-08-12;02:04;21,99;21,03;21,98;24,71;22,25;21,03;20,06;23,44;23,35;24,22
2016-08-12;03:03;21,25;22,63;22,50;22,53;22,55;23,75;22,37;20,83;22,24;22,78
2016-08-14;01:03;22,19;23,63;20,60;22,57;24,22;22,01;21,12;24,52;21,28;20,05
2016-08-17;10:01;22,74;20,72;24,74;23,94;22,07;24,33;20,62;24,62;20,96;24,76
2016-08-19;05:08;24,25;21,83;23,97;22,48;21,36;20,20;23,33;22,17;22,32;22,84
2016-08-19;07:09;22,33;20,00;24,04;24,76;23,02;23,75;20,46;22,05;21,31;23,02
2016-08-19;10:09;20,89;20,28;23,53;22,74;20,13;22,16;22,63;21,60;23,00;20,50
2016-08-21;00:05;21,25;22,01;20,19;24,36;24,61;24,99;22,55;24,32;20,89;20,36
2016-08-21;03:05;23,52;21,62;22,59;22,21;21,78;24,26;24,31;20,53;23,51;23,09
2016-08-23;11:11;20,11;23,11;24,50;20,38;22,23;23,96;21,22;24,89;20,12;24,10
2016-08-24;01:08;22,99;21,77;20,63;20,59;21,52;23,70;22,05;23,02;24,59;20,99
2016-08-24;06:03;22,09;22,11;23,82;21,80;23,42;23,48;23,86;21,65;24,90;20,26
2016-08-25;11:06;22,15;20,68;22,12;21,59;22,45;22,03;20,58;21,08;22,52;20,71
2016-08-27;00:09;20,15;21,69;22,88;23,70;22,32;20,55;24,02;23,15;21,80;23,78
2016-08-27;04:01;21,66;23,29;23,15;21,38;22,83;23,77;23,64;23,45;23,36;22,48
2016-08-28;10:09;20,57;21,99;23,24;20,50;23,35;21,21;24,55;20,53;22,69;21,43
2016-08-29;00:11;21,59;23,58;20,88;23,01;23,00;24,37;23,73;20,41;20,39;20,80
2016-08-29;05:10;20,93;20,24;22,85;21,54;23,07;20,65;24,44;20,95;21,69;22,41
2016-09-03;08:04;16,41;15,29;10,48;14,09;19,38;10,14;10,74;15,18;12,67;14,37
2016-09-03;08:10;16,52;12,24;15,91;15,35;17,00;16,29;10,94;17,58;14,73;15,82
2016-09-04;11:09;13,93;15,26;13,17;15,12;16,06;14,37;20,00;14,27;12,07;11,12
2016-09-06;08:02;10,24;18,01;15,20;14,43;10,85;16,73;19,93;17,36;16,77;17,64
2016-09-06;10:08;17,56;14,82;12,26;17,92;14,86;11,11;16,11;18,66;14,11;19,51
2016-09-13;10:09;13,59;11,82;11,56;19,81;16,45;13,39;17,64;13,05;13,95;16,04
2016-09-14;04:01;12,35;18,39;19,01;18,13;18,46;19,60;12,16;19,90;10,16;19,96
2016-09-15;06:07;14,18;18,43;14,71;13,45;11,14;17,70;16,39;13,40;15,05;10,44
2016-09-18;07:09;14,63;10,26;19,79;10,91;12,37;11,52;16,69;15,20;16,13;17,69
2016-09-21;03:06;19,21;19,71;17,29;12,07;18,74;18,80;17,55;13,23;16,34;16,95
2016-09-22;08:06;15,89;17,95;12,80;15,00;12,22;18,25;10,60;19,40;12,84;16,17
2016-09-22;10:06;18,32;19,73;15,21;17,90;18,29;14,78;16,59;18,35;12,69;18,49
2016-09-23;10:10;13,60;12,67;15,96;19,79;15,00;17,83;11,56;19,49;13,76;15,46
2016-09-26;01:06;10,20;14,87;17,51;17,19;12,50;15,71;12,15;13,01;17,21;15,46
2016-09-28;09:03;18,23;10,62;14,89;13,97;14,88;18,62;12,90;17,50;12,26;15,26
2016-10-02;08:08;10,99;19,11;18,80;12,14;11,19;11,97;19,80;19,72;15,04;12,42
2016-10-04;02:02;16,50;18,18;15,63;11,46;17,40;16,75;11,85;13,64;10,43;19,15
2016-10-04;10:05;14,76;10,74;16,30;10,39;11,24;18,98;15,79;12,57;19,20;10,17
2016-10-07;04:05;19,15;15,35;10,71;14,76;17,57;16,05;19,69;15,96;11,27;11,72
2016-10-10;07:01;14,52;15,36;10,01;19,44;11,62;17,75;14,63;11,83;15,26;11,75
2016-10-11;01:11;14,04;12,39;16,54;16,02;10,46;10,80;13,25;19,96;19,99;15,91
2016-10-11;02:02;15,75;18,39;13,61;10,15;19,99;14,87;14,72;14,66;19,10;17,76
2016-10-11;06:09;14,16;19,99;15,52;11,59;13,63;12,92;13,18;18,84;10,70;13,87
2016-10-12;04:01;17,32;10,03;15,19;17,38;12,08;19,09;12,83;18,42;14,05;13,27
2016-10-14;00:05;17,70;12,05;19,64;15,73;19,87;16,72;11,73;16,41;18,29;18,22
2016-10-17;05:06;11,01;14,84;11,29;17,72;12,61;16,55;11,63;12,88;14,01;12,67
2016-10-21;05:08;11,11;16,35;13,97;11,70;18,65;14,28;17,69;13,25;10,69;17,69
2016-10-23;04:05;13,09;15,83;18,55;17,37;18,49;14,59;19,33;13,54;11,35;18,43
2016-10-23;07:09;13,13;12,77;19,00;10,71;17,16;16,10;11,78;18,67;14,56;19,17
2016-10-24;05:07;12,13;13,07;15,72;12,27;13,41;13,75;12,79;17,98;18,20;13,87
2016-10-25;02:03;10,53;15,53;17,63;19,84;10,76;14,15;13,54;11,75;12,65;13,57
2016-10-25;06:01;11,99;13,44;19,18;11,19;19,05;15,07;17,51;18,72;11,62;11,08
2016-10-26;01:09;11,42;18,52;13,52;18,75;11,07;13,24;16,14;10,94;13,13;16,52
2016-10-26;09:00;13,11;11,09;13,22;17,07;16,09;18,42;12,03;19,90;13,54;18,37
2016-11-01;08:03;12,14;12,99;16,26;17,68;13,47;18,79;13,56;12,80;15,11;19,76
2016-11-01;08:12;16,19;12,36;10,00;12,27;18,20;13,68;19,16;19,39;11,01;13,18
2016-11-02;07:09;17,34;12,39;10,89;11,43;16,13;11,48;10,43;16,15;15,62;17,09
2016-11-05;08:07;19,46;14,85;15,99;18,44;10,42;18,78;11,05;18,70;10,35;14,51
2016-11-08;02:02;14,42;19,23;19,98;11,87;11,95;10,70;13,96;11,65;10,73;19,25
2016-11-11;05:11;12,20;14,35;11,37;12,07;14,32;13,34;18,74;15,82;13,79;19,36
2016-11-12;01:08;10,30;14,81;12,96;12,99;19,00;17,73;12,97;17,96;19,07;17,12
2016-11-13;03:10;10,03;14,28;11,97;17,70;18,20;19,20;17,43;14,46;16,48;15,66
2016-11-13;08:12;14,00;12,83;18,72;11,22;13,79;18,56;11,19;12,81;14,50;12,78
2016-11-17;07:06;15,42;10,37;18,74;18,67;15,22;12,83;13,11;11,77;18,57;10,33
2016-11-19;11:07;15,98;13,48;10,69;15,11;14,51;17,10;15,65;10,44;13,73;19,66
2016-11-21;05:08;10,80;16,08;16,47;12,88;18,58;13,96;12,92;10,74;10,50;10,62
2016-11-22;11:02;10,61;15,59;10,52;18,55;11,33;11,82;18,58;18,72;11,95;11,84
2016-11-24;01:02;17,66;15,83;16,35;13,72;19,44;18,99;10,94;10,47;17,46;17,69
2016-11-28;09:02;15,30;13,83;11,97;15,50;11,06;14,22;18,66;18,95;11,79;16,76
2016-11-29;12:04;10,77;18,07;17,87;16,76;19,04;18,55;15,00;16,65;11,24;10,19
2016-11-30;03:02;15,81;14,72;18,12;18,82;15,14;18,85;17,94;12,26;19,34;18,30
2016-12-09;03:02;-1,03;8,40;7,65;-1,50;-1,63;8,16;-4,89;-2,09;-2,03;-0,74
2016-12-11;00:12;-0,64;-3,46;-4,01;8,49;-1,87;-5,51;6,22;-5,76;-2,05;-4,61
2016-12-12;07:11;-4,66;7,80;-5,83;8,77;-1,64;2,81;5,64;7,27;0,00;-1,52
2016-12-16;01:00;5,58;-4,47;-4,40;-0,05;6,51;4,99;-6,30;0,70;-6,74;4,71
2016-12-18;09:02;3,23;3,29;-2,15;-5,53;-0,68;-6,80;6,96;-3,33;-7,14;-5,82
2016-12-23;04:04;-1,46;-7,76;3,70;4,98;-6,83;7,90;8,35;0,16;3,83;0,14
2016-12-24;07:06;-7,30;-4,86;6,95;-0,60;-3,30;-2,10;3,44;-6,38;8,10;8,58
2016-12-27;01:04;-2,37;4,95;2,22;-5,27;1,52;-3,35;3,59;-7,17;2,26;-0,95
2016-12-28;01:03;-6,44;6,45;-6,08;5,60;-3,18;-4,45;-0,27;3,14;-6,82;6,04
