Id	Zainteresowania
90	muzyka
233	taniec
275	informatyka
197	jezyki
29	informatyka
87	polityka
81	jezyki
144	turystyka
1	informatyka
55	gry komputerowe
187	muzyka
72	jezyki
193	turystyka
252	informatyka
122	turystyka
227	taniec
265	matematyka
164	polityka
68	sport
121	jezyki
11	turystyka
240	informatyka
37	polityka
226	muzyka
140	jezyki
259	gry komputerowe
157	jezyki
209	turystyka
8	matematyka
7	sport
45	muzyka
117	gry komputerowe
25	polityka
133	gry komputerowe
236	gry komputerowe
137	muzyka
256	turystyka
172	gry komputerowe
183	gry komputerowe
268	sport
217	polityka
200	jezyki
63	jezyki
194	jezyki
42	sport
10	informatyka
118	muzyka
83	gry komputerowe
270	matematyka
129	gry komputerowe
180	turystyka
229	polityka
247	polityka
248	jezyki
94	polityka
12	polityka
78	matematyka
111	gry komputerowe
115	jezyki
169	turystyka
13	polityka
231	gry komputerowe
96	polityka
155	jezyki
151	turystyka
225	matematyka
220	turystyka
189	turystyka
131	turystyka
242	turystyka
177	jezyki
98	gry komputerowe
102	gry komputerowe
141	gry komputerowe
215	turystyka
263	informatyka
73	matematyka
107	jezyki
28	jezyki
20	matematyka
267	jezyki
79	gry komputerowe
274	matematyka
80	muzyka
65	gry komputerowe
154	turystyka
142	muzyka
43	polityka
271	muzyka
59	informatyka
109	gry komputerowe
135	turystyka
31	jezyki
24	informatyka
230	sport
216	polityka
163	muzyka
38	turystyka
167	turystyka
34	muzyka
106	sport
116	turystyka
246	sport
125	jezyki
3	matematyka
221	informatyka
69	sport
181	jezyki
245	sport
278	polityka
192	gry komputerowe
273	polityka
176	turystyka
2	gry komputerowe
48	informatyka
266	matematyka
228	informatyka
21	jezyki
158	muzyka
93	muzyka
49	informatyka
26	sport
89	sport
14	film
254	matematyka
201	sport
147	ksiazki
232	wedkarstwo
74	turystyka
165	wedkarstwo
56	polityka
219	taniec
52	ksiazki
128	film
280	ksiazki
126	sport
143	polityka
214	matematyka
130	polityka
223	wedkarstwo
207	sport
51	ksiazki
276	wedkarstwo
104	informatyka
279	wedkarstwo
196	film
119	wedkarstwo
22	ksiazki
16	ksiazki
77	polityka
148	taniec
101	film
149	ksiazki
203	polityka
211	turystyka
97	wedkarstwo
114	matematyka
145	sport
75	gry komputerowe
260	ksiazki
234	ksiazki
250	film
175	ksiazki
277	wedkarstwo
218	taniec
139	wedkarstwo
23	ksiazki
184	matematyka
156	ksiazki
253	sport
30	polityka
136	wedkarstwo
182	gry komputerowe
9	ksiazki
173	taniec
84	film
19	jezyki
243	taniec
264	matematyka
103	sport
161	ksiazki
235	turystyka
258	polityka
85	wedkarstwo
237	matematyka
57	turystyka
47	gry komputerowe
127	ksiazki
99	film
191	polityka
206	ksiazki
110	taniec
113	matematyka
53	ksiazki
32	wedkarstwo
33	jezyki
210	taniec
112	ksiazki
5	sport
262	film
46	matematyka
105	gry komputerowe
123	wedkarstwo
199	film
70	matematyka
67	matematyka
153	taniec
190	turystyka
76	ksiazki
146	sport
244	ksiazki
205	matematyka
198	jezyki
124	sport
204	matematyka
241	sport
88	jezyki
132	sport
6	taniec
212	ksiazki
272	film
60	matematyka
185	turystyka
171	matematyka
58	ksiazki
39	turystyka
168	sport
208	film
170	matematyka
100	sport
36	wedkarstwo
251	sport
62	jezyki
95	sport
108	ksiazki
166	muzyka
18	polityka
40	turystyka
54	taniec
152	turystyka
82	taniec
239	matematyka
224	ksiazki
150	turystyka
255	gry komputerowe
249	sport
120	polityka
44	turystyka
174	sport
138	wedkarstwo
66	ksiazki
71	jezyki
17	polityka
238	jezyki
92	matematyka
261	sport
222	muzyka
269	polityka
35	film
213	turystyka
50	taniec
257	ksiazki
90	polityka
233	polityka
275	ksiazki
197	taniec
29	muzyka
87	jezyki
81	ksiazki
144	taniec
55	sport
72	ksiazki
193	jezyki
227	matematyka
164	film
68	wedkarstwo
11	jezyki
240	matematyka
37	ksiazki
226	polityka
140	sport
259	muzyka
209	ksiazki
7	muzyka
45	ksiazki
133	wedkarstwo
256	sport
172	matematyka
183	ksiazki
268	taniec
217	film
200	polityka
194	polityka
42	wedkarstwo
10	muzyka
83	matematyka
270	polityka
129	muzyka
229	ksiazki
247	sport
248	polityka
78	film
169	ksiazki
13	jezyki
231	sport
155	polityka
225	wedkarstwo
220	taniec
189	film
131	ksiazki
242	film
177	film
98	film
102	muzyka
215	ksiazki
263	ksiazki
107	polityka
20	film
79	taniec
274	muzyka
80	jezyki
142	jezyki
43	film
271	ksiazki
109	ksiazki
135	wedkarstwo
24	matematyka
216	sport
38	ksiazki
34	taniec
246	film
125	taniec
3	muzyka
69	ksiazki
245	taniec
192	matematyka
48	ksiazki
228	sport
21	taniec
158	ksiazki
93	film
49	muzyka
26	wedkarstwo
89	film
14	sport
254	turystyka
147	muzyka
165	film
126	taniec
214	wedkarstwo
130	muzyka
279	ksiazki
16	sport
101	wedkarstwo
211	ksiazki
114	polityka
75	ksiazki
234	taniec
277	ksiazki
184	informatyka
84	turystyka
264	film
161	taniec
57	ksiazki
191	taniec
113	jezyki
32	film
262	matematyka
105	wedkarstwo
190	ksiazki
64	film
185	muzyka
39	taniec
208	gry komputerowe
100	jezyki
62	sport
18	film
152	muzyka
150	sport
44	ksiazki
174	taniec
71	matematyka
238	sport
92	taniec
35	sport
233	sport
275	polityka
29	film
55	matematyka
72	sport
227	informatyka
259	matematyka
209	sport
133	film
256	jezyki
10	jezyki
247	ksiazki
169	taniec
225	film
189	polityka
131	film
102	matematyka
20	muzyka
79	film
80	ksiazki
142	sport
216	muzyka
38	film
246	ksiazki
3	jezyki
69	film
192	taniec
48	film
228	taniec
93	jezyki
49	matematyka
