Id	Srod_lok	Pora_roku
131	autobus	wiosna
131	autobus	lato
131	autobus	jesien
131	autobus	zima
132	rower	wiosna
132	rower	lato
132	rower	jesien
132	autobus	zima
133	tramwaj	wiosna
133	tramwaj	lato
133	tramwaj	jesien
133	tramwaj	zima
134	samochod	wiosna
134	samochod	lato
134	samochod	jesien
134	samochod	zima
135	tramwaj	wiosna
135	tramwaj	lato
135	tramwaj	jesien
135	tramwaj	zima
136	tramwaj	wiosna
136	tramwaj	lato
136	tramwaj	jesien
136	tramwaj	zima
137	pociag	wiosna
137	pociag	lato
137	pociag	jesien
137	pociag	zima
138	tramwaj	wiosna
138	tramwaj	lato
138	tramwaj	jesien
138	tramwaj	zima
139	rower	wiosna
139	rower	lato
139	rower	jesien
139	autobus	zima
140	pociag	wiosna
140	pociag	lato
140	pociag	jesien
140	pociag	zima
141	rower	wiosna
141	rower	lato
141	autobus	jesien
141	autobus	zima
142	tramwaj	wiosna
142	tramwaj	lato
142	tramwaj	jesien
142	tramwaj	zima
143	samochod	wiosna
143	samochod	lato
143	samochod	jesien
143	samochod	zima
144	pociag	wiosna
144	pociag	lato
144	pociag	jesien
144	pociag	zima
145	rower	wiosna
145	rower	lato
145	autobus	jesien
145	autobus	zima
146	tramwaj	wiosna
146	rower	lato
146	tramwaj	jesien
146	tramwaj	zima
147	samochod	wiosna
147	samochod	lato
147	samochod	jesien
147	samochod	zima
148	tramwaj	wiosna
148	rower	lato
148	tramwaj	jesien
148	tramwaj	zima
149	tramwaj	wiosna
149	rower	lato
149	tramwaj	jesien
149	tramwaj	zima
150	pociag	wiosna
150	pociag	lato
150	pociag	jesien
150	pociag	zima
151	tramwaj	wiosna
151	rower	lato
151	tramwaj	jesien
151	tramwaj	zima
152	rower	wiosna
152	rower	lato
152	tramwaj	jesien
152	tramwaj	zima
153	pociag	wiosna
153	pociag	lato
153	pociag	jesien
153	pociag	zima
154	rower	wiosna
154	rower	lato
154	tramwaj	jesien
154	tramwaj	zima
155	rower	wiosna
155	rower	lato
155	tramwaj	jesien
155	tramwaj	zima
156	samochod	wiosna
156	samochod	lato
156	samochod	jesien
156	samochod	zima
157	pociag	wiosna
157	pociag	lato
157	pociag	jesien
157	pociag	zima
158	rower	wiosna
158	rower	lato
158	samochod	jesien
158	samochod	zima
159	tramwaj	wiosna
159	tramwaj	lato
159	tramwaj	jesien
159	tramwaj	zima
160	samochod	wiosna
160	samochod	lato
160	samochod	jesien
160	samochod	zima
161	tramwaj	wiosna
161	tramwaj	lato
161	tramwaj	jesien
161	tramwaj	zima
162	tramwaj	wiosna
162	tramwaj	lato
162	tramwaj	jesien
162	tramwaj	zima
163	pociag	wiosna
163	pociag	lato
163	pociag	jesien
163	pociag	zima
164	tramwaj	wiosna
164	tramwaj	lato
164	tramwaj	jesien
164	tramwaj	zima
165	rower	wiosna
165	rower	lato
165	autobus	jesien
165	autobus	zima
166	pociag	wiosna
166	pociag	lato
166	pociag	jesien
166	pociag	zima
167	rower	wiosna
167	rower	lato
167	autobus	jesien
167	autobus	zima
168	tramwaj	wiosna
168	tramwaj	lato
168	tramwaj	jesien
168	tramwaj	zima
169	samochod	wiosna
169	samochod	lato
169	samochod	jesien
169	samochod	zima
170	autobus	wiosna
170	autobus	lato
170	autobus	jesien
170	autobus	zima
171	rower	wiosna
171	rower	lato
171	autobus	jesien
171	autobus	zima
172	tramwaj	wiosna
172	tramwaj	lato
172	tramwaj	jesien
172	tramwaj	zima
173	samochod	wiosna
173	samochod	lato
173	samochod	jesien
173	samochod	zima
174	tramwaj	wiosna
174	tramwaj	lato
174	tramwaj	jesien
174	tramwaj	zima
175	tramwaj	wiosna
175	tramwaj	lato
175	tramwaj	jesien
175	tramwaj	zima
176	pociag	wiosna
176	pociag	lato
176	pociag	jesien
176	pociag	zima
177	tramwaj	wiosna
177	tramwaj	lato
177	tramwaj	jesien
177	tramwaj	zima
178	rower	wiosna
178	rower	lato
178	autobus	jesien
178	autobus	zima
179	pociag	wiosna
179	pociag	lato
179	pociag	jesien
179	pociag	zima
180	rower	wiosna
180	rower	lato
180	autobus	jesien
180	autobus	zima
181	tramwaj	wiosna
181	tramwaj	lato
181	tramwaj	jesien
181	tramwaj	zima
182	samochod	wiosna
182	samochod	lato
182	samochod	jesien
182	samochod	zima
183	pociag	wiosna
183	pociag	lato
183	pociag	jesien
183	pociag	zima
184	rower	wiosna
184	rower	lato
184	autobus	jesien
184	autobus	zima
185	tramwaj	wiosna
185	tramwaj	lato
185	tramwaj	jesien
185	tramwaj	zima
186	samochod	wiosna
186	rower	lato
186	samochod	jesien
186	samochod	zima
187	tramwaj	wiosna
187	tramwaj	lato
187	tramwaj	jesien
187	tramwaj	zima
188	tramwaj	wiosna
188	tramwaj	lato
188	tramwaj	jesien
188	tramwaj	zima
189	pociag	wiosna
189	pociag	lato
189	pociag	jesien
189	pociag	zima
190	tramwaj	wiosna
190	rower	lato
190	tramwaj	jesien
190	tramwaj	zima
191	rower	wiosna
191	rower	lato
191	autobus	jesien
191	autobus	zima
192	pociag	wiosna
192	pociag	lato
192	pociag	jesien
192	pociag	zima
193	rower	wiosna
193	rower	lato
193	pociag	jesien
193	pociag	zima
194	tramwaj	wiosna
194	rower	lato
194	tramwaj	jesien
194	tramwaj	zima
195	samochod	wiosna
195	rower	lato
195	samochod	jesien
195	samochod	zima
196	pociag	wiosna
196	pociag	lato
196	pociag	jesien
196	pociag	zima
197	rower	wiosna
197	rower	lato
197	samochod	jesien
197	samochod	zima
198	tramwaj	wiosna
198	tramwaj	lato
198	tramwaj	jesien
198	tramwaj	zima
199	samochod	wiosna
199	samochod	lato
199	samochod	jesien
199	samochod	zima
200	tramwaj	wiosna
200	tramwaj	lato
200	tramwaj	jesien
200	tramwaj	zima
201	tramwaj	wiosna
201	tramwaj	lato
201	tramwaj	jesien
201	tramwaj	zima
202	autobus	wiosna
202	autobus	lato
202	autobus	jesien
202	autobus	zima
203	tramwaj	wiosna
203	tramwaj	lato
203	tramwaj	jesien
203	tramwaj	zima
204	rower	wiosna
204	rower	lato
204	tramwaj	jesien
204	tramwaj	zima
205	pociag	wiosna
205	pociag	lato
205	pociag	jesien
205	pociag	zima
206	rower	wiosna
206	rower	lato
206	rower	jesien
206	tramwaj	zima
207	tramwaj	wiosna
207	tramwaj	lato
207	tramwaj	jesien
207	tramwaj	zima
208	samochod	wiosna
208	samochod	lato
208	samochod	jesien
208	samochod	zima
209	autobus	wiosna
209	autobus	lato
209	autobus	jesien
209	autobus	zima
210	rower	wiosna
210	rower	lato
210	rower	jesien
210	autobus	zima
211	tramwaj	wiosna
211	tramwaj	lato
211	tramwaj	jesien
211	tramwaj	zima
212	samochod	wiosna
212	samochod	lato
212	samochod	jesien
212	samochod	zima
213	tramwaj	wiosna
213	tramwaj	lato
213	tramwaj	jesien
213	tramwaj	zima
214	tramwaj	wiosna
214	tramwaj	lato
214	tramwaj	jesien
214	tramwaj	zima
215	pociag	wiosna
215	pociag	lato
215	pociag	jesien
215	pociag	zima
216	tramwaj	wiosna
216	tramwaj	lato
216	tramwaj	jesien
216	tramwaj	zima
217	rower	wiosna
217	rower	lato
217	rower	jesien
217	autobus	zima
218	pociag	wiosna
218	pociag	lato
218	pociag	jesien
218	pociag	zima
219	rower	wiosna
219	rower	lato
219	rower	jesien
219	autobus	zima
220	tramwaj	wiosna
220	tramwaj	lato
220	tramwaj	jesien
220	tramwaj	zima
221	samochod	wiosna
221	samochod	lato
221	samochod	jesien
221	samochod	zima
222	autobus	wiosna
222	autobus	lato
222	autobus	jesien
222	autobus	zima
223	rower	wiosna
223	rower	lato
223	rower	jesien
223	autobus	zima
224	tramwaj	wiosna
224	tramwaj	lato
224	tramwaj	jesien
224	tramwaj	zima
225	samochod	wiosna
225	samochod	lato
225	samochod	jesien
225	samochod	zima
226	tramwaj	wiosna
226	tramwaj	lato
226	tramwaj	jesien
226	tramwaj	zima
227	tramwaj	wiosna
227	rower	lato
227	tramwaj	jesien
227	tramwaj	zima
228	pociag	wiosna
228	pociag	lato
228	pociag	jesien
228	pociag	zima
229	tramwaj	wiosna
229	rower	lato
229	tramwaj	jesien
229	tramwaj	zima
230	rower	wiosna
230	rower	lato
230	autobus	jesien
230	autobus	zima
231	autobus	wiosna
231	autobus	lato
231	autobus	jesien
231	autobus	zima
232	rower	wiosna
232	rower	lato
232	autobus	jesien
232	autobus	zima
233	tramwaj	wiosna
233	rower	lato
233	tramwaj	jesien
233	tramwaj	zima
234	samochod	wiosna
234	samochod	lato
234	samochod	jesien
234	samochod	zima
235	autobus	wiosna
235	autobus	lato
235	autobus	jesien
235	autobus	zima
236	rower	wiosna
236	rower	lato
236	autobus	jesien
236	autobus	zima
237	tramwaj	wiosna
237	rower	lato
237	tramwaj	jesien
237	tramwaj	zima
238	samochod	wiosna
238	samochod	lato
238	samochod	jesien
238	samochod	zima
239	tramwaj	wiosna
239	rower	lato
239	tramwaj	jesien
239	tramwaj	zima
240	tramwaj	wiosna
240	tramwaj	lato
240	tramwaj	jesien
240	tramwaj	zima
241	pociag	wiosna
241	pociag	lato
241	pociag	jesien
241	pociag	zima
242	tramwaj	wiosna
242	tramwaj	lato
242	tramwaj	jesien
242	tramwaj	zima
243	rower	wiosna
243	rower	lato
243	autobus	jesien
243	autobus	zima
244	pociag	wiosna
244	pociag	lato
244	pociag	jesien
244	pociag	zima
245	rower	wiosna
245	rower	lato
245	autobus	jesien
245	autobus	zima
246	tramwaj	wiosna
246	tramwaj	lato
246	tramwaj	jesien
246	tramwaj	zima
247	samochod	wiosna
247	samochod	lato
247	samochod	jesien
247	samochod	zima
248	autobus	wiosna
248	autobus	lato
248	autobus	jesien
248	autobus	zima
249	rower	wiosna
249	rower	lato
249	rower	jesien
249	autobus	zima
250	tramwaj	wiosna
250	tramwaj	lato
250	tramwaj	jesien
250	tramwaj	zima
251	samochod	wiosna
251	samochod	lato
251	samochod	jesien
251	samochod	zima
252	tramwaj	wiosna
252	tramwaj	lato
252	tramwaj	jesien
252	tramwaj	zima
253	tramwaj	wiosna
253	tramwaj	lato
253	tramwaj	jesien
253	tramwaj	zima
254	autobus	wiosna
254	autobus	lato
254	autobus	jesien
254	autobus	zima
255	tramwaj	wiosna
255	tramwaj	lato
255	tramwaj	jesien
255	tramwaj	zima
256	rower	wiosna
256	rower	lato
256	rower	jesien
256	autobus	zima
257	autobus	wiosna
257	autobus	lato
257	autobus	jesien
257	autobus	zima
258	rower	wiosna
258	rower	lato
258	rower	jesien
258	autobus	zima
259	tramwaj	wiosna
259	tramwaj	lato
259	tramwaj	jesien
259	tramwaj	zima
260	samochod	wiosna
260	samochod	lato
260	samochod	jesien
260	samochod	zima
261	pociag	wiosna
261	autobus	lato
261	autobus	jesien
261	pociag	zima
262	rower	wiosna
262	rower	lato
262	rower	jesien
262	autobus	zima
263	tramwaj	wiosna
263	tramwaj	lato
263	tramwaj	jesien
263	tramwaj	zima
264	samochod	wiosna
264	rower	lato
264	samochod	jesien
264	samochod	zima
265	tramwaj	wiosna
265	tramwaj	lato
265	tramwaj	jesien
265	tramwaj	zima
266	tramwaj	wiosna
266	rower	lato
266	tramwaj	jesien
266	tramwaj	zima
267	pociag	wiosna
267	autobus	lato
267	autobus	jesien
267	pociag	zima
268	tramwaj	wiosna
268	rower	lato
268	tramwaj	jesien
268	tramwaj	zima
269	rower	wiosna
269	rower	lato
269	autobus	jesien
269	autobus	zima
270	autobus	wiosna
270	autobus	lato
270	autobus	jesien
270	autobus	zima
271	rower	wiosna
271	rower	lato
271	autobus	jesien
271	autobus	zima
272	samochod	wiosna
272	rower	lato
272	samochod	jesien
272	samochod	zima
273	tramwaj	wiosna
273	rower	lato
273	tramwaj	jesien
273	tramwaj	zima
274	samochod	wiosna
274	samochod	lato
274	samochod	jesien
274	samochod	zima
275	autobus	wiosna
275	autobus	lato
275	autobus	jesien
275	autobus	zima
276	tramwaj	wiosna
276	tramwaj	lato
276	tramwaj	jesien
276	tramwaj	zima
277	rower	wiosna
277	rower	lato
277	autobus	jesien
277	autobus	zima
278	samochod	wiosna
278	samochod	lato
278	samochod	jesien
278	samochod	zima
279	autobus	wiosna
279	autobus	lato
279	autobus	jesien
279	autobus	zima
280	tramwaj	wiosna
280	tramwaj	lato
280	tramwaj	jesien
280	tramwaj	zima
