id_gracza	kraj	data_dolaczenia
111	Niemcy	2018-07-19
112	Austria	2019-02-21
113	Wietnam	2017-07-03
114	Niemcy	2017-03-24
115	Indie	2019-02-27
116	Wielka Brytania	2017-11-04
117	Chiny	2018-02-04
118	Nigeria	2017-07-15
119	Francja	2017-02-22
120	Chiny	2018-09-23
121	Rosja	2018-05-22
122	Wielka Brytania	2017-03-18
123	Polska	2017-08-16
124	Niemcy	2017-07-25
125	Belgia	2018-02-07
126	Rosja	2017-01-16
127	Wietnam	2019-01-04
128	Nepal	2017-04-02
129	Szwajcaria	2017-09-02
130	Rosja	2019-07-26
131	Stany Zjednoczone	2018-08-26
132	Polska	2019-01-17
133	Stany Zjednoczone	2018-07-18
134	Argentyna	2017-10-15
135	Polska	2018-08-08
136	Chiny	2017-02-17
137	Indie	2018-05-13
138	Turcja	2018-12-14
139	Bangladesz	2019-01-30
140	Niemcy	2019-05-30
141	Wielka Brytania	2019-07-11
142	Hiszpania	2018-12-05
143	Indie	2018-12-02
144	Rosja	2019-03-03
145	Bialorus	2018-09-22
146	Szwecja	2018-01-06
147	Stany Zjednoczone	2018-07-21
148	Indie	2017-01-15
149	Australia	2017-07-04
150	Egipt	2018-10-13
151	Rosja	2017-01-12
152	Polska	2018-10-22
153	Turcja	2017-06-14
154	Polska	2019-02-16
155	Polska	2019-06-12
156	Argentyna	2017-01-18
157	Stany Zjednoczone	2017-10-15
158	Polska	2017-05-18
159	Chiny	2017-08-20
160	Polska	2018-05-29
161	Hiszpania	2019-01-16
162	Polska	2018-12-30
163	Wielka Brytania	2018-03-27
164	Niemcy	2017-10-30
165	Polska	2018-06-10
166	Francja	2019-02-18
167	Polska	2018-04-22
168	Francja	2018-11-22
169	Stany Zjednoczone	2017-11-17
170	Nepal	2017-01-04
171	Rosja	2019-07-20
172	Rosja	2017-12-16
173	Japonia	2017-05-16
174	Holandia	2019-01-18
175	Wielka Brytania	2019-06-10
176	Japonia	2019-07-05
177	Polska	2019-06-06
178	Kanada	2019-03-27
179	Niemcy	2019-07-28
180	Chiny	2019-01-07
181	Korea Poludniowa	2017-10-18
182	Stany Zjednoczone	2018-10-08
183	Meksyk	2018-12-20
184	Australia	2019-01-29
185	Polska	2018-08-07
186	Niemcy	2019-05-09
187	Francja	2017-07-10
188	Wlochy	2018-06-19
189	Polska	2017-09-08
190	Niemcy	2017-05-30
191	Kostaryka	2019-05-27
192	Polska	2018-08-02
193	Rosja	2019-04-29
194	Francja	2018-04-30
195	Wielka Brytania	2017-01-15
196	Niemcy	2017-02-12
197	Rosja	2018-04-04
198	Polska	2017-12-12
199	Wielka Brytania	2017-12-22
200	Stany Zjednoczone	2019-03-20
