KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
0003404BIA;6;9;5;14;13;14;19;13;11;12;9;4
0003504URY;5;7;4;10;14;18;17;13;14;14;7;4
0003604OCH;8;8;9;14;13;15;17;13;8;9;10;5
0003704WES;10;5;7;12;14;13;20;18;14;12;5;5
0003803SRO;7;6;4;9;9;9;16;12;6;7;6;7
0003905TAR;7;8;10;14;15;17;20;22;17;12;7;12
0004004BIA;6;6;5;8;12;13;20;12;8;13;4;8
0004105BIE;12;8;10;16;15;20;20;15;15;14;7;11
0004204ZOL;10;7;6;13;9;13;18;14;11;11;9;5
0004303MOK;4;4;3;8;7;11;16;13;6;9;5;3
0004405BEM;6;6;7;16;17;20;24;16;17;13;12;6
0004502TAR;3;2;3;5;4;6;10;8;5;6;4;4
0004603BIA;6;4;3;7;9;10;12;11;9;8;7;5
0004703URU;5;5;5;7;7;13;16;11;8;6;7;4
0004802BIE;2;4;2;6;6;8;9;7;4;6;4;4
0004903TAR;4;7;3;6;6;13;16;13;7;6;7;5
0005002BIA;3;3;3;6;4;8;9;6;5;5;2;3
0005104WIL;5;9;9;11;8;15;17;18;14;13;9;5
0005203PRA;4;7;6;10;9;13;15;11;7;6;5;7
0005305WAW;8;5;7;10;15;15;23;18;16;14;6;11
0005402WOL;2;2;4;4;5;7;10;8;5;5;3;3
0005504REM;4;5;7;12;14;14;18;13;10;14;4;7
0005603WIL;6;6;3;10;9;13;12;12;8;9;6;6
0005704WES;5;10;10;13;11;17;16;15;13;10;9;5
0005804BEM;10;6;7;10;13;17;18;17;9;11;8;6
0005903URY;3;6;5;7;6;11;14;13;8;8;6;3
0006001TAR;1;1;1;2;3;4;4;4;2;2;1;1
0006103URY;4;3;5;8;8;12;12;9;10;10;4;3
0006204BIA;8;4;7;11;10;18;20;14;8;14;10;5
0006303BIA;5;5;7;6;7;13;16;12;7;7;6;7
0006404WLO;5;6;9;8;10;18;17;18;11;8;8;8
0006504WES;5;7;4;14;10;13;17;18;10;14;8;9
0006603OCH;3;3;4;9;9;13;15;9;10;10;6;6
0006702WIL;4;2;4;6;6;6;10;7;4;5;4;3
0006805OCH;11;10;12;16;15;18;21;20;15;14;5;10
0006902SRO;4;3;4;4;4;6;9;6;5;5;4;3
0007007SRO;7;13;13;16;17;24;32;24;19;15;13;8
0007102WES;4;4;2;5;6;6;10;6;6;4;2;2
0007203WIL;6;6;6;7;8;9;14;10;6;8;5;6
0007302BEM;3;4;4;5;4;6;8;8;5;5;2;2
0007403TAR;7;3;5;9;10;11;15;13;7;9;4;5
0007505WAW;7;10;7;10;11;17;27;18;11;10;5;8
0007604WES;9;9;9;12;10;12;18;18;8;13;7;10
0007702MOK;2;2;3;6;6;7;9;8;4;6;2;4
0007806WLO;9;8;13;15;15;20;24;20;20;15;12;7
0007902SRO;2;3;4;5;4;7;9;7;5;5;2;2
0008003WOL;4;4;6;6;6;10;13;9;8;9;7;5
0008103WLO;6;4;4;10;7;10;12;9;6;6;7;7
0008203ZOL;4;3;6;6;9;13;15;13;6;9;7;4
0008302BIA;3;2;4;6;6;8;8;7;6;5;4;2
0008402WIL;2;3;3;4;4;7;9;6;4;4;4;4
0008504WIL;9;10;5;12;12;17;21;12;9;10;4;10
0008603WES;5;4;3;7;9;12;12;10;7;6;3;7
0008705URY;8;10;7;16;15;21;25;16;16;11;5;11
0008803ZOL;4;5;3;7;9;12;15;9;7;6;4;6
0008903OCH;4;3;3;6;7;9;13;12;7;9;3;3
0009004URY;5;8;7;8;11;16;22;13;8;13;4;4
0009102REM;2;4;4;6;5;8;9;7;5;5;3;2
0009205WLO;10;9;11;10;16;15;23;15;14;13;10;7
0009301URY;1;1;1;2;3;3;4;4;2;2;2;1
0009406WAW;13;14;10;13;12;25;25;23;13;13;8;7
0009503WES;3;7;5;6;6;10;14;9;8;6;7;4
0009604BIE;10;8;8;14;8;17;18;17;10;11;8;8
0009704PRA;4;8;7;14;13;17;16;17;14;9;4;9
0009803OCH;4;5;7;10;9;12;12;9;6;7;4;5
0009904URY;5;4;6;14;13;18;17;14;11;9;5;10
0010007PRA;11;10;14;16;19;27;33;25;14;22;7;14
0010107BIA;10;8;13;20;16;28;32;25;16;19;11;13
0010204WLO;4;10;4;12;12;12;20;15;14;12;4;7
0010302BEM;2;4;4;4;5;8;9;6;4;6;4;2
0010404TAR;10;4;7;8;10;15;17;15;13;8;8;8
0010502OCH;2;3;4;5;6;6;8;6;4;5;2;3
0010603WES;4;5;4;9;7;12;14;12;6;10;7;5
0010704WES;8;5;8;11;10;15;20;13;13;12;10;8
0010803ZOL;5;7;7;8;8;12;12;9;9;9;5;7
0010904URU;6;6;4;11;14;12;20;16;12;13;10;9
0011003WIL;3;3;4;8;7;11;16;13;10;8;5;5
0011104WIL;6;10;9;14;11;12;17;12;9;14;10;6
0011204PRA;6;8;6;9;14;14;18;17;8;14;5;7
0011304TAR;10;5;4;8;8;16;20;17;8;10;5;10
0011402URU;3;2;2;4;6;6;10;8;4;4;2;2
0011502WES;3;4;3;4;4;6;8;6;6;4;2;3
0011602WLO;3;2;3;6;6;8;8;6;6;6;4;4
0011703BIA;7;6;7;9;6;11;16;11;10;6;6;7
0011805MOK;12;7;11;16;12;17;23;22;14;13;10;12
0011903URU;6;6;3;9;8;13;15;11;9;8;4;6
0012003OCH;4;3;4;9;6;11;15;10;9;8;6;5
0012104MOK;4;7;9;8;12;13;19;15;11;10;8;10
0012203BEM;5;4;7;7;10;12;13;12;7;10;7;7
0012306TAR;11;6;9;17;18;23;29;21;13;15;11;9
0012403WOL;4;7;5;8;10;11;12;12;9;6;3;4
0012505REM;9;8;8;11;14;19;21;17;16;13;11;9
0012601URY;2;2;1;2;2;3;4;3;3;2;1;1
0012703WOL;6;4;3;7;7;13;12;9;6;7;3;5
0012801WIL;2;2;1;3;2;4;5;4;3;2;1;1
0012903WOL;5;5;3;8;10;9;13;10;8;10;7;7
0013003OCH;3;5;5;9;7;13;13;11;7;7;7;5
0013101MOK;1;2;2;2;2;4;4;4;2;3;2;1
0013204REM;4;10;6;8;13;15;20;15;14;12;8;8
0013302URY;2;2;2;6;6;6;8;8;5;6;2;2
0013405SRO;6;5;7;12;10;20;22;20;17;11;6;8
0013504WAW;7;4;10;9;14;12;17;14;8;13;8;5
0013602ZOL;4;2;2;5;4;7;9;7;4;5;2;2
0013702URY;3;2;3;5;6;6;9;8;5;5;3;2
0013803BIA;3;7;5;6;10;12;16;12;9;7;7;4
0013903WIL;3;6;6;10;9;13;13;9;8;7;3;6
0014005ZOL;11;8;11;13;16;22;24;18;10;11;7;12
0014101BEM;2;2;2;2;3;3;4;3;3;2;2;1
0014204BIE;6;10;6;9;14;18;19;14;12;14;9;8
0014306WIL;8;9;7;20;18;20;29;22;14;12;14;11
0014402TAR;4;4;2;4;6;6;8;8;4;5;4;3
0014505WOL;11;6;12;10;16;16;23;20;11;11;11;7
0014604OCH;7;10;5;13;14;13;20;16;11;11;6;9
0014701WES;1;2;1;3;2;3;5;3;2;3;2;2
0014807WLO;7;8;7;20;21;25;36;21;16;17;11;14
0014902ZOL;2;3;4;5;6;7;10;8;6;4;4;3
0015005URY;7;8;6;15;12;20;21;18;12;16;7;6
0015103OCH;4;4;4;10;8;13;15;13;9;7;5;5
0015206REM;13;11;9;19;14;25;32;20;12;14;7;10
0015305WES;8;7;12;16;11;20;22;16;14;11;9;5
0015404SRO;8;6;10;12;8;13;21;14;12;12;5;5
0015504WES;8;5;10;10;8;18;21;12;10;9;6;10
0015604WIL;9;4;4;8;11;15;19;18;11;10;4;9
0015703SRO;5;7;6;7;7;11;16;9;10;9;6;6
0015806ZOL;11;6;8;17;12;25;26;26;18;14;13;12
0015903WLO;6;5;6;7;10;11;13;9;6;8;5;4
0016003URU;5;5;4;6;6;11;14;9;10;9;6;6
0016104WES;4;9;7;9;13;13;19;16;9;11;7;6
0016203SRO;7;7;6;6;7;10;12;12;10;7;5;7
0016302PRA;3;3;3;6;4;7;10;8;5;4;2;4
0016404URU;5;7;5;11;9;15;22;12;11;8;7;10
0016503WES;5;6;5;10;10;10;12;13;9;8;5;6
0016603PRA;7;3;3;7;8;13;12;12;9;9;5;5
0016703BEM;3;4;6;7;9;12;13;10;8;7;7;4
0016806WOL;14;11;13;13;13;18;24;20;17;20;14;11
0016905WIL;5;10;6;15;12;19;20;20;10;16;5;6
0017002MOK;2;2;4;5;4;6;9;7;5;4;4;4
0017104REM;7;9;5;14;11;17;20;17;11;8;8;4
0017201WLO;2;1;2;2;3;4;5;3;2;2;1;1
0017305BEM;11;6;9;17;17;22;20;20;14;17;12;7
0017403OCH;6;4;3;8;7;12;14;11;10;9;3;5
0017501SRO;2;1;1;2;3;4;4;3;2;2;1;2
0017601OCH;2;2;1;2;2;3;4;3;3;3;2;2
0017704BIE;5;7;9;8;9;16;18;15;9;8;10;10
0017806URU;14;8;8;19;13;22;29;19;16;13;13;10
0017901URU;1;2;2;2;3;3;4;3;3;2;1;2
0018005OCH;11;10;10;16;15;17;21;21;12;14;9;7
0018103BIE;7;3;4;10;7;13;13;13;8;8;4;6
0018204URU;10;10;10;11;13;15;19;14;11;8;9;4
0018304WLO;4;9;7;8;13;17;17;13;11;10;8;4
0018402PRA;2;2;4;6;5;8;8;6;5;4;4;3
0018502URU;2;3;4;5;4;8;8;8;5;5;3;4
0018604WES;4;9;9;9;14;12;19;12;9;11;5;9
0018701BIE;1;2;2;3;3;3;4;4;2;3;1;2
0018806WES;7;8;11;12;19;18;29;22;18;16;13;12
0018902SRO;4;4;4;4;4;8;10;8;4;6;4;3
0019002REM;3;2;3;4;4;7;10;7;5;4;3;2
0019103WLO;3;4;7;7;7;12;15;12;7;10;4;4
0019204URU;9;4;6;13;12;12;20;14;12;13;6;5
0019301WLO;2;1;1;3;2;4;5;3;3;3;2;1
0019404REM;8;8;5;12;12;18;19;15;10;10;6;7
0019504WIL;5;6;8;14;14;13;17;16;13;11;10;4
0019606WIL;11;14;7;19;17;26;29;26;15;13;11;7
0019703WES;3;6;6;8;7;12;13;12;8;6;6;7
0019803REM;7;4;3;7;10;9;14;10;10;7;3;4
0019903WOL;3;3;5;6;10;10;14;12;8;9;7;7
0020003WOL;4;3;7;6;9;13;13;12;9;10;4;4
0020104PRA;6;8;6;11;10;18;21;14;9;12;7;6
0020204WLO;10;6;10;13;13;17;18;14;14;12;8;9
0020301PRA;1;2;1;3;2;4;5;4;2;3;1;2
0020402REM;3;3;4;4;6;6;10;7;6;5;3;2
0020503WAW;4;6;5;7;9;10;15;11;9;10;7;4
0020605BIE;9;7;8;16;10;16;21;18;15;10;8;9
0020705URU;5;11;7;16;10;22;21;17;13;13;9;7
0020802BIE;2;4;3;4;4;8;8;6;4;5;3;4
0020903REM;5;5;5;10;8;12;12;12;9;8;5;4
0021004REM;6;6;5;13;12;16;17;13;12;14;4;4
0021102ZOL;2;4;3;5;6;7;9;7;4;4;2;2
0021202TAR;4;3;2;4;5;7;10;6;4;6;3;2
0021301PRA;2;2;1;2;2;3;5;3;3;3;1;1
0021404MOK;4;7;5;9;13;12;20;16;8;11;4;8
0021502WOL;3;2;3;5;6;6;9;8;5;6;2;4
0021603TAR;5;7;7;10;8;13;16;10;8;6;4;5
0021703WES;4;4;6;9;6;10;16;9;6;9;3;3
0021803PRA;5;3;6;7;9;11;15;9;9;6;6;4
0021902WOL;4;2;4;4;4;6;9;6;4;6;3;3
0022004BIE;9;6;9;13;10;13;22;12;12;13;8;9
0022101TAR;1;1;2;2;3;3;4;4;3;3;1;1
0022203URU;5;4;6;9;8;10;12;12;9;7;4;5
0022304PRA;7;8;6;12;9;12;21;16;11;14;4;8
0022402URY;4;3;4;5;6;6;10;7;5;4;2;3
0022503URY;6;3;6;6;9;9;13;12;9;8;7;4
0022603BEM;6;3;4;9;8;11;12;12;10;7;7;4
0022702SRO;4;2;3;6;4;6;8;7;4;5;2;3
0022802OCH;2;4;3;4;6;6;8;7;5;6;4;3
0022907WES;7;8;12;19;17;29;29;23;15;21;13;12
0023004BIA;4;6;8;9;14;16;22;18;13;14;4;10
0023102URY;2;2;3;4;4;6;8;6;4;4;2;3
0023201WES;2;1;1;2;3;3;5;4;2;2;1;1
0023302REM;4;3;4;4;6;7;8;6;5;6;3;3
0023402BIA;4;3;2;4;4;7;8;8;6;6;3;2
0023504WAW;6;9;9;10;8;18;20;13;11;12;5;8
0023603WOL;3;6;5;8;10;13;16;11;8;9;7;3
0023703URU;4;4;7;6;10;13;12;13;7;9;5;3
0023803REM;3;3;4;9;9;9;14;9;7;8;6;3
0023903WIL;6;6;3;9;9;13;14;10;6;9;3;4
0024001URU;1;2;1;3;3;3;4;3;2;3;1;1
0024103BIA;5;7;6;6;10;10;12;11;10;8;4;6
0024204URU;8;6;8;9;14;18;16;17;10;8;10;5
0024303BEM;3;5;4;8;9;10;14;13;6;9;5;6
0024404WAW;8;9;5;9;9;18;18;16;9;11;6;7
0024503URY;4;3;4;6;7;10;12;11;6;10;6;7
0024603WLO;5;7;6;8;9;12;14;13;7;10;4;5
0024703ZOL;3;5;6;6;9;13;15;9;8;6;6;6
0024803WOL;7;6;3;6;6;11;15;10;6;8;7;4
0024903BIE;5;7;7;10;6;12;13;10;9;9;5;4
0025006WAW;9;8;13;14;19;19;28;24;13;18;13;8
0025105TAR;12;10;6;17;15;16;22;21;11;17;12;7
0025203REM;3;3;5;10;6;11;15;9;10;8;6;3
0025302TAR;2;3;3;4;5;8;10;8;4;4;3;3
0025404WAW;9;4;7;13;14;16;21;15;14;14;6;8
0025504SRO;6;4;4;9;11;14;21;16;12;14;5;7
0025604SRO;10;5;7;12;14;18;21;12;10;14;4;5
0025705BIA;12;5;6;10;12;21;24;15;15;11;12;11
0025804BIA;10;7;8;10;13;13;22;16;8;12;6;9
0025906WLO;12;9;14;18;15;25;30;26;17;20;6;10
0026003WES;3;7;6;10;7;11;14;11;6;8;5;6
0026101OCH;2;1;1;3;3;3;4;4;2;3;1;2
0026203ZOL;4;7;5;6;6;11;13;10;8;8;7;5
0026304WIL;7;6;7;9;12;16;21;15;8;11;5;10
0026401BIE;1;2;2;3;2;4;4;3;2;2;2;1
0026502SRO;3;4;3;6;6;8;9;7;6;4;3;3
0026603REM;5;7;3;6;8;9;15;11;7;10;5;5
0026703REM;4;4;6;8;9;11;15;11;9;10;5;3
0026804REM;7;5;10;8;12;16;17;18;9;10;7;9
0026905OCH;10;10;10;14;17;17;25;20;10;13;12;9
0027003URU;7;6;4;8;8;13;13;9;8;6;3;3
0027106TAR;7;14;12;20;20;21;32;21;18;16;12;11
0027205URU;6;9;6;16;10;16;21;21;10;17;6;7
0027302BIA;3;4;3;6;4;6;9;7;4;4;3;2
0027407WES;8;15;13;14;21;29;35;24;22;20;14;7
0027502BIA;3;2;4;4;4;6;10;8;6;5;3;3
0027604PRA;9;9;5;11;11;18;20;16;14;11;8;9
0027703WLO;3;6;4;9;6;11;12;9;6;9;4;7
0027803BIE;3;5;7;6;7;11;12;11;9;6;3;7
0027903BIE;6;4;7;9;9;11;13;13;6;9;5;4
0028005WAW;12;5;5;16;13;19;27;19;12;17;8;7
0028104PRA;5;8;7;13;10;12;19;12;9;11;9;6
0028202TAR;4;3;4;6;4;8;10;8;5;6;4;2
0028302WIL;3;2;3;6;5;7;10;6;4;6;2;2
0028404WAW;9;7;6;11;8;13;16;14;14;12;8;7
0028504WES;9;9;6;10;9;17;21;16;13;8;4;5
0028603BIE;5;5;7;8;9;12;14;10;6;7;5;5
0028704WAW;6;7;7;9;9;18;19;18;14;14;5;10
0028803URY;4;5;4;10;6;12;12;13;10;8;4;7
0028903ZOL;3;4;4;9;9;9;16;11;7;10;5;4
0029003BIE;5;7;5;7;8;11;13;12;6;10;5;7
0029103PRA;4;5;7;7;7;10;14;10;7;8;3;6
0029205MOK;9;6;11;15;10;21;21;22;17;13;10;5
0029303REM;3;4;7;9;6;11;13;12;7;10;4;6
0029402WES;3;4;3;6;5;7;8;6;6;4;3;3
0029503OCH;7;5;3;10;7;13;16;10;10;7;5;5
0029603WES;6;5;4;10;7;11;12;12;9;9;4;6
0029702TAR;3;2;4;5;4;6;10;7;5;4;3;4
0029802WES;2;3;3;5;4;8;9;7;4;4;2;4
0029904SRO;5;6;10;13;8;13;19;14;8;14;9;7
0030003REM;7;4;3;10;8;9;16;11;6;6;6;6
0030103BIE;4;4;7;9;6;11;13;9;7;6;4;4
0030202URY;4;3;4;6;6;7;8;7;4;5;2;2
0030302BIE;4;3;4;5;4;6;8;8;6;4;2;3
0030401BIE;1;1;1;2;2;3;4;3;3;3;2;2
0030501BEM;1;2;2;3;2;3;4;3;3;2;2;1
0030603WLO;3;3;3;6;7;13;12;12;9;10;6;6
0030704TAR;8;5;8;9;8;17;18;16;11;9;5;5
0030803URY;7;3;4;8;9;9;14;12;7;10;3;6
0030903WLO;5;5;7;9;9;11;14;12;9;10;4;4
0031003BEM;3;5;4;8;6;9;15;10;7;8;4;7
0031104WIL;5;10;9;14;9;13;18;18;14;9;9;5
0031206BIA;13;7;8;12;18;26;31;20;16;16;14;8
0031302WES;4;2;3;6;4;8;10;6;5;5;4;3
0031404BIA;9;5;6;14;11;18;16;18;14;10;4;4
0031506BIE;13;14;14;15;16;20;29;22;15;12;12;11
0031603WIL;7;5;5;6;7;9;13;13;9;7;7;7
0031706MOK;12;12;13;13;14;22;24;26;13;15;11;11
0031801WLO;1;1;2;3;2;4;4;4;2;2;2;2
0031905ZOL;5;5;9;15;17;22;22;21;15;10;11;7
0032003WAW;3;5;5;8;8;10;15;11;7;10;5;7
0032103WAW;5;7;7;9;9;11;15;10;6;9;7;7
0032207WAW;7;7;7;21;16;27;32;23;22;20;8;10
0032306PRA;8;14;9;17;14;26;32;26;19;20;7;13
0032401WES;2;1;1;3;2;3;5;3;3;2;1;1
0032501WOL;1;1;2;3;3;4;5;4;2;3;2;2
0032602URU;2;3;3;6;4;7;8;7;6;6;4;3
0032702PRA;3;4;4;6;5;7;9;6;6;6;2;3
0032804TAR;8;9;7;8;8;13;17;16;8;8;6;5
0032904BIE;5;6;10;13;13;17;18;16;12;8;7;4
0033005WIL;12;7;6;12;12;22;26;17;10;12;12;7
0033104BIA;5;4;4;12;14;15;16;15;11;12;5;5
0033203WLO;6;6;5;9;8;12;13;12;7;7;3;5
0033302WLO;2;4;3;6;6;8;9;7;5;6;2;4
0033403WLO;6;3;5;10;7;10;16;12;9;7;3;6
0033504ZOL;9;10;9;10;8;16;19;13;9;9;5;8
0033603URU;7;6;7;10;6;13;14;9;10;10;4;3
0033703WES;6;6;5;8;6;9;16;12;10;7;5;7
0033803WLO;3;7;7;8;7;9;12;13;8;9;7;7
0033906WES;14;12;6;12;18;20;25;25;17;17;7;9
0034002SRO;4;4;2;6;4;8;9;7;6;5;3;3
0034102ZOL;3;2;2;5;6;6;9;7;6;5;3;3
0034204WOL;4;6;7;9;14;16;22;17;9;14;8;10
0034303WIL;3;4;5;8;9;10;12;12;8;9;7;5
0034401WAW;1;1;2;2;2;4;5;3;2;2;1;1
0034505TAR;7;11;11;13;12;18;22;19;10;10;7;6
0034604ZOL;8;6;10;13;9;14;21;16;12;8;9;6
0034704WLO;4;5;5;12;12;17;16;16;14;9;5;10
0034804BIA;5;9;6;14;9;14;20;17;10;10;9;4
0034902ZOL;3;2;2;5;4;7;10;6;4;6;4;2
0035006PRA;9;13;8;18;13;20;28;19;17;19;13;10
0035103OCH;5;7;4;9;6;13;12;10;9;9;6;5
0035202BEM;3;3;2;5;5;8;10;7;4;5;2;2
0035304BIE;5;8;6;12;8;14;22;16;14;10;4;9
0035403BIE;7;6;5;9;10;11;15;13;6;8;3;3
0035507OCH;8;8;7;15;17;24;28;25;17;18;11;8
0035602MOK;2;4;3;5;6;8;10;7;6;5;4;4
0035704WES;9;4;8;8;11;12;16;13;9;14;5;5
0035802BEM;2;3;4;6;6;6;9;8;4;5;3;2
0035903WES;4;4;7;9;9;13;12;11;8;9;3;7
0036002URU;3;3;3;5;4;7;8;7;5;5;4;3
0036101WOL;1;2;2;3;2;3;5;4;3;2;2;1
0036204WAW;10;7;9;9;9;14;21;13;9;11;10;6
0036303REM;7;3;7;7;7;12;15;12;6;6;4;4
0036405SRO;11;12;8;10;17;16;25;17;12;16;9;11
0036502ZOL;2;2;3;4;6;8;8;8;5;6;3;3
0036601ZOL;1;2;2;2;2;3;5;4;3;2;1;1
0036704BEM;6;9;7;12;10;14;19;13;10;11;6;6
0036803WOL;5;3;7;6;8;10;16;10;7;9;3;6
0036906WOL;13;6;10;15;14;18;30;21;16;14;6;13
0037002WOL;2;3;2;4;6;7;8;6;6;5;2;2
0037103BIE;6;6;7;9;7;9;13;10;8;9;3;3
0037201REM;2;1;1;3;2;4;5;4;2;3;1;2
0037301BIE;1;2;1;2;3;4;5;3;3;2;1;1
0037402BIA;3;2;4;4;4;8;8;6;5;4;4;2
0037502WAW;2;4;2;6;6;8;10;6;6;4;2;3
0037604URU;9;5;7;10;11;13;17;14;11;8;8;10
0037706WES;12;10;6;19;16;24;26;19;17;20;12;13
0037804TAR;8;4;8;13;12;15;17;15;11;10;7;10
0037906URU;12;13;12;20;17;22;30;25;14;16;14;13
0038007URY;9;10;13;21;17;29;33;28;20;15;12;9
0038103BEM;5;5;7;7;8;10;14;10;10;6;6;7
0038203WIL;4;5;6;10;8;11;16;11;8;9;4;4
0038303MOK;6;5;4;10;6;12;16;12;6;6;3;4
0038405BIA;10;12;10;15;15;17;21;22;15;15;9;10
0038503ZOL;4;5;5;7;6;12;13;11;7;9;6;7
0038602BIA;3;3;4;6;4;7;9;6;6;5;3;2
0038702OCH;2;4;3;6;5;6;10;6;4;5;4;2
0038802BEM;3;4;4;6;6;8;10;7;4;4;3;3
0038903WOL;7;4;3;7;6;12;14;13;6;7;5;7
0039004BEM;4;10;10;11;10;15;17;16;13;13;9;5
0039106WAW;10;8;11;15;15;26;28;18;18;14;9;11
0039202WOL;2;4;3;6;6;8;10;6;4;5;4;4
0039304BEM;7;5;8;10;9;15;19;18;13;8;5;9
0039406TAR;9;10;7;12;12;23;32;25;12;15;8;12
0039503REM;4;6;7;7;9;13;15;12;8;7;6;6
0039603BIA;7;4;4;7;10;13;13;10;6;8;7;5
0039703WIL;6;5;6;6;7;10;14;9;6;9;7;4
0039802WLO;4;3;2;4;4;6;8;8;6;5;2;3
0039903OCH;6;7;5;7;10;13;12;9;9;6;4;3
0040005BIE;7;8;12;10;15;21;25;18;13;10;5;7
0040103BEM;4;7;5;8;10;9;14;11;9;8;3;5
0040202BEM;2;3;4;6;4;6;9;6;4;4;2;4
0040305SRO;10;11;12;11;13;20;22;21;13;16;10;9
0040405URY;6;6;7;13;17;22;22;15;15;17;9;12
0040503REM;5;4;3;6;10;9;16;13;9;8;3;5
0040604MOK;8;5;7;10;9;14;16;15;9;12;7;8
0040702REM;2;4;4;4;6;8;10;7;4;6;3;4
0040803BIA;5;7;3;9;9;9;15;12;9;8;6;6
0040903SRO;6;7;6;7;9;13;12;9;6;9;3;5
0041006MOK;6;10;7;16;18;25;32;23;18;19;14;12
0041106WOL;7;11;10;15;18;22;28;21;12;16;12;13
0041203WAW;5;6;5;7;9;12;15;10;6;9;3;6
0041303BEM;7;6;4;6;6;13;15;11;6;10;4;5
0041402WIL;3;2;3;6;4;7;10;7;6;6;4;2
0041503WOL;4;4;7;8;8;9;13;10;6;7;5;3
0041606TAR;12;9;6;20;14;21;28;23;15;20;14;8
0041702ZOL;4;2;3;5;5;8;8;6;4;4;4;2
0041806WAW;13;9;11;17;18;22;28;20;15;13;13;11
0041904ZOL;8;4;8;13;12;14;20;16;8;8;5;6
0042002BIE;4;4;3;6;6;8;10;7;6;5;4;4
0042103OCH;7;3;7;6;7;10;13;12;9;10;4;3
0042204PRA;5;6;9;11;9;13;16;16;13;14;5;9
0042301OCH;2;2;2;2;2;4;5;4;2;3;2;1
0042404MOK;8;9;9;12;12;14;18;17;14;14;7;8
0042502ZOL;4;4;4;5;6;6;8;8;4;6;4;2
0042604OCH;8;10;5;9;13;14;17;12;8;14;8;10
0042703TAR;3;5;4;7;6;9;16;11;10;7;5;4
0042804REM;4;5;4;9;8;18;21;18;14;14;9;8
0042904BIA;10;8;6;9;14;17;16;12;8;12;10;4
0043003URU;5;6;4;7;8;9;14;13;8;9;6;5
0043103PRA;6;4;7;7;9;12;14;9;7;10;7;7
0043203WES;3;7;3;8;7;12;14;13;6;9;7;6
0043303PRA;7;4;6;6;9;13;14;12;9;10;7;5
0043404URU;9;6;8;13;11;15;19;13;12;13;7;4
0043504TAR;9;9;6;14;10;16;19;13;9;10;9;4
0043603URU;7;7;6;10;9;13;13;13;8;7;5;6
0043701TAR;2;1;1;2;3;3;5;4;3;3;2;2
0043804REM;10;8;4;12;10;15;19;14;10;13;4;8
0043901OCH;1;1;2;2;2;3;4;3;3;3;2;2
0044003BEM;3;4;4;7;6;13;14;10;10;9;5;7
0044103BIE;5;6;3;9;9;11;15;12;8;10;6;3
0044203REM;4;3;6;8;7;12;14;11;6;6;6;3
0044303BIE;7;6;5;7;8;10;16;11;10;10;5;6
0044403WOL;3;7;7;9;9;11;14;9;8;6;6;7
0044507BEM;7;8;11;19;16;22;33;28;18;16;10;14
0044602WLO;3;3;4;6;6;6;8;8;4;5;2;4
0044702BEM;3;2;3;5;4;6;9;8;4;6;3;3
0044804PRA;7;5;4;10;14;15;21;15;10;10;9;10
0044904OCH;10;5;6;12;10;16;18;15;8;8;4;9
0045003BIE;4;4;4;10;7;9;14;13;10;7;6;4
0045104BIE;4;10;8;11;9;17;20;16;9;12;4;10
0045203BIE;7;7;4;6;7;9;16;13;8;8;4;5
