id_jednostki	id_gracza	nazwa	lok_x	lok_y
350	145	robotnik	76	195
351	9	topornik	96	190
352	22	kusznik	160	33
353	137	zwiadowca	126	10
354	86	pikinier	88	25
355	160	topornik	44	19
356	176	smok	135	99
357	98	lucznik	36	157
358	167	drwal	118	41
359	130	robotnik	27	74
360	163	kawalerzysta	162	171
361	13	mag ziemi	119	61
362	132	drwal	90	49
363	131	lucznik	38	63
364	147	kawalerzysta	54	170
365	74	katapulta	93	112
366	175	robotnik	90	14
367	106	konny lucznik	46	198
368	199	pikinier	98	77
369	183	katapulta	195	74
370	194	architekt	113	44
371	15	artylerzysta	76	23
372	87	lucznik	107	32
373	88	lucznik	10	45
374	190	artylerzysta	7	40
375	199	topornik	120	35
376	164	kusznik	144	88
377	105	piechur	30	134
378	78	piechur	109	115
379	66	konny lucznik	115	39
380	121	drwal	169	77
381	113	piechur	4	2
382	73	zwiadowca	159	49
383	60	kusznik	103	150
384	135	robotnik	71	23
385	5	kawalerzysta	120	123
386	5	katapulta	127	187
387	4	kaplan	12	135
388	110	drwal	162	111
389	122	goniec	87	56
390	128	robotnik	35	112
391	100	drwal	187	197
392	75	lucznik	22	44
393	59	kusznik	80	189
394	38	lucznik	73	177
395	55	pikinier	97	93
396	137	topornik	51	186
397	15	katapulta	65	51
398	142	ciemny elf	157	190
399	197	artylerzysta	30	196
400	22	mag ziemi	176	112
401	187	lucznik	134	74
402	105	elfi czarodziej	84	142
403	168	paladyn	136	147
404	137	drwal	167	59
405	168	topornik	33	103
406	12	kawalerzysta	190	1
407	189	kaplan	143	7
408	110	topornik	138	149
409	82	kusznik	189	110
410	163	drwal	31	135
411	127	kaplan	91	179
412	118	lucznik	81	69
413	80	robotnik	96	129
414	67	smok	160	149
415	128	lekki jezdziec	73	27
416	126	drwal	40	162
417	177	topornik	122	174
418	102	robotnik	162	76
419	177	robotnik	32	197
420	15	mag wody	107	136
421	32	katapulta	33	177
422	98	lekki jezdziec	107	98
423	167	pikinier	176	198
424	16	piechur	161	19
425	83	mag ziemi	141	97
426	165	artylerzysta	2	142
427	174	robotnik	80	33
428	24	piechur	65	37
429	129	kusznik	73	117
430	79	pikinier	3	59
431	29	robotnik	132	79
432	70	drwal	138	172
433	94	topornik	43	172
434	70	balista	60	20
435	193	mag wody	117	27
436	37	kusznik	81	66
437	192	kusznik	164	33
438	154	topornik	154	161
439	128	drwal	71	11
440	16	robotnik	131	2
441	120	konny lucznik	80	52
442	128	architekt	79	120
443	188	kusznik	159	45
444	186	drwal	65	2
445	117	wysoki elf-gwardzista	154	33
446	106	kusznik	44	123
447	40	lucznik	186	186
448	94	robotnik	108	171
449	44	elfi czarodziej	144	181
450	145	lekki jezdziec	162	132
451	183	kusznik	154	97
452	126	piechur	71	125
453	125	mag ognia	76	114
454	86	topornik	18	181
455	82	kusznik	105	110
456	128	kusznik	195	92
457	57	pikinier	26	16
458	82	elfi czarodziej	57	43
459	72	robotnik	186	136
460	84	robotnik	176	168
461	58	piechur	76	89
462	58	lekki jezdziec	39	113
463	73	kawalerzysta	33	175
464	167	topornik	163	70
465	75	kawalerzysta	175	46
466	21	artylerzysta	11	71
467	198	wysoki elf-gwardzista	90	163
468	54	wysoki elf-gwardzista	8	29
469	51	pikinier	55	168
470	38	pikinier	32	155
471	75	mag wody	26	15
472	84	piechur	64	85
473	86	artylerzysta	170	128
474	27	pikinier	173	145
475	183	kusznik	0	194
476	49	robotnik	12	102
477	104	paladyn	199	21
478	64	balista	144	108
479	166	mag powietrza	32	195
480	58	architekt	27	140
481	156	lucznik	73	104
482	133	pikinier	38	101
483	77	robotnik	140	35
484	159	lekki jezdziec	76	19
485	24	zwiadowca	16	85
486	143	robotnik	100	45
487	49	drwal	70	121
488	182	lekki jezdziec	2	53
489	123	robotnik	116	180
490	2	balista	105	87
491	57	artylerzysta	6	178
492	1	topornik	113	69
493	193	drwal	9	76
494	194	kusznik	120	157
495	78	robotnik	44	139
496	107	balista	10	44
497	69	balista	93	28
498	53	artylerzysta	90	37
499	177	artylerzysta	139	157
500	200	piechur	43	176
501	122	kusznik	199	93
502	139	lesny elf	163	5
503	157	architekt	31	100
504	126	topornik	187	194
505	155	topornik	4	45
506	104	topornik	174	196
507	87	robotnik	158	94
508	40	topornik	112	35
509	177	lucznik	101	193
510	46	topornik	28	43
511	18	kusznik	78	167
512	73	lesny elf	45	75
513	105	pikinier	2	197
514	77	pikinier	183	121
515	180	topornik	39	52
516	193	kusznik	10	181
517	99	kaplan	117	124
518	85	lekki jezdziec	192	104
519	126	topornik	139	83
520	83	piechur	36	29
521	107	zwiadowca	42	100
522	136	mag wody	90	2
523	127	kusznik	31	198
524	101	lucznik	34	106
525	136	kusznik	57	145
526	134	lucznik	72	184
527	81	pikinier	130	162
528	96	elfi czarodziej	128	55
529	122	robotnik	149	161
530	39	piechur	0	125
531	25	artylerzysta	37	82
532	120	topornik	85	39
533	99	katapulta	155	165
534	183	kusznik	15	4
535	95	kaplan	129	74
536	89	kawalerzysta	163	58
537	52	wysoki elf-gwardzista	84	140
538	131	pikinier	99	184
539	165	kawalerzysta	6	12
540	13	piechur	96	104
541	72	lekki jezdziec	72	199
542	170	topornik	121	157
543	195	pikinier	131	186
544	59	lucznik	180	69
545	109	balista	21	70
546	89	robotnik	126	114
547	164	kusznik	175	118
548	192	mag ziemi	48	105
549	128	robotnik	83	148
550	173	balista	96	167
551	58	topornik	124	3
552	184	lucznik	147	47
553	155	balista	154	31
554	68	katapulta	56	36
555	190	balista	51	38
556	23	topornik	27	181
557	87	robotnik	113	157
558	76	pikinier	141	147
559	98	drwal	91	93
560	137	drwal	106	160
561	188	topornik	75	117
562	84	piechur	137	5
563	6	robotnik	10	97
564	83	topornik	41	95
565	90	piechur	135	191
566	131	mag ziemi	109	131
567	54	topornik	25	36
568	179	piechur	41	27
569	11	robotnik	191	127
570	27	kusznik	91	12
571	10	robotnik	79	7
572	83	piechur	108	158
573	169	kawalerzysta	179	32
574	67	pikinier	14	194
575	80	katapulta	77	70
576	31	katapulta	165	77
577	69	piechur	157	30
578	69	kaplan	144	54
579	60	robotnik	18	118
580	130	troll	4	152
581	27	konny lucznik	187	51
582	90	piechur	102	185
583	122	robotnik	73	156
584	142	robotnik	147	37
585	5	robotnik	47	47
586	78	artylerzysta	120	151
587	84	piechur	147	130
588	71	troll	83	190
589	105	robotnik	136	113
590	5	kusznik	192	191
591	34	kusznik	130	189
592	118	ciemny elf	168	88
593	6	paladyn	87	140
594	150	kusznik	39	71
595	191	goniec	175	141
596	153	kusznik	33	156
597	140	robotnik	137	50
598	161	lekki jezdziec	117	175
599	128	kawalerzysta	169	174
600	71	kaplan	71	19
601	65	lucznik	139	187
602	81	piechur	18	196
603	160	pikinier	136	126
604	16	piechur	7	58
605	12	mag ognia	73	78
606	39	balista	168	21
607	192	lekki jezdziec	132	106
608	39	robotnik	24	2
609	32	piechur	158	86
610	43	balista	49	172
611	154	kusznik	138	53
612	108	robotnik	47	70
613	66	topornik	157	183
614	107	mag powietrza	165	189
615	47	topornik	72	45
616	200	robotnik	22	162
617	67	lesny elf	128	176
618	91	katapulta	14	152
619	6	lekki jezdziec	38	21
620	169	balista	77	6
621	194	architekt	181	69
622	137	zwiadowca	19	5
623	91	robotnik	76	84
624	23	piechur	112	108
625	67	balista	192	16
626	32	lekki jezdziec	120	76
627	114	pikinier	111	123
628	59	kusznik	9	118
629	192	katapulta	167	73
630	61	mag wody	115	148
631	197	drwal	191	132
632	169	goniec	28	14
633	37	lucznik	122	185
634	76	robotnik	188	161
635	31	lekki jezdziec	130	193
636	50	lesny elf	194	86
637	131	artylerzysta	101	27
638	105	architekt	56	58
639	135	architekt	57	122
640	44	lucznik	0	39
641	25	katapulta	117	22
642	23	drwal	161	43
643	160	lekki jezdziec	32	159
644	129	piechur	112	35
645	161	kawalerzysta	7	149
646	152	lucznik	56	160
647	19	robotnik	12	26
648	113	ciemny elf	92	61
649	176	robotnik	50	44
650	6	robotnik	170	6
651	69	robotnik	117	22
652	50	lucznik	84	142
653	136	piechur	149	36
654	8	konny lucznik	36	197
655	98	robotnik	90	116
656	141	kusznik	40	106
657	91	artylerzysta	82	115
658	81	lucznik	173	116
659	61	lucznik	185	95
660	4	balista	3	151
661	48	pikinier	146	57
662	108	pikinier	66	81
663	105	piechur	192	96
664	149	artylerzysta	19	22
665	147	drwal	58	170
666	131	lucznik	52	166
667	97	lesny elf	47	147
668	74	lucznik	178	60
669	193	piechur	75	132
670	81	mag ognia	146	46
671	109	robotnik	175	175
672	163	piechur	132	66
673	134	kusznik	98	55
674	26	architekt	146	119
675	140	robotnik	107	185
676	194	pikinier	61	50
677	173	artylerzysta	66	169
678	110	topornik	177	81
679	154	mag powietrza	194	104
680	10	lekki jezdziec	84	182
681	162	piechur	189	118
682	69	pikinier	146	51
683	15	pikinier	73	72
684	186	pikinier	11	61
685	178	robotnik	56	198
686	44	pikinier	130	12
687	111	zwiadowca	145	68
688	73	piechur	171	115
689	18	drwal	101	0
690	169	ciemny elf	133	168
691	32	artylerzysta	125	133
692	30	katapulta	196	14
693	48	pikinier	139	127
694	77	drwal	183	125
695	103	robotnik	120	111
696	59	lucznik	11	45
697	165	balista	77	95
698	66	mag ziemi	177	56
699	138	zwiadowca	30	12
700	147	pikinier	84	76
701	163	lucznik	187	28
702	42	balista	111	24
703	7	piechur	112	154
704	76	elfi czarodziej	163	61
705	110	kusznik	85	25
706	107	piechur	68	176
707	45	lucznik	162	28
708	33	drwal	65	158
709	142	zwiadowca	145	99
710	197	pikinier	57	114
711	60	lucznik	62	199
712	122	pikinier	129	84
713	102	robotnik	28	3
714	168	lucznik	125	190
715	83	artylerzysta	113	26
716	157	topornik	135	138
717	75	robotnik	131	23
718	62	ciemny elf	110	45
719	168	kusznik	100	1
720	55	lekki jezdziec	45	107
721	109	artylerzysta	149	49
722	5	lucznik	112	51
723	81	paladyn	40	59
724	198	mag powietrza	174	62
725	5	lucznik	8	163
726	5	robotnik	192	86
727	104	robotnik	3	146
728	195	drwal	13	73
729	120	drwal	111	143
730	68	pikinier	11	67
731	187	drwal	2	151
732	152	lekki jezdziec	21	10
733	108	katapulta	83	117
734	140	robotnik	1	37
735	113	architekt	98	74
736	126	kusznik	163	184
737	53	robotnik	63	174
738	49	kawalerzysta	119	73
739	12	topornik	2	198
740	65	lekki jezdziec	89	84
741	108	kaplan	27	153
742	94	piechur	112	49
743	185	pikinier	147	44
744	161	artylerzysta	136	6
745	131	kusznik	136	96
746	31	robotnik	138	114
747	3	drwal	76	175
748	196	robotnik	109	128
749	36	wysoki elf-gwardzista	86	41
750	115	katapulta	89	175
751	112	drwal	113	50
752	115	balista	23	150
753	134	konny lucznik	90	2
754	61	pikinier	186	191
755	74	robotnik	52	128
756	76	robotnik	64	171
757	95	lucznik	181	121
758	27	piechur	57	134
759	45	robotnik	198	4
760	155	pikinier	130	169
761	162	pikinier	64	150
762	30	robotnik	92	74
763	61	balista	109	87
764	183	robotnik	180	88
765	118	balista	78	32
766	127	pikinier	123	71
767	78	kusznik	164	133
768	72	pikinier	75	21
769	80	mag ziemi	55	41
770	83	lucznik	28	67
771	128	topornik	84	68
772	140	ciemny elf	148	13
773	37	mag wody	40	182
774	25	piechur	184	14
775	75	drwal	8	145
776	129	lekki jezdziec	172	41
777	92	lucznik	91	51
778	7	piechur	50	72
779	71	piechur	83	112
780	181	architekt	1	173
781	189	robotnik	13	28
782	144	mag wody	95	165
783	152	robotnik	157	164
784	146	pikinier	11	186
785	121	robotnik	89	144
786	105	pikinier	119	34
787	145	kaplan	8	165
788	78	lekki jezdziec	197	173
789	83	piechur	65	38
790	135	artylerzysta	198	115
791	48	drwal	139	126
792	74	piechur	186	120
793	31	kawalerzysta	3	26
794	104	piechur	34	116
795	169	mag powietrza	166	120
796	170	zwiadowca	87	175
797	12	ciemny elf	7	22
798	23	kawalerzysta	76	92
799	97	robotnik	32	181
800	200	pikinier	82	166
801	10	mag powietrza	172	45
802	172	mag ziemi	25	85
803	35	mag wody	182	43
804	23	mag wody	119	185
805	161	lesny elf	27	122
806	15	kusznik	69	91
807	175	pikinier	129	173
808	37	lekki jezdziec	5	178
809	94	kusznik	165	149
810	17	robotnik	54	39
811	28	zwiadowca	99	14
812	105	kawalerzysta	26	85
813	30	robotnik	55	1
814	189	balista	78	94
815	50	piechur	103	197
816	21	mag ognia	151	190
817	59	drwal	113	129
818	145	mag powietrza	57	123
819	162	piechur	173	83
820	70	lekki jezdziec	136	28
821	94	kusznik	50	198
822	67	robotnik	90	169
823	9	robotnik	25	74
824	12	robotnik	177	96
825	128	architekt	105	101
826	16	piechur	193	132
827	169	kawalerzysta	98	17
828	120	lucznik	195	114
829	125	troll	93	65
830	191	lucznik	138	36
831	148	elfi czarodziej	39	65
832	48	drwal	7	103
833	4	mag wody	7	100
834	183	drwal	182	52
835	129	robotnik	88	86
836	119	mag wody	64	45
837	140	balista	37	142
838	110	mag powietrza	102	107
839	154	kusznik	190	91
840	75	topornik	191	2
841	150	lucznik	124	15
842	197	ciemny elf	185	113
843	50	pikinier	134	197
844	38	balista	62	30
845	107	lucznik	127	49
846	76	elfi czarodziej	16	191
847	143	artylerzysta	159	147
848	184	kawalerzysta	106	111
849	156	wysoki elf-gwardzista	180	3
850	82	kawalerzysta	39	82
851	18	drwal	33	13
852	98	piechur	5	84
853	112	lucznik	95	75
854	147	pikinier	58	89
855	119	troll	49	8
856	65	kawalerzysta	161	122
857	61	topornik	191	143
858	43	piechur	83	126
859	6	kusznik	40	152
860	40	artylerzysta	73	166
861	142	piechur	63	194
862	2	drwal	6	25
863	125	lekki jezdziec	113	54
864	50	lekki jezdziec	146	191
865	1	topornik	186	21
866	99	topornik	81	136
867	28	pikinier	75	108
868	72	piechur	70	67
869	43	balista	100	84
870	199	katapulta	1	193
871	92	robotnik	135	119
872	46	paladyn	15	107
873	49	lucznik	164	184
874	34	drwal	154	108
875	6	drwal	161	152
876	137	mag ziemi	86	58
877	133	lucznik	8	45
878	131	kusznik	59	162
879	67	piechur	139	120
880	76	artylerzysta	150	192
881	97	pikinier	88	16
882	77	pikinier	24	57
883	133	robotnik	89	138
884	174	kusznik	171	111
885	103	drwal	149	78
886	127	pikinier	170	109
887	179	artylerzysta	61	116
888	24	kusznik	34	35
889	21	pikinier	44	191
890	92	lekki jezdziec	176	84
891	174	topornik	79	100
892	25	balista	138	91
893	44	robotnik	38	79
894	159	lucznik	157	161
895	140	zwiadowca	161	171
896	96	balista	20	119
897	38	balista	171	117
898	55	architekt	48	10
899	151	lucznik	55	80
900	97	robotnik	106	56
901	65	kawalerzysta	102	85
902	109	robotnik	35	94
903	64	robotnik	99	67
904	96	lucznik	143	79
905	126	artylerzysta	79	189
906	10	balista	125	184
907	157	architekt	141	104
908	194	piechur	86	57
909	10	lucznik	5	118
910	1	pikinier	78	99
911	150	katapulta	142	196
912	192	kaplan	141	165
913	127	kawalerzysta	38	142
914	199	balista	198	140
915	7	wysoki elf-gwardzista	116	18
916	175	kusznik	28	26
917	180	drwal	150	123
918	103	architekt	16	43
919	149	katapulta	40	5
920	42	piechur	125	4
921	57	robotnik	86	145
922	31	lekki jezdziec	24	196
923	86	balista	68	25
924	105	drwal	186	128
925	99	piechur	74	96
926	123	konny lucznik	135	163
927	189	katapulta	107	71
928	167	drwal	2	129
929	184	architekt	101	21
930	82	drwal	97	109
931	1	robotnik	118	29
932	141	lucznik	185	15
933	104	mag powietrza	70	64
934	183	pikinier	9	118
935	47	lucznik	156	68
936	123	lucznik	90	189
937	80	artylerzysta	162	173
938	49	architekt	79	136
939	131	lucznik	109	2
940	83	topornik	133	105
941	110	ciemny elf	143	40
942	10	mag ziemi	80	5
943	94	kawalerzysta	85	112
944	53	pikinier	80	77
945	111	drwal	190	89
946	72	pikinier	173	116
947	100	kawalerzysta	125	189
948	167	balista	113	88
949	14	elfi czarodziej	103	18
950	14	lekki jezdziec	95	164
951	183	mag ognia	135	21
952	16	topornik	135	199
953	94	balista	102	25
954	35	elfi czarodziej	113	72
955	66	architekt	135	140
956	198	pikinier	58	152
957	87	pikinier	197	112
958	131	pikinier	52	188
959	59	artylerzysta	154	132
960	17	kaplan	35	151
961	98	architekt	57	4
962	4	kawalerzysta	99	24
963	135	lucznik	188	165
964	130	konny lucznik	132	122
965	21	robotnik	40	69
966	42	robotnik	69	66
967	77	balista	27	112
968	104	piechur	56	36
969	130	balista	54	13
970	139	robotnik	160	116
971	180	mag powietrza	177	159
972	21	drwal	65	119
973	126	konny lucznik	171	36
974	121	katapulta	90	193
975	47	kusznik	199	40
976	14	goniec	178	53
977	12	topornik	28	21
978	37	kusznik	70	27
979	146	piechur	85	81
980	143	konny lucznik	84	41
981	25	mag ognia	153	190
982	99	drwal	51	195
983	169	katapulta	181	180
984	114	piechur	126	71
985	1	drwal	115	72
986	82	piechur	107	154
987	62	lekki jezdziec	99	103
988	99	katapulta	5	132
989	176	topornik	50	165
990	32	lucznik	115	68
991	23	kusznik	55	197
992	116	topornik	61	80
993	68	robotnik	56	172
994	38	lekki jezdziec	185	25
995	189	balista	104	154
996	5	kusznik	170	86
997	102	drwal	35	108
998	179	balista	89	74
999	46	pikinier	76	72
1000	141	pikinier	179	131
1001	77	pikinier	135	125
1002	28	pikinier	123	167
1003	53	mag ziemi	73	76
1004	152	topornik	51	191
1005	78	lucznik	20	180
1006	7	pikinier	184	38
1007	180	kawalerzysta	197	71
1008	100	topornik	92	23
1009	136	balista	5	196
1010	105	topornik	161	2
1011	21	piechur	193	44
1012	8	kusznik	135	71
1013	14	architekt	32	29
1014	24	topornik	87	37
1015	93	lucznik	43	179
1016	60	robotnik	49	182
1017	64	kusznik	163	73
1018	82	piechur	171	74
1019	64	lucznik	93	140
1020	10	kusznik	35	124
1021	63	lucznik	38	125
1022	56	piechur	2	67
1023	169	lekki jezdziec	137	183
1024	153	kusznik	4	107
1025	86	balista	85	180
1026	108	piechur	161	198
1027	177	kawalerzysta	181	133
1028	133	lucznik	62	156
1029	88	katapulta	145	193
1030	148	piechur	164	54
1031	169	drwal	92	132
1032	65	lucznik	178	161
1033	42	ciemny elf	160	33
1034	42	robotnik	80	100
1035	125	drwal	105	34
1036	142	architekt	182	38
1037	35	konny lucznik	125	154
1038	40	lucznik	24	21
1039	178	kawalerzysta	85	163
1040	145	piechur	36	126
1041	43	mag wody	139	184
1042	191	piechur	69	62
1043	139	architekt	81	82
1044	169	piechur	78	23
