Data_meczu	Rodzaj_meczu	Gdzie	Id_druzyny	Nr_licencji	Bramki_zdobyte	Bramki_stracone
2007-01-02	L	D	80	AH1813	0	3
2007-09-15	L	W	28	AH1813	2	3
2008-04-14	L	D	53	AH1813	6	3
2009-05-31	L	W	97	AH1813	6	3
2009-06-08	L	D	62	AH1813	0	1
2010-08-21	T	W	6	AH1813	2	2
2011-06-05	T	W	40	AH1813	6	5
2011-07-03	L	W	76	AH1813	5	3
2011-07-26	L	D	52	AH1813	3	0
2011-09-14	P	D	12	AH1813	4	2
2002-02-05	P	W	59	AL0276	0	1
2003-04-24	L	D	42	AL0276	0	5
2003-08-12	L	D	63	AL0276	1	4
2004-03-26	P	D	50	AL0276	2	2
2004-12-12	L	D	72	AL0276	3	3
2005-01-13	L	W	80	AL0276	4	1
2005-02-17	L	D	97	AL0276	0	2
2005-04-25	L	D	13	AL0276	0	5
2005-11-05	L	W	20	AL0276	4	1
2005-12-30	L	W	68	AL0276	2	4
2007-04-30	L	W	59	AL0276	1	4
2007-05-07	L	D	3	AL0276	6	5
2007-06-29	L	D	39	AL0276	2	1
2007-07-12	L	D	71	AL0276	6	4
2008-04-15	L	D	34	AL0276	6	0
2009-08-05	L	W	24	AL0276	6	0
2010-06-24	P	W	21	AL0276	1	0
2011-08-15	L	D	12	AL0276	4	1
2003-02-20	L	W	84	AL0516	4	3
2003-10-30	L	D	41	AL0516	2	0
2004-01-02	L	D	28	AL0516	2	0
2004-06-14	P	D	14	AL0516	0	2
2005-01-05	L	W	100	AL0516	6	1
2005-03-13	L	W	15	AL0516	5	5
2005-10-28	L	D	100	AL0516	5	0
2006-02-09	L	W	36	AL0516	0	0
2007-06-18	L	D	14	AL0516	2	5
2008-07-02	L	D	14	AL0516	1	0
2009-02-17	L	D	4	AL0516	3	4
2009-09-09	L	W	23	AL0516	3	1
2011-04-11	L	W	24	AL0516	0	5
2011-06-11	L	D	46	AL0516	5	2
2002-03-13	L	D	93	BA8536	6	1
2002-04-03	L	D	25	BA8536	0	3
2003-09-07	P	D	39	BA8536	0	5
2004-01-24	L	D	42	BA8536	1	2
2004-03-28	L	W	64	BA8536	6	4
2004-11-20	L	D	78	BA8536	3	2
2005-11-15	L	W	3	BA8536	1	2
2006-03-25	L	D	32	BA8536	1	1
2006-04-10	L	W	65	BA8536	5	1
2006-08-11	L	D	66	BA8536	0	4
2007-01-18	P	D	25	BA8536	3	0
2007-04-10	L	D	36	BA8536	0	0
2008-01-07	L	D	67	BA8536	2	5
2008-08-28	L	W	41	BA8536	5	1
2009-10-18	L	D	9	BA8536	4	0
2009-12-29	L	D	99	BA8536	0	1
2010-01-28	L	D	40	BA8536	2	1
2010-02-18	P	D	67	BA8536	2	4
2010-05-17	P	D	34	BA8536	5	5
2010-08-18	L	D	48	BA8536	2	4
2011-11-07	P	D	78	BA8536	6	4
2002-03-08	L	W	72	BD2668	0	0
2002-10-06	L	D	29	BD2668	0	4
2002-10-24	L	D	47	BD2668	3	3
2003-01-23	L	W	54	BD2668	5	5
2003-07-28	L	D	20	BD2668	0	4
2003-09-02	L	W	30	BD2668	0	5
2003-10-25	T	W	68	BD2668	4	0
2004-06-09	L	W	86	BD2668	4	1
2004-12-23	L	D	16	BD2668	2	0
2005-08-11	L	D	17	BD2668	6	1
2005-10-04	L	W	40	BD2668	6	5
2005-12-06	L	D	53	BD2668	2	1
2007-01-28	L	D	22	BD2668	5	3
2010-02-26	L	W	22	BD2668	6	3
2011-08-28	L	W	61	BD2668	0	3
2011-10-08	L	D	87	BD2668	0	5
2011-11-17	L	D	89	BD2668	4	4
2002-03-23	L	D	47	BE7135	4	1
2002-07-18	L	D	48	BE7135	6	3
2004-01-13	L	D	98	BE7135	0	0
2004-05-19	L	W	78	BE7135	4	1
2004-08-07	L	D	70	BE7135	5	0
2004-10-02	L	W	54	BE7135	1	5
2004-10-08	L	D	77	BE7135	4	0
2005-04-28	T	W	84	BE7135	4	4
2006-04-12	L	W	77	BE7135	0	4
2006-10-02	L	W	61	BE7135	3	0
2006-12-18	L	W	58	BE7135	4	4
2008-02-01	L	W	11	BE7135	5	1
2008-10-01	P	W	48	BE7135	6	1
2008-12-14	L	W	42	BE7135	2	3
2009-02-13	T	W	34	BE7135	4	1
2009-06-10	L	W	68	BE7135	6	4
2010-01-02	P	W	74	BE7135	1	1
2010-02-16	L	D	80	BE7135	0	5
2010-03-05	L	D	67	BE7135	1	3
2010-10-02	L	D	59	BE7135	2	0
2011-01-03	L	D	47	BE7135	5	5
2002-05-11	L	W	64	BG3958	2	5
2004-02-17	L	W	1	BG3958	4	4
2004-07-28	L	D	82	BG3958	6	1
2005-03-01	L	D	90	BG3958	5	1
2005-05-31	P	W	3	BG3958	1	2
2005-11-16	L	W	77	BG3958	1	2
2006-12-16	L	W	78	BG3958	6	1
2007-06-09	P	D	95	BG3958	1	4
2007-07-17	L	D	18	BG3958	2	1
2008-06-07	L	W	27	BG3958	5	0
2011-07-11	T	W	14	BG3958	5	2
2002-08-31	L	W	31	BH4791	2	4
2002-09-10	L	W	82	BH4791	5	4
2002-11-19	L	W	76	BH4791	0	0
2003-01-25	L	W	4	BH4791	5	2
2004-03-02	L	D	51	BH4791	0	3
2004-07-06	L	W	58	BH4791	2	0
2004-11-23	P	W	85	BH4791	1	1
2005-01-21	L	W	97	BH4791	1	1
2005-04-09	L	D	62	BH4791	0	2
2005-05-02	L	W	94	BH4791	5	4
2006-04-19	P	W	24	BH4791	3	0
2007-09-17	P	W	62	BH4791	0	3
2007-09-19	L	D	70	BH4791	5	4
2008-06-29	L	W	43	BH4791	0	3
2008-08-09	P	D	36	BH4791	4	5
2009-09-18	L	D	33	BH4791	1	4
2009-09-24	L	D	23	BH4791	5	3
2009-12-10	L	W	20	BH4791	3	3
2009-12-27	L	D	65	BH4791	0	2
2010-01-27	L	W	99	BH4791	3	4
2010-03-09	L	W	25	BH4791	0	0
2011-11-24	P	D	43	BH4791	6	1
2002-09-11	L	D	8	BK0467	3	2
2003-04-05	L	D	39	BK0467	4	5
2003-04-07	L	D	29	BK0467	3	0
2003-12-27	L	W	32	BK0467	0	2
2004-05-06	T	W	5	BK0467	1	1
2004-05-08	P	D	86	BK0467	1	1
2004-09-09	L	D	78	BK0467	0	0
2005-08-29	L	D	78	BK0467	4	5
2006-10-17	L	W	23	BK0467	5	5
2007-04-19	L	D	34	BK0467	0	1
2008-02-05	L	D	66	BK0467	4	2
2009-11-10	L	D	100	BK0467	1	1
2010-03-15	P	D	75	BK0467	2	4
2010-05-06	L	W	85	BK0467	2	1
2010-08-23	L	W	43	BK0467	2	2
2011-01-11	L	D	52	BK0467	2	2
2011-03-26	L	W	1	BK0467	4	3
2011-07-16	L	W	15	BK0467	2	0
2011-08-07	L	W	71	BK0467	6	4
2011-10-05	P	D	5	BK0467	6	3
2011-10-24	L	D	67	BK0467	1	4
2002-05-17	P	D	30	BK1091	5	5
2002-07-30	L	D	25	BK1091	1	5
2002-08-07	L	D	26	BK1091	2	3
2002-09-05	L	D	73	BK1091	5	0
2003-07-01	L	D	85	BK1091	1	5
2004-05-16	L	W	49	BK1091	3	5
2004-07-20	P	D	50	BK1091	1	4
2005-05-01	L	D	91	BK1091	4	2
2006-01-03	L	W	17	BK1091	2	1
2007-10-25	L	W	33	BK1091	2	2
2008-01-28	P	W	61	BK1091	5	0
2009-01-28	L	D	28	BK1091	6	2
2010-03-07	L	D	39	BK1091	0	5
2010-06-17	L	D	28	BK1091	0	5
2002-03-10	P	D	8	BK3185	2	1
2003-08-25	T	D	29	BK3185	3	3
2003-09-19	L	D	62	BK3185	4	5
2004-04-28	P	W	8	BK3185	1	2
2004-08-20	L	D	10	BK3185	5	3
2010-09-28	T	W	68	BK3185	5	5
2011-01-07	L	D	67	BK3185	2	3
2011-12-21	L	D	8	BK3185	6	4
2002-01-27	L	W	31	BM1491	4	3
2002-03-04	L	W	4	BM1491	1	0
2002-05-28	L	D	34	BM1491	5	5
2003-08-18	L	D	100	BM1491	3	5
2003-09-01	L	D	55	BM1491	6	5
2003-09-28	L	W	46	BM1491	0	2
2004-03-29	L	D	55	BM1491	1	5
2004-08-01	L	D	15	BM1491	2	5
2005-10-24	P	W	87	BM1491	4	3
2005-11-13	L	W	27	BM1491	1	2
2006-05-01	L	D	73	BM1491	5	3
2006-12-19	L	W	70	BM1491	1	4
2007-03-25	L	D	57	BM1491	3	3
2007-04-25	L	W	65	BM1491	6	5
2008-01-16	L	D	11	BM1491	3	3
2008-07-21	L	D	90	BM1491	1	5
2009-03-29	L	D	11	BM1491	1	2
2010-03-30	L	D	26	BM1491	0	5
2010-07-13	L	W	93	BM1491	3	4
2010-10-12	L	D	71	BM1491	2	1
2011-01-30	L	D	99	BM1491	3	0
2011-04-17	L	W	92	BM1491	4	3
2002-09-19	L	D	47	BM1707	6	3
2003-07-10	L	W	71	BM1707	6	1
2003-07-23	L	W	83	BM1707	5	4
2004-05-14	P	D	60	BM1707	0	2
2004-05-20	L	D	15	BM1707	0	3
2004-07-14	L	W	25	BM1707	2	1
2004-10-13	L	W	8	BM1707	1	0
2004-11-30	L	W	67	BM1707	4	2
2005-06-05	L	W	10	BM1707	0	4
2005-10-09	L	D	53	BM1707	1	1
2007-01-14	P	W	47	BM1707	6	3
2007-02-21	P	W	98	BM1707	6	3
2007-10-02	P	W	82	BM1707	2	0
2008-04-18	L	D	26	BM1707	3	5
2010-04-05	T	D	36	BM1707	4	3
2010-05-16	L	W	32	BM1707	4	1
2010-08-07	L	D	3	BM1707	2	1
2010-11-13	L	W	33	BM1707	0	5
2010-12-01	L	D	94	BM1707	0	3
2002-04-07	L	W	25	BN0058	4	2
2003-05-27	L	W	35	BN0058	6	2
2004-06-16	L	W	36	BN0058	3	5
2004-09-12	P	W	14	BN0058	4	0
2004-09-23	L	D	25	BN0058	0	2
2005-10-05	L	W	16	BN0058	5	0
2007-02-02	L	D	74	BN0058	4	4
2007-08-14	L	D	100	BN0058	4	3
2007-08-16	L	D	13	BN0058	6	4
2007-09-21	L	D	44	BN0058	4	2
2008-01-30	L	W	20	BN0058	6	5
2008-10-07	L	W	11	BN0058	3	1
2009-05-23	P	D	1	BN0058	3	1
2009-05-26	L	W	94	BN0058	6	4
2009-07-07	L	D	22	BN0058	0	5
2009-08-11	P	D	79	BN0058	5	2
2010-02-04	L	D	96	BN0058	1	1
2010-08-13	L	D	67	BN0058	4	2
2010-10-05	L	D	55	BN0058	1	3
2011-02-07	L	W	97	BN0058	1	4
2002-08-05	L	W	80	BO2844	0	5
2002-11-29	L	W	11	BO2844	0	0
2003-06-12	L	W	21	BO2844	1	3
2003-08-23	P	W	76	BO2844	2	3
2004-10-09	L	D	41	BO2844	0	4
2004-10-16	L	W	85	BO2844	6	4
2004-10-22	L	W	83	BO2844	6	2
2004-12-10	L	D	22	BO2844	3	2
2005-06-27	L	W	19	BO2844	0	5
2006-02-26	L	W	67	BO2844	2	3
2006-07-05	L	W	90	BO2844	1	1
2006-07-20	L	W	97	BO2844	0	2
2007-05-28	L	D	61	BO2844	4	3
2007-08-05	L	D	65	BO2844	2	0
2008-05-11	L	D	39	BO2844	5	3
2008-08-03	L	D	93	BO2844	5	5
2008-11-19	L	W	52	BO2844	4	5
2010-10-10	L	D	41	BO2844	2	3
2011-02-11	L	W	70	BO2844	6	1
2011-10-19	L	W	15	BO2844	3	4
2002-04-28	L	W	68	CB0779	1	1
2002-11-20	L	W	74	CB0779	3	2
2003-09-26	L	W	37	CB0779	4	5
2005-06-22	T	D	41	CB0779	5	1
2005-12-14	L	W	42	CB0779	0	5
2006-02-05	L	W	69	CB0779	1	4
2006-03-06	L	D	29	CB0779	2	0
2006-03-13	L	W	49	CB0779	6	2
2006-04-29	L	W	59	CB0779	1	0
2007-12-30	L	W	53	CB0779	2	3
2008-02-22	L	W	83	CB0779	4	5
2008-06-26	L	D	36	CB0779	5	2
2008-09-14	L	D	19	CB0779	3	2
2008-12-15	L	W	6	CB0779	3	3
2010-04-24	P	D	18	CB0779	1	1
2011-01-27	L	W	63	CB0779	3	4
2011-05-11	L	W	55	CB0779	0	2
2003-04-15	L	D	59	CB4868	1	1
2003-05-24	L	W	11	CB4868	1	3
2003-10-22	L	D	53	CB4868	2	3
2005-07-05	L	D	57	CB4868	3	0
2006-06-27	P	W	48	CB4868	2	2
2006-07-14	L	D	88	CB4868	5	3
2007-08-11	P	D	59	CB4868	0	4
2007-09-10	L	D	72	CB4868	3	3
2009-04-04	L	D	49	CB4868	2	4
2010-06-02	L	D	81	CB4868	2	5
2010-08-24	P	D	37	CB4868	5	5
2010-12-08	L	D	72	CB4868	0	3
2011-01-14	L	W	44	CB4868	1	2
2002-06-04	P	D	82	CC2032	0	5
2003-02-11	L	W	71	CC2032	2	5
2003-09-15	L	W	49	CC2032	4	1
2004-01-04	L	D	31	CC2032	5	0
2005-01-12	L	W	96	CC2032	2	5
2005-07-08	L	W	92	CC2032	2	4
2005-09-20	L	D	65	CC2032	1	5
2005-10-17	L	W	21	CC2032	6	0
2006-07-27	L	W	79	CC2032	4	1
2006-09-05	L	W	55	CC2032	4	4
2007-03-01	L	D	98	CC2032	6	2
2007-06-07	P	W	56	CC2032	5	3
2008-02-08	L	D	89	CC2032	1	2
2008-03-09	L	D	87	CC2032	2	2
2008-04-28	L	W	58	CC2032	1	5
2008-07-23	L	W	46	CC2032	1	3
2008-08-06	P	D	28	CC2032	2	5
2008-09-18	P	W	70	CC2032	0	1
2009-02-16	L	D	11	CC2032	4	5
2010-12-13	L	D	1	CC2032	4	0
2002-04-05	L	D	94	CC2382	3	0
2002-04-20	P	D	99	CC2382	4	5
2002-07-13	L	W	47	CC2382	0	3
2002-10-15	L	W	24	CC2382	5	0
2003-05-02	L	W	89	CC2382	1	3
2004-08-15	P	W	22	CC2382	2	1
2005-05-17	L	D	36	CC2382	0	1
2005-09-24	L	D	55	CC2382	4	2
2006-08-13	L	D	14	CC2382	5	1
2006-10-09	L	D	59	CC2382	0	0
2006-10-27	L	W	94	CC2382	4	5
2007-05-27	L	W	73	CC2382	3	0
2008-01-26	P	W	99	CC2382	4	0
2008-07-09	L	W	93	CC2382	0	5
2009-06-13	L	W	4	CC2382	5	3
2009-07-25	L	D	30	CC2382	5	5
2009-11-08	L	D	3	CC2382	1	1
2010-05-28	P	W	69	CC2382	1	2
2010-09-17	L	D	44	CC2382	4	5
2010-12-05	L	D	32	CC2382	6	2
2011-05-06	L	W	55	CC2382	2	4
2011-09-05	L	W	19	CC2382	5	4
2002-01-31	L	D	39	CD1569	0	4
2002-12-05	L	W	92	CD1569	3	0
2003-06-17	T	W	22	CD1569	6	5
2003-07-15	L	W	34	CD1569	4	4
2003-08-10	L	W	20	CD1569	2	0
2003-08-15	L	D	30	CD1569	5	2
2004-08-25	L	D	90	CD1569	3	4
2004-11-03	L	D	13	CD1569	3	1
2005-09-18	L	D	29	CD1569	3	0
2006-05-29	L	D	43	CD1569	3	2
2007-09-20	L	W	40	CD1569	0	1
2007-10-12	T	D	8	CD1569	5	4
2008-11-11	L	W	48	CD1569	0	5
2009-08-08	L	D	81	CD1569	5	5
2010-05-11	L	W	46	CD1569	0	4
2010-06-13	L	W	33	CD1569	5	1
2011-04-22	P	D	45	CD1569	0	1
2011-07-12	L	D	48	CD1569	6	5
2011-07-24	L	W	55	CD1569	4	2
2002-06-17	L	W	42	CD4940	0	4
2002-11-18	L	D	51	CD4940	4	2
2003-10-07	L	D	28	CD4940	0	0
2004-04-02	P	W	7	CD4940	4	1
2005-02-15	L	D	43	CD4940	2	0
2005-05-20	L	D	28	CD4940	1	2
2005-12-25	L	W	8	CD4940	4	4
2006-08-19	L	D	14	CD4940	1	1
2007-03-22	P	W	18	CD4940	3	0
2007-12-01	L	W	4	CD4940	5	2
2011-02-05	L	D	51	CD4940	6	0
2011-02-20	L	D	98	CD4940	3	5
2002-06-07	L	D	52	CG2416	2	0
2003-11-28	T	W	79	CG2416	3	1
2005-02-11	L	W	58	CG2416	2	2
2005-07-19	P	W	77	CG2416	3	2
2005-09-14	L	D	34	CG2416	0	4
2006-11-01	L	D	81	CG2416	0	1
2007-02-16	L	W	36	CG2416	4	5
2008-06-20	L	D	77	CG2416	0	4
2009-03-12	L	D	91	CG2416	1	0
2009-06-04	L	W	8	CG2416	2	2
2010-09-09	L	D	20	CG2416	2	3
2002-05-14	L	W	28	CG4272	2	2
2002-11-02	P	W	13	CG4272	0	2
2003-10-08	L	D	25	CG4272	0	5
2004-07-17	L	W	27	CG4272	2	0
2004-12-30	L	D	88	CG4272	6	3
2005-10-02	L	W	59	CG4272	2	5
2006-01-21	P	D	44	CG4272	3	4
2006-07-03	L	W	35	CG4272	0	5
2006-12-04	L	W	45	CG4272	4	5
2007-01-10	L	W	74	CG4272	6	0
2007-07-18	L	D	33	CG4272	2	4
2007-12-17	P	W	74	CG4272	6	1
2008-02-16	L	D	81	CG4272	6	2
2008-09-12	L	D	99	CG4272	1	2
2008-09-13	L	W	35	CG4272	4	1
2008-10-13	L	D	60	CG4272	2	1
2009-02-09	L	D	37	CG4272	3	5
2011-01-26	P	D	84	CG4272	2	0
2011-02-24	L	D	71	CG4272	6	3
2011-10-23	L	W	1	CG4272	6	4
2011-12-10	L	W	80	CG4272	5	2
2002-03-02	L	D	29	CI9947	0	5
2002-10-04	L	W	68	CI9947	3	2
2003-01-08	L	W	92	CI9947	3	2
2003-12-02	L	W	76	CI9947	5	5
2004-04-11	P	W	57	CI9947	6	0
2004-06-05	P	W	54	CI9947	5	3
2006-02-07	L	D	10	CI9947	5	3
2006-11-06	L	D	8	CI9947	1	2
2007-04-21	L	W	6	CI9947	2	2
2007-12-13	L	W	96	CI9947	5	1
2009-04-05	L	D	13	CI9947	1	0
2009-09-02	L	D	39	CI9947	6	4
2010-11-23	L	W	68	CI9947	2	1
2011-03-06	L	W	82	CI9947	2	5
2002-12-17	L	D	54	CJ1222	0	4
2002-12-29	L	D	39	CJ1222	4	2
2003-10-02	L	D	67	CJ1222	3	1
2004-05-21	L	W	3	CJ1222	3	0
2004-06-27	L	D	79	CJ1222	0	0
2004-10-19	L	D	100	CJ1222	3	0
2005-11-04	L	W	88	CJ1222	5	4
2008-11-17	L	W	23	CJ1222	6	3
2010-02-03	L	D	64	CJ1222	6	0
2010-10-03	L	W	85	CJ1222	3	4
2011-05-16	L	W	62	CJ1222	3	5
2002-01-14	P	D	87	CK3922	4	4
2002-08-24	L	W	87	CK3922	3	3
2002-10-25	L	W	88	CK3922	6	5
2003-05-19	L	D	27	CK3922	2	2
2003-06-13	L	D	27	CK3922	3	0
2003-09-14	L	W	24	CK3922	5	0
2004-01-18	L	W	52	CK3922	5	0
2004-02-07	L	W	83	CK3922	5	2
2004-03-23	P	W	19	CK3922	1	2
2004-06-19	L	W	34	CK3922	2	4
2005-01-03	L	D	55	CK3922	4	4
2006-02-15	L	W	17	CK3922	1	5
2007-07-11	L	D	96	CK3922	6	0
2007-08-22	P	D	99	CK3922	4	0
2008-01-02	L	W	59	CK3922	6	4
2008-02-26	L	D	74	CK3922	6	0
2008-12-09	L	W	72	CK3922	1	1
2009-02-21	L	D	59	CK3922	5	3
2009-02-28	L	W	23	CK3922	0	5
2009-03-01	L	W	48	CK3922	4	0
2009-11-11	L	W	39	CK3922	3	1
2010-01-24	P	W	35	CK3922	5	3
2010-02-01	L	W	57	CK3922	6	0
2010-11-17	L	W	16	CK3922	0	0
2011-10-27	P	W	50	CK3922	3	5
2002-07-26	L	D	50	CL0417	2	5
2002-11-10	L	D	62	CL0417	6	1
2003-03-16	L	W	66	CL0417	0	0
2004-01-08	L	W	44	CL0417	4	1
2004-09-07	P	D	67	CL0417	2	1
2005-03-31	L	W	6	CL0417	1	1
2005-07-18	L	D	22	CL0417	6	5
2005-12-07	L	D	62	CL0417	2	0
2006-02-21	P	W	32	CL0417	4	2
2006-03-23	L	W	96	CL0417	0	2
2006-05-23	L	W	20	CL0417	5	0
2006-05-31	L	D	61	CL0417	0	0
2006-10-21	P	D	80	CL0417	4	2
2006-12-29	L	D	96	CL0417	6	4
2007-01-25	L	W	43	CL0417	1	1
2007-12-16	L	W	20	CL0417	1	2
2009-02-07	L	W	13	CL0417	0	5
2009-11-27	L	D	15	CL0417	4	0
2009-12-16	P	D	97	CL0417	6	5
2011-04-15	L	W	67	CL0417	3	3
2002-09-23	L	W	61	CM4985	3	3
2003-07-18	L	W	66	CM4985	5	5
2004-01-16	P	D	63	CM4985	5	5
2004-04-24	L	W	49	CM4985	2	0
2004-09-17	L	D	59	CM4985	3	0
2006-07-24	L	W	50	CM4985	5	4
2007-07-03	L	D	51	CM4985	1	3
2007-08-10	L	W	78	CM4985	2	1
2007-11-26	L	W	86	CM4985	6	5
2008-02-24	L	W	4	CM4985	3	0
2008-03-02	T	D	81	CM4985	4	1
2008-06-14	L	W	10	CM4985	4	4
2008-12-20	P	W	14	CM4985	3	2
2009-01-21	L	W	59	CM4985	6	0
2009-03-14	P	D	31	CM4985	6	3
2009-07-31	L	W	26	CM4985	4	2
2009-08-03	L	W	10	CM4985	3	2
2009-08-23	L	D	81	CM4985	4	2
2002-08-26	L	D	92	CM5307	6	4
2002-10-07	L	W	91	CM5307	2	0
2002-12-28	L	W	52	CM5307	4	4
2003-11-02	L	D	3	CM5307	6	0
2004-05-01	L	D	82	CM5307	4	3
2004-09-05	L	D	59	CM5307	6	2
2005-04-12	L	W	67	CM5307	4	3
2006-06-13	L	D	11	CM5307	6	5
2006-11-21	L	D	16	CM5307	4	5
2007-01-16	T	W	26	CM5307	2	3
2007-06-20	L	W	36	CM5307	1	5
2007-10-10	L	W	28	CM5307	3	5
2008-11-13	L	W	50	CM5307	4	0
2009-01-26	L	D	2	CM5307	2	4
2009-09-15	L	W	12	CM5307	6	5
2009-11-01	L	W	84	CM5307	3	2
2010-11-03	L	D	74	CM5307	5	1
2011-04-20	L	D	55	CM5307	0	4
2002-03-06	L	W	74	CO0129	0	4
2003-04-11	L	W	92	CO0129	0	2
2003-05-06	L	D	70	CO0129	3	2
2003-11-04	L	W	30	CO0129	3	4
2003-12-13	L	W	67	CO0129	5	0
2004-04-06	L	W	68	CO0129	2	2
2004-08-29	L	W	68	CO0129	1	4
2007-08-31	P	D	61	CO0129	0	3
2007-09-05	L	W	64	CO0129	2	1
2008-04-04	L	W	98	CO0129	4	0
2008-09-05	L	D	84	CO0129	4	3
2009-04-27	L	W	39	CO0129	0	0
2009-10-11	L	D	83	CO0129	4	3
2010-07-18	P	D	60	CO0129	4	0
2011-03-21	P	D	36	CO0129	1	2
2002-07-31	L	D	41	DB8778	4	3
2002-12-24	L	D	82	DB8778	1	4
2003-01-19	L	W	18	DB8778	5	2
2004-07-29	L	D	3	DB8778	2	5
2004-12-17	L	D	11	DB8778	3	1
2006-05-04	L	D	55	DB8778	1	0
2008-03-19	L	W	90	DB8778	3	3
2010-01-11	P	W	52	DB8778	5	2
2010-06-20	L	W	74	DB8778	0	1
2011-02-01	L	W	42	DB8778	1	4
2011-04-16	L	D	71	DB8778	5	0
2011-10-03	P	W	86	DB8778	6	2
2011-12-05	L	W	6	DB8778	4	1
2002-05-24	L	W	29	DD6072	0	3
2003-01-15	L	D	23	DD6072	4	0
2003-12-09	L	D	38	DD6072	1	5
2004-03-17	L	D	86	DD6072	6	4
2005-09-07	L	W	57	DD6072	0	4
2006-05-20	P	W	28	DD6072	5	1
2006-07-01	L	W	3	DD6072	4	0
2006-07-19	L	W	37	DD6072	6	3
2006-09-28	L	W	3	DD6072	0	5
2007-07-25	L	W	9	DD6072	4	5
2007-11-21	L	D	30	DD6072	6	4
2008-05-05	L	W	79	DD6072	5	4
2009-02-04	T	D	42	DD6072	4	2
2009-06-23	L	W	44	DD6072	6	3
2009-08-30	L	W	77	DD6072	5	0
2010-02-24	P	D	34	DD6072	5	3
2002-03-07	L	W	83	DG8761	6	4
2002-04-10	L	W	21	DG8761	1	3
2002-08-11	L	W	92	DG8761	3	3
2003-01-01	L	W	17	DG8761	6	1
2003-05-16	L	W	8	DG8761	4	1
2003-07-22	T	W	34	DG8761	5	1
2004-07-25	L	W	48	DG8761	0	1
2004-08-30	L	D	25	DG8761	4	2
2006-03-29	L	W	2	DG8761	6	1
2007-05-09	L	W	18	DG8761	0	5
2007-08-27	L	D	7	DG8761	0	0
2008-04-23	L	D	61	DG8761	0	0
2008-05-21	L	W	42	DG8761	1	3
2010-07-24	P	W	69	DG8761	6	1
2011-11-16	L	W	34	DG8761	5	5
2002-03-17	L	D	82	DH8211	3	2
2002-06-06	P	W	69	DH8211	5	1
2002-06-28	L	D	30	DH8211	2	0
2002-09-02	L	W	70	DH8211	5	5
2003-01-06	T	W	25	DH8211	0	5
2003-05-03	L	W	90	DH8211	3	3
2003-07-27	P	W	25	DH8211	3	3
2004-11-06	L	W	4	DH8211	4	5
2004-12-15	L	D	7	DH8211	1	1
2005-06-06	T	D	72	DH8211	2	1
2006-09-26	L	W	34	DH8211	6	3
2008-03-04	L	W	99	DH8211	3	2
2010-12-14	L	W	91	DH8211	1	4
