kod_wyk	nazwa	mandat	punkty
148	Naruszenie zakazu postoju w miejscach utrudniajacych dostep do innego prawidowo zaparkowanego pojadu	100	3
149	Naruszenie zakazu postoju przed lub za przejazdem kolejowym	100	5
150	Naruszenie zakazu postoju w strefie zamieszkania w miejscach innych niz wyznaczone	100	3
152	Jazda bez wymaganych swiatel od zmierzchu do switu	200	5
153	Jazda bez wymaganych swiatel od switu do zmierzchu	100	3
154	Jazda bez wymaganych swiatel pojazdami niewyposazonymi w swiatla mijania, drogowe lub do jazdy dziennej	100	3
155	Jazda bez wymaganych przepisami swiatel w tunelu, niezaleznie od pory doby	200	5
156	Nieuzywanie wymaganego oswietlenia podczas zatrzymania lub postoju w warunkach niedostatecznej widocznosci	300	5
157	Korzystanie ze swiatel drogowych w sposob niezgodny z przepisami	200	4
158	Naruszenie warunkow dopuszczalnosci uzywania przednich swiatel przeciwmglowych	100	3
159	Uzywanie szperacza podczas jazdy	100	3
162	Zakrywanie swiatel oraz urzadzen sygnalizacyjnych	200	5
163	Zakrywanie tablic rejestracyjnych	100	5
164	Oddalenie sie kierujacego od pojazdu, gdy silnik jest w ruchu	50	3
165	Uzywanie opon z umieszczonymi w nich na trwale elementami przeciwslizgowymi	100	3
166	Uzywanie lancuchow przeciwslizgowych na oponach na drodze niepokrytej sniegiem	100	3
167	Wjezdzanie miedzy jadace w kolumnie rowery jednosladowe	200	8
174	Bezpodstawne uzywanie zoltego sygnalu blyskowego	100	3
184	Naruszenie przepisow o przewozie ladunkow sypkich	150	3
186	Przewoz osob pojazdem nieprzeznaczonym lub nieprzystosowanym do tego celu	500	8
188	Naruszenie warunkow przewozu osob w przyczepach	150	5
190	W czasie jazdy naruszenie zakazu palenia tytoniu lub spozywania pokarmow.	50	2
