Id_meczu;Data;Id_klubu;Sety_wygrane;Sety_przegrane;Id_sedziego
174;2020-02-16;116;2;3;310
175;2020-02-19;112;3;2;317
176;2020-02-19;101;3;1;320
177;2020-02-19;117;1;3;312
178;2020-02-20;113;2;3;314
179;2020-02-20;105;3;2;314
180;2020-02-20;103;3;0;320
181;2020-02-20;106;3;2;310
182;2020-02-20;112;3;2;311
183;2020-02-24;118;3;1;303
184;2020-02-24;110;3;1;314
185;2020-02-24;111;3;1;312
186;2020-02-24;112;3;0;313
187;2020-02-24;114;3;0;317
188;2020-02-24;108;2;3;308
189;2020-02-28;119;3;1;312
190;2020-02-28;120;3;2;302
191;2020-02-28;107;2;3;316
192;2020-02-28;116;3;0;303
193;2020-02-28;108;2;3;307
194;2020-03-01;112;3;0;316
195;2020-03-01;111;3;0;314
196;2020-03-01;108;0;3;302
197;2020-03-01;110;3;1;313
198;2020-03-01;116;3;2;312
199;2020-03-01;117;2;3;314
200;2020-03-05;115;1;3;305
201;2020-03-05;116;0;3;313
202;2020-03-05;118;3;2;310
203;2020-03-05;101;1;3;305
204;2020-03-05;111;3;2;319
205;2020-03-05;120;3;1;307
206;2020-03-05;114;2;3;302
207;2020-03-10;119;3;1;310
208;2020-03-10;111;0;3;319
209;2020-03-10;108;1;3;310
210;2020-03-10;112;3;2;308
211;2020-03-10;117;1;3;308
212;2020-03-10;104;0;3;319
213;2020-03-10;116;0;3;310
214;2020-03-13;112;3;2;307
215;2020-03-13;108;3;2;312
216;2020-03-14;108;3;0;311
217;2020-03-17;110;2;3;317
218;2020-03-17;119;2;3;320
219;2020-03-17;116;2;3;302
220;2020-03-17;107;3;1;313
221;2020-03-17;105;0;3;313
222;2020-03-18;115;3;2;308
223;2020-03-18;113;3;2;307
224;2020-03-21;104;3;2;319
225;2020-03-21;110;3;0;316
226;2020-03-21;119;0;3;308
227;2020-03-21;117;1;3;314
228;2020-03-21;114;3;1;306
229;2020-03-21;103;3;0;312
230;2020-03-24;105;3;0;320
231;2020-03-24;107;2;3;316
232;2020-03-24;109;3;1;313
233;2020-03-24;108;3;1;312
234;2020-03-24;104;3;2;307
235;2020-03-24;113;3;1;320
236;2020-03-25;102;1;3;301
237;2020-03-25;115;0;3;303
238;2020-03-25;101;1;3;312
239;2020-03-29;111;3;1;303
240;2020-03-29;109;3;0;303
241;2020-03-29;116;3;0;314
242;2020-03-29;114;2;3;312
243;2020-03-29;106;1;3;302
244;2020-03-31;112;0;3;307
245;2020-04-05;115;0;3;302
246;2020-04-10;105;0;3;302
247;2020-04-10;109;3;0;308
248;2020-04-10;107;1;3;302
249;2020-04-10;116;2;3;306
250;2020-04-13;116;0;3;308
251;2020-04-13;114;3;1;312
252;2020-04-13;101;3;0;308
253;2020-04-13;119;3;1;317
254;2020-04-13;106;0;3;301
255;2020-04-13;112;1;3;316
256;2020-04-14;102;3;2;319
257;2020-04-14;116;3;1;319
258;2020-04-14;113;3;2;313
259;2020-04-14;115;3;0;305
260;2020-04-17;107;0;3;308
261;2020-04-17;105;0;3;311
262;2020-04-17;103;3;0;308
263;2020-04-17;115;1;3;319
264;2020-04-17;119;1;3;312
265;2020-04-17;101;3;2;312
266;2020-04-18;104;3;0;312
267;2020-04-18;102;0;3;314
268;2020-04-18;118;3;0;306
269;2020-04-18;103;3;0;313
270;2020-04-18;119;0;3;310
271;2020-04-21;102;3;0;306
272;2020-04-21;115;1;3;313
273;2020-04-21;101;1;3;316
274;2020-04-21;114;0;3;303
275;2020-04-21;119;2;3;305
276;2020-04-26;117;3;2;311
277;2020-04-26;120;2;3;307
278;2020-04-26;101;3;1;316
279;2020-04-26;108;2;3;313
280;2020-04-26;109;2;3;306
281;2020-04-26;112;1;3;316
282;2020-05-01;104;2;3;313
283;2020-05-01;111;1;3;316
284;2020-05-01;109;0;3;312
285;2020-05-01;110;3;2;319
286;2020-05-01;101;3;0;311
287;2020-05-06;104;0;3;307
288;2020-05-06;102;3;1;314
289;2020-05-06;117;0;3;308
290;2020-05-06;119;3;2;308
291;2020-05-06;113;2;3;317
292;2020-05-06;107;2;3;319
293;2020-05-06;109;3;1;303
294;2020-05-10;102;2;3;316
295;2020-05-10;119;2;3;301
296;2020-05-10;108;3;1;305
297;2020-05-10;116;2;3;311
298;2020-05-10;105;2;3;312
299;2020-05-10;103;3;2;317
300;2020-05-14;119;0;3;313
301;2020-05-18;101;1;3;312
302;2020-05-18;104;2;3;311
303;2020-05-18;111;0;3;317
304;2020-05-18;109;1;3;314
305;2020-05-18;114;0;3;316
306;2020-05-23;110;3;2;311
307;2020-05-23;113;0;3;317
308;2020-05-23;117;3;2;308
309;2020-05-23;111;1;3;310
310;2020-05-23;114;2;3;314
311;2020-05-27;111;1;3;319
312;2020-05-27;101;0;3;313
313;2020-05-27;108;1;3;312
314;2020-05-27;118;1;3;302
315;2020-05-28;107;1;3;306
316;2020-05-28;112;1;3;302
317;2020-05-28;102;2;3;314
318;2020-05-28;113;2;3;319
319;2020-05-28;103;3;2;308
320;2020-05-28;120;3;1;310
321;2020-05-28;115;1;3;306
322;2020-05-29;119;3;1;313
323;2020-05-29;115;1;3;306
324;2020-05-29;111;3;0;308
