id;id_zespolu;kod_miasta;data
96;122;99-510;2017-08-16
97;117;99-536;2017-07-20
98;117;99-512;2017-08-27
99;115;99-535;2017-08-19
100;112;99-533;2017-08-31
101;106;99-510;2017-08-08
102;102;99-532;2017-08-18
103;107;99-509;2017-08-20
104;102;99-535;2017-07-10
105;111;99-529;2017-08-25
106;109;99-549;2017-08-03
107;106;99-521;2017-08-04
108;116;99-500;2017-08-13
109;115;99-533;2017-07-14
110;101;99-509;2017-07-04
111;105;99-515;2017-08-08
112;117;99-505;2017-08-31
113;112;99-523;2017-08-18
114;114;99-536;2017-07-11
115;110;99-541;2017-07-04
116;121;99-524;2017-08-14
117;112;99-515;2017-07-01
118;116;99-512;2017-08-14
119;113;99-537;2017-08-12
120;101;99-542;2017-08-12
121;120;99-539;2017-08-30
122;117;99-513;2017-07-17
123;105;99-513;2017-07-23
124;120;99-539;2017-08-06
125;110;99-505;2017-08-11
126;117;99-501;2017-08-23
127;114;99-545;2017-07-08
128;109;99-549;2017-08-13
129;113;99-511;2017-07-16
130;115;99-549;2017-08-26
131;113;99-540;2017-07-14
132;118;99-503;2017-07-07
133;122;99-513;2017-08-31
134;113;99-537;2017-07-31
135;122;99-513;2017-08-12
136;101;99-508;2017-07-28
137;106;99-542;2017-07-08
138;123;99-511;2017-07-31
139;105;99-514;2017-07-11
140;118;99-507;2017-07-18
141;104;99-519;2017-07-29
142;121;99-546;2017-08-29
143;110;99-531;2017-08-21
144;105;99-528;2017-08-07
145;114;99-518;2017-07-21
146;107;99-510;2017-08-25
147;120;99-511;2017-07-19
148;105;99-526;2017-07-29
149;107;99-537;2017-07-11
150;108;99-513;2017-08-11
151;112;99-501;2017-07-15
152;113;99-519;2017-07-13
153;111;99-507;2017-08-04
154;109;99-503;2017-07-11
155;111;99-518;2017-08-18
156;116;99-542;2017-07-20
157;117;99-505;2017-08-19
158;117;99-509;2017-08-18
159;113;99-514;2017-08-05
160;114;99-548;2017-08-26
161;111;99-520;2017-07-25
162;106;99-542;2017-07-11
163;117;99-507;2017-08-29
164;114;99-513;2017-07-05
165;112;99-529;2017-08-12
166;119;99-522;2017-07-11
167;102;99-510;2017-07-26
168;108;99-511;2017-07-09
169;118;99-508;2017-07-17
170;120;99-536;2017-08-29
171;120;99-529;2017-08-13
172;112;99-526;2017-08-04
173;116;99-502;2017-08-18
174;123;99-543;2017-08-05
175;112;99-522;2017-08-25
176;118;99-533;2017-07-11
177;120;99-512;2017-07-15
178;115;99-546;2017-07-31
179;104;99-529;2017-07-02
180;108;99-510;2017-07-02
181;109;99-546;2017-07-16
182;120;99-541;2017-07-10
183;106;99-520;2017-07-27
184;102;99-531;2017-07-13
185;109;99-513;2017-07-29
186;113;99-512;2017-08-07
187;119;99-538;2017-07-05
188;121;99-532;2017-08-06
189;119;99-536;2017-08-18
190;123;99-515;2017-08-28
191;115;99-541;2017-08-18
192;101;99-509;2017-08-02
193;123;99-531;2017-07-11
194;110;99-537;2017-08-18
195;119;99-542;2017-07-21
196;123;99-544;2017-08-03
197;122;99-513;2017-08-24
198;108;99-502;2017-08-08
199;121;99-525;2017-08-23
200;117;99-506;2017-08-15
201;103;99-523;2017-07-30
202;102;99-503;2017-08-24
203;101;99-510;2017-08-15
204;118;99-534;2017-08-02
205;115;99-546;2017-07-23
206;123;99-536;2017-08-11
207;116;99-534;2017-08-21
208;123;99-531;2017-08-01
209;106;99-502;2017-08-09
210;109;99-534;2017-07-18
211;112;99-520;2017-07-18
212;109;99-521;2017-07-28
213;102;99-526;2017-07-04
214;113;99-507;2017-07-19
215;105;99-530;2017-07-13
216;101;99-525;2017-08-04
217;121;99-512;2017-08-26
218;109;99-546;2017-08-05
219;105;99-524;2017-07-21
220;123;99-522;2017-08-19
221;117;99-541;2017-08-17
222;115;99-531;2017-08-07
223;103;99-527;2017-08-13
224;109;99-529;2017-07-12
225;122;99-546;2017-07-10
226;112;99-541;2017-07-08
227;107;99-545;2017-08-24
228;123;99-507;2017-08-27
229;102;99-546;2017-07-18
230;101;99-540;2017-07-15
231;106;99-538;2017-08-21
232;113;99-535;2017-08-24
233;112;99-507;2017-07-28
234;116;99-507;2017-08-19
235;117;99-539;2017-07-13
236;111;99-543;2017-07-16
237;104;99-540;2017-07-19
238;121;99-536;2017-07-16
239;117;99-530;2017-08-14
240;105;99-549;2017-07-31
