nr_zamowienia	data	magazyn	wielkosc_zamowienia
257	08.05.2021	Ogrodzieniec	7270
258	09.05.2021	Przemysl	7710
259	09.05.2021	Gniezno	8090
260	09.05.2021	Ogrodzieniec	5440
261	09.05.2021	Malbork	4060
262	10.05.2021	Przemysl	9620
263	11.05.2021	Gniezno	9630
264	12.05.2021	Gniezno	390
265	13.05.2021	Malbork	7870
266	13.05.2021	Przemysl	4100
267	13.05.2021	Ogrodzieniec	600
268	14.05.2021	Ogrodzieniec	1170
269	14.05.2021	Malbork	860
270	15.05.2021	Gniezno	2350
271	15.05.2021	Malbork	9230
272	16.05.2021	Ogrodzieniec	1200
273	16.05.2021	Przemysl	7370
274	17.05.2021	Ogrodzieniec	2210
275	18.05.2021	Ogrodzieniec	1170
276	18.05.2021	Gniezno	4170
277	18.05.2021	Przemysl	7330
278	19.05.2021	Gniezno	6170
279	19.05.2021	Malbork	5020
280	19.05.2021	Ogrodzieniec	4470
281	19.05.2021	Przemysl	8450
282	20.05.2021	Ogrodzieniec	2250
283	20.05.2021	Przemysl	6050
284	21.05.2021	Przemysl	5490
285	22.05.2021	Malbork	3000
286	22.05.2021	Gniezno	9670
287	23.05.2021	Malbork	3710
288	23.05.2021	Przemysl	2680
289	23.05.2021	Ogrodzieniec	4700
290	24.05.2021	Ogrodzieniec	1830
291	24.05.2021	Przemysl	4100
292	25.05.2021	Malbork	7870
293	25.05.2021	Przemysl	7160
294	25.05.2021	Gniezno	9200
295	26.05.2021	Przemysl	7390
296	26.05.2021	Ogrodzieniec	4560
297	27.05.2021	Przemysl	8680
298	27.05.2021	Ogrodzieniec	3110
299	27.05.2021	Malbork	8770
300	28.05.2021	Malbork	6900
301	28.05.2021	Ogrodzieniec	9220
302	29.05.2021	Ogrodzieniec	9740
303	30.05.2021	Ogrodzieniec	4500
304	30.05.2021	Gniezno	9950
305	31.05.2021	Ogrodzieniec	9960
306	31.05.2021	Gniezno	8880
307	31.05.2021	Przemysl	4160
308	01.06.2021	Przemysl	6300
309	01.06.2021	Malbork	9040
310	02.06.2021	Malbork	8880
311	03.06.2021	Ogrodzieniec	5030
312	03.06.2021	Gniezno	6010
313	04.06.2021	Przemysl	8880
314	05.06.2021	Ogrodzieniec	5490
315	06.06.2021	Malbork	9370
316	06.06.2021	Ogrodzieniec	6790
317	07.06.2021	Przemysl	2540
318	07.06.2021	Ogrodzieniec	5530
319	07.06.2021	Malbork	7020
320	08.06.2021	Przemysl	2330
321	09.06.2021	Ogrodzieniec	5550
322	09.06.2021	Gniezno	6150
323	10.06.2021	Malbork	3220
324	10.06.2021	Ogrodzieniec	4330
325	10.06.2021	Przemysl	4000
326	11.06.2021	Malbork	4970
327	11.06.2021	Gniezno	8900
328	12.06.2021	Przemysl	5340
329	12.06.2021	Ogrodzieniec	2240
330	13.06.2021	Ogrodzieniec	1810
331	13.06.2021	Gniezno	7960
332	13.06.2021	Przemysl	9400
333	14.06.2021	Malbork	5380
334	14.06.2021	Przemysl	4220
335	14.06.2021	Ogrodzieniec	1230
336	15.06.2021	Malbork	1920
337	15.06.2021	Przemysl	6790
338	15.06.2021	Gniezno	7950
339	16.06.2021	Ogrodzieniec	3020
340	17.06.2021	Przemysl	7990
341	17.06.2021	Gniezno	6390
342	17.06.2021	Ogrodzieniec	4180
343	18.06.2021	Malbork	7940
344	18.06.2021	Gniezno	8070
345	18.06.2021	Przemysl	6060
346	18.06.2021	Ogrodzieniec	9420
347	19.06.2021	Malbork	4440
348	20.06.2021	Malbork	3010
349	20.06.2021	Ogrodzieniec	1060
350	21.06.2021	Malbork	5970
351	21.06.2021	Przemysl	1180
352	22.06.2021	Przemysl	1510
353	23.06.2021	Gniezno	5610
354	23.06.2021	Malbork	4850
355	24.06.2021	Gniezno	3640
356	25.06.2021	Gniezno	6950
357	25.06.2021	Malbork	3790
358	26.06.2021	Przemysl	6570
359	27.06.2021	Gniezno	6200
360	27.06.2021	Ogrodzieniec	9010
361	28.06.2021	Malbork	1510
362	29.06.2021	Ogrodzieniec	2910
363	29.06.2021	Gniezno	6310
364	30.06.2021	Gniezno	7110
365	30.06.2021	Przemysl	2540
366	30.06.2021	Malbork	8140
367	01.07.2021	Ogrodzieniec	1740
368	01.07.2021	Malbork	5840
369	02.07.2021	Przemysl	3170
370	02.07.2021	Malbork	4000
371	03.07.2021	Ogrodzieniec	4600
372	03.07.2021	Przemysl	9870
373	04.07.2021	Przemysl	9390
374	05.07.2021	Malbork	1300
375	05.07.2021	Ogrodzieniec	2650
376	06.07.2021	Przemysl	4060
377	06.07.2021	Ogrodzieniec	4460
378	07.07.2021	Gniezno	9390
379	07.07.2021	Ogrodzieniec	9670
380	07.07.2021	Przemysl	3460
381	08.07.2021	Ogrodzieniec	2030
382	08.07.2021	Gniezno	3860
383	08.07.2021	Przemysl	3770
384	09.07.2021	Gniezno	3970
385	09.07.2021	Ogrodzieniec	9280
386	10.07.2021	Malbork	6930
387	11.07.2021	Malbork	2850
388	11.07.2021	Przemysl	7480
389	11.07.2021	Ogrodzieniec	4170
390	12.07.2021	Ogrodzieniec	6110
391	12.07.2021	Malbork	3250
392	13.07.2021	Ogrodzieniec	6930
393	13.07.2021	Przemysl	4790
394	13.07.2021	Malbork	3110
395	14.07.2021	Malbork	6930
396	15.07.2021	Przemysl	8100
397	15.07.2021	Malbork	6600
398	15.07.2021	Ogrodzieniec	9850
399	16.07.2021	Ogrodzieniec	8950
400	17.07.2021	Malbork	3280
401	17.07.2021	Ogrodzieniec	4680
402	18.07.2021	Gniezno	5750
403	18.07.2021	Przemysl	7000
404	19.07.2021	Ogrodzieniec	5870
405	19.07.2021	Malbork	6070
406	20.07.2021	Ogrodzieniec	1500
407	20.07.2021	Przemysl	6820
408	21.07.2021	Ogrodzieniec	2150
409	22.07.2021	Malbork	6600
410	22.07.2021	Przemysl	7270
411	22.07.2021	Ogrodzieniec	1560
412	22.07.2021	Gniezno	7040
413	23.07.2021	Malbork	2470
414	23.07.2021	Ogrodzieniec	8550
415	23.07.2021	Przemysl	6160
416	24.07.2021	Malbork	9010
417	24.07.2021	Gniezno	1400
418	24.07.2021	Przemysl	7730
419	24.07.2021	Ogrodzieniec	8020
420	25.07.2021	Ogrodzieniec	2730
421	26.07.2021	Gniezno	8340
422	27.07.2021	Przemysl	850
423	27.07.2021	Malbork	8740
424	28.07.2021	Przemysl	6720
425	28.07.2021	Ogrodzieniec	780
426	28.07.2021	Malbork	1020
427	29.07.2021	Przemysl	4870
428	29.07.2021	Gniezno	7250
429	29.07.2021	Ogrodzieniec	330
430	30.07.2021	Przemysl	3290
431	30.07.2021	Gniezno	3820
432	30.07.2021	Ogrodzieniec	5660
433	31.07.2021	Ogrodzieniec	4200
434	31.07.2021	Malbork	5870
435	31.07.2021	Gniezno	1670
436	31.07.2021	Przemysl	3960
437	01.08.2021	Ogrodzieniec	4200
438	02.08.2021	Malbork	7980
439	02.08.2021	Ogrodzieniec	6110
440	03.08.2021	Malbork	7750
441	03.08.2021	Przemysl	7450
442	04.08.2021	Gniezno	3400
443	04.08.2021	Malbork	8560
444	05.08.2021	Gniezno	7190
445	06.08.2021	Gniezno	4590
446	07.08.2021	Malbork	4050
447	07.08.2021	Przemysl	4310
448	08.08.2021	Gniezno	7100
449	08.08.2021	Ogrodzieniec	5280
450	08.08.2021	Malbork	3350
451	09.08.2021	Gniezno	7820
452	10.08.2021	Gniezno	7910
453	10.08.2021	Przemysl	9000
454	11.08.2021	Przemysl	3240
455	11.08.2021	Malbork	8700
456	11.08.2021	Ogrodzieniec	8110
457	12.08.2021	Malbork	6510
458	13.08.2021	Przemysl	1150
459	14.08.2021	Malbork	9430
460	14.08.2021	Ogrodzieniec	6500
461	14.08.2021	Przemysl	6410
462	15.08.2021	Malbork	5300
463	15.08.2021	Ogrodzieniec	5430
464	15.08.2021	Przemysl	3660
465	16.08.2021	Ogrodzieniec	3000
466	16.08.2021	Przemysl	6120
467	16.08.2021	Gniezno	5850
468	17.08.2021	Przemysl	6690
469	17.08.2021	Ogrodzieniec	2510
470	18.08.2021	Gniezno	4090
471	19.08.2021	Przemysl	4580
472	20.08.2021	Gniezno	6590
473	20.08.2021	Ogrodzieniec	3060
474	20.08.2021	Malbork	1220
475	21.08.2021	Malbork	6590
476	22.08.2021	Przemysl	7000
477	22.08.2021	Ogrodzieniec	4530
478	22.08.2021	Malbork	5480
479	23.08.2021	Ogrodzieniec	6400
480	23.08.2021	Przemysl	7870
481	23.08.2021	Malbork	7490
482	24.08.2021	Przemysl	6900
483	24.08.2021	Gniezno	5180
484	24.08.2021	Ogrodzieniec	1870
485	25.08.2021	Malbork	2520
486	25.08.2021	Przemysl	6360
487	26.08.2021	Ogrodzieniec	8890
488	27.08.2021	Malbork	1470
489	28.08.2021	Malbork	2950
490	28.08.2021	Ogrodzieniec	6730
491	29.08.2021	Przemysl	5530
492	29.08.2021	Malbork	6600
493	30.08.2021	Przemysl	7740
494	30.08.2021	Malbork	3800
495	30.08.2021	Ogrodzieniec	7060
496	31.08.2021	Ogrodzieniec	4560
497	01.09.2021	Ogrodzieniec	4620
498	01.09.2021	Malbork	1530
499	02.09.2021	Ogrodzieniec	6920
500	02.09.2021	Gniezno	4100
501	03.09.2021	Przemysl	2870
502	03.09.2021	Ogrodzieniec	1160
503	03.09.2021	Gniezno	8460
504	04.09.2021	Przemysl	6880
505	05.09.2021	Malbork	3610
506	06.09.2021	Gniezno	2400
507	07.09.2021	Przemysl	2660
508	08.09.2021	Malbork	9310
509	08.09.2021	Przemysl	3980
510	09.09.2021	Gniezno	7000
511	09.09.2021	Przemysl	4660
512	09.09.2021	Ogrodzieniec	6620
513	10.09.2021	Gniezno	1690
514	10.09.2021	Malbork	6080
515	11.09.2021	Ogrodzieniec	1970
516	11.09.2021	Gniezno	4320
517	11.09.2021	Przemysl	3310
518	12.09.2021	Malbork	3550
519	12.09.2021	Ogrodzieniec	5210
520	12.09.2021	Przemysl	2990
521	13.09.2021	Gniezno	7890
522	13.09.2021	Przemysl	3440
523	13.09.2021	Malbork	6170
524	14.09.2021	Ogrodzieniec	8230
525	15.09.2021	Przemysl	4710
526	15.09.2021	Gniezno	5870
527	15.09.2021	Malbork	4400
528	16.09.2021	Ogrodzieniec	9580
529	17.09.2021	Przemysl	6730
530	17.09.2021	Malbork	3320
531	17.09.2021	Ogrodzieniec	7580
532	18.09.2021	Gniezno	7650
533	18.09.2021	Przemysl	2640
534	19.09.2021	Malbork	9750
535	19.09.2021	Przemysl	9860
536	19.09.2021	Gniezno	8160
537	20.09.2021	Ogrodzieniec	6280
538	20.09.2021	Malbork	6490
539	21.09.2021	Ogrodzieniec	4110
540	21.09.2021	Malbork	3140
541	22.09.2021	Malbork	3550
542	22.09.2021	Gniezno	1280
543	23.09.2021	Gniezno	8360
544	24.09.2021	Malbork	2930
545	24.09.2021	Gniezno	9920
546	25.09.2021	Gniezno	3140
547	26.09.2021	Ogrodzieniec	1010
548	27.09.2021	Gniezno	9210
549	27.09.2021	Malbork	1880
550	28.09.2021	Przemysl	5080
551	28.09.2021	Malbork	6540
552	29.09.2021	Gniezno	3250
553	30.09.2021	Ogrodzieniec	5080
554	30.09.2021	Przemysl	7660
555	01.10.2021	Malbork	7840
556	01.10.2021	Gniezno	2060
557	02.10.2021	Przemysl	1010
558	03.10.2021	Przemysl	7540
559	03.10.2021	Malbork	6350
560	03.10.2021	Ogrodzieniec	9160
561	04.10.2021	Przemysl	9800
562	04.10.2021	Malbork	4990
563	05.10.2021	Gniezno	5220
564	05.10.2021	Ogrodzieniec	3610
565	05.10.2021	Przemysl	5150
566	06.10.2021	Gniezno	2500
567	06.10.2021	Przemysl	8900
568	06.10.2021	Malbork	2040
569	07.10.2021	Ogrodzieniec	8930
570	08.10.2021	Przemysl	4980
571	08.10.2021	Gniezno	7120
572	08.10.2021	Ogrodzieniec	1780
573	09.10.2021	Przemysl	8360
574	09.10.2021	Ogrodzieniec	5240
575	09.10.2021	Malbork	5420
576	10.10.2021	Malbork	9390
577	10.10.2021	Ogrodzieniec	2510
578	11.10.2021	Malbork	7980
579	11.10.2021	Ogrodzieniec	3720
580	12.10.2021	Ogrodzieniec	3210
581	13.10.2021	Malbork	7640
582	13.10.2021	Ogrodzieniec	6100
583	14.10.2021	Ogrodzieniec	6850
584	14.10.2021	Malbork	2170
585	15.10.2021	Przemysl	6230
586	15.10.2021	Malbork	2310
587	16.10.2021	Gniezno	5650
588	16.10.2021	Malbork	7250
589	17.10.2021	Malbork	3650
590	17.10.2021	Przemysl	4190
591	17.10.2021	Ogrodzieniec	7920
592	18.10.2021	Przemysl	5920
593	18.10.2021	Ogrodzieniec	5270
594	19.10.2021	Gniezno	7990
595	19.10.2021	Przemysl	5450
596	20.10.2021	Ogrodzieniec	2580
597	21.10.2021	Ogrodzieniec	8040
598	21.10.2021	Malbork	1920
599	22.10.2021	Ogrodzieniec	6930
600	22.10.2021	Gniezno	9480
601	22.10.2021	Przemysl	4810
602	23.10.2021	Ogrodzieniec	5770
603	23.10.2021	Malbork	2610
604	24.10.2021	Przemysl	2670
605	24.10.2021	Malbork	1330
606	25.10.2021	Przemysl	1700
607	25.10.2021	Gniezno	1050
608	25.10.2021	Ogrodzieniec	1750
609	25.10.2021	Malbork	6530
610	26.10.2021	Ogrodzieniec	6980
611	26.10.2021	Gniezno	6590
612	26.10.2021	Przemysl	2090
613	27.10.2021	Przemysl	3960
614	27.10.2021	Gniezno	6430
615	27.10.2021	Ogrodzieniec	9940
616	27.10.2021	Malbork	4220
617	28.10.2021	Malbork	2630
618	28.10.2021	Ogrodzieniec	3540
619	29.10.2021	Przemysl	2630
620	30.10.2021	Gniezno	4230
621	30.10.2021	Ogrodzieniec	4630
622	31.10.2021	Przemysl	2100
623	01.11.2021	Ogrodzieniec	4290
624	01.11.2021	Gniezno	2870
625	01.11.2021	Przemysl	3550
626	02.11.2021	Ogrodzieniec	8480
627	03.11.2021	Ogrodzieniec	4860
628	03.11.2021	Przemysl	8270
629	04.11.2021	Malbork	8790
630	04.11.2021	Gniezno	3110
631	04.11.2021	Przemysl	1440
632	05.11.2021	Malbork	4550
633	05.11.2021	Ogrodzieniec	6980
634	06.11.2021	Przemysl	3920
635	07.11.2021	Przemysl	7040
636	07.11.2021	Ogrodzieniec	7000
637	08.11.2021	Przemysl	1980
638	08.11.2021	Ogrodzieniec	7550
639	09.11.2021	Gniezno	2300
640	09.11.2021	Przemysl	5950
641	09.11.2021	Malbork	4860
642	10.11.2021	Przemysl	7210
643	10.11.2021	Gniezno	6320
644	10.11.2021	Ogrodzieniec	6800
645	11.11.2021	Ogrodzieniec	8040
646	11.11.2021	Gniezno	2960
647	12.11.2021	Przemysl	1960
648	13.11.2021	Ogrodzieniec	5740
649	14.11.2021	Przemysl	2610
650	14.11.2021	Ogrodzieniec	5910
651	15.11.2021	Przemysl	4410
652	15.11.2021	Ogrodzieniec	2820
653	15.11.2021	Gniezno	8320
654	15.11.2021	Malbork	1580
655	16.11.2021	Malbork	3470
656	16.11.2021	Gniezno	4420
657	17.11.2021	Gniezno	3130
658	17.11.2021	Malbork	1320
659	17.11.2021	Ogrodzieniec	8470
660	18.11.2021	Gniezno	1030
661	19.11.2021	Ogrodzieniec	6050
662	19.11.2021	Przemysl	4740
663	20.11.2021	Ogrodzieniec	5270
664	20.11.2021	Przemysl	9150
665	20.11.2021	Gniezno	8790
666	20.11.2021	Malbork	2830
667	21.11.2021	Ogrodzieniec	1380
668	22.11.2021	Przemysl	9060
669	22.11.2021	Malbork	3190
670	22.11.2021	Gniezno	4380
671	22.11.2021	Ogrodzieniec	5930
672	23.11.2021	Przemysl	3980
673	23.11.2021	Ogrodzieniec	9750
674	23.11.2021	Malbork	7340
675	23.11.2021	Gniezno	5350
676	24.11.2021	Ogrodzieniec	5490
677	24.11.2021	Malbork	1180
678	25.11.2021	Malbork	7560
679	26.11.2021	Przemysl	7970
680	26.11.2021	Malbork	2400
681	26.11.2021	Ogrodzieniec	7120
682	27.11.2021	Malbork	3500
683	27.11.2021	Ogrodzieniec	8590
684	28.11.2021	Ogrodzieniec	2510
685	28.11.2021	Przemysl	2180
686	28.11.2021	Gniezno	4710
687	29.11.2021	Przemysl	3830
688	29.11.2021	Ogrodzieniec	3110
689	29.11.2021	Malbork	9840
690	30.11.2021	Ogrodzieniec	3880
691	30.11.2021	Malbork	9670
692	01.12.2021	Malbork	3510
693	02.12.2021	Malbork	5820
694	02.12.2021	Ogrodzieniec	1950
695	03.12.2021	Malbork	1310
696	03.12.2021	Przemysl	3850
697	03.12.2021	Gniezno	4160
698	04.12.2021	Malbork	3550
699	04.12.2021	Przemysl	2700
700	05.12.2021	Ogrodzieniec	4620
701	05.12.2021	Przemysl	5060
702	06.12.2021	Ogrodzieniec	2550
703	06.12.2021	Przemysl	4310
704	06.12.2021	Gniezno	7210
705	07.12.2021	Gniezno	3560
706	08.12.2021	Przemysl	520
707	09.12.2021	Malbork	6090
708	10.12.2021	Ogrodzieniec	570
709	11.12.2021	Ogrodzieniec	9510
710	11.12.2021	Malbork	2480
711	11.12.2021	Gniezno	8000
712	12.12.2021	Przemysl	9990
713	12.12.2021	Ogrodzieniec	2750
714	12.12.2021	Malbork	4260
715	13.12.2021	Przemysl	2700
716	13.12.2021	Malbork	2180
717	14.12.2021	Przemysl	8200
718	14.12.2021	Gniezno	5080
719	14.12.2021	Ogrodzieniec	7660
720	14.12.2021	Malbork	8700
721	15.12.2021	Gniezno	7940
722	15.12.2021	Ogrodzieniec	5370
723	16.12.2021	Przemysl	3940
724	17.12.2021	Przemysl	4400
725	18.12.2021	Gniezno	6800
726	18.12.2021	Ogrodzieniec	4640
727	18.12.2021	Malbork	7530
728	19.12.2021	Malbork	6950
729	19.12.2021	Ogrodzieniec	2520
730	19.12.2021	Przemysl	4570
731	20.12.2021	Gniezno	7250
732	20.12.2021	Ogrodzieniec	1340
733	21.12.2021	Gniezno	1880
734	22.12.2021	Ogrodzieniec	5730
735	22.12.2021	Przemysl	1260
736	23.12.2021	Ogrodzieniec	9620
737	23.12.2021	Gniezno	1280
