id_perfum	nazwa_skladnika
p_79	bergamotka
p_79	mandarynka
p_79	liscie ananasa
p_80	mimoza
p_80	cytryna
p_80	rumianek
p_81	oud (zywica agarowa drzewo aloesowe)
p_81	roza
p_82	galka muszkatolowa
p_82	szafran
p_82	dziegiel
p_82	sliwka
p_83	fiolek
p_83	wodne owoce
p_83	bazylia
p_84	grejpfrut
p_84	czarna porzeczka
p_85	bergamotka
p_85	rozowy pieprz
p_86	tuberoza
p_86	Ylang-ylang
p_87	gruszka
p_87	brzoskwinia
p_87	bergamotka
p_87	kwiat pomaranczy
p_88	frezja
p_88	bergamotka
p_88	czerwone owoce
p_89	cytryna
p_89	limonka
p_89	nuty wodne
p_90	bergamotka
p_90	melon
p_90	liczi
p_90	frezja
p_91	limonka
p_91	melon
p_91	jablko
p_91	nuty morskiej bryzy
p_91	ananas
p_92	bergamotka
p_92	grejpfrut
p_92	guawa
p_92	ananas
p_92	gardenia
p_92	frezja
p_93	wloska bergamotka
p_93	szafran
p_94	kmin
p_94	szafran
p_95	czarny pieprz z Madagaskaru
p_95	sycylijska bergamotka
p_95	grejpfrut
p_96	sycylijska cytryna
p_96	kalabryjska bergamotka
p_96	dziegiel
p_96	miod
p_97	davana z Indii
p_97	akord rumu
p_98	gwatemalski kardamon
p_98	czarny pieprz z Madagaskaru
p_98	marokanska mieta
p_98	szafran
p_99	egipskie geranium
p_99	roza bulgarska
p_99	drewno rozane
p_99	migdaly
p_100	mandarynka
p_100	bergamotka
p_100	kolendra
p_100	czerwony tymianek
p_100	rozmaryn
p_101	petit grain (gorzka pomarancza)
p_101	cytryna z Amalfi
p_101	mirt cytrynowy
p_102	bialy tymianek
p_102	herbata
p_102	zielone liscie
p_102	cytryna
p_102	zywica elemi
p_102	mandarynka
p_103	bergamotka
p_103	czerwone wino
p_103	narcyz
p_103	geranium
p_103	mandarynka
p_103	petit grain (gorzka pomarancza)
p_104	grejpfrut
p_104	petit grain
p_104	mandarynka
p_105	zielone liscie
p_105	rozowy
p_105	czarny i bialy pieprz
p_105	dawana
p_106	zywica elemi
p_106	cytrusy
p_107	brzoskwinia
p_107	neroli
p_107	bergamotka
p_108	zielone jablko
p_108	fiolek
p_108	rozowe jagody
p_108	paczula
p_108	cytryna
p_108	bergamotka
p_109	brytyjski gin
p_109	jamajski rum
p_109	szkocka sosna
p_110	absynt
p_110	bergamotka
p_110	rozmaryn
p_110	cytryna
p_111	sliwka
p_111	jablko
p_111	renkloda
p_112	bergamotka
p_112	mandarynka
p_112	cytryna
p_112	neroli
p_113	czarna porzeczka
p_113	wloska bergamotka
p_113	francuskie jablka i krolewski ananas
p_114	bergamotka
p_114	lawenda
p_115	bergamotka
p_115	kardamon
p_115	galbanum
p_115	laur
p_116	jablko
p_116	sliwka
p_117	bergamotka
p_118	rozowy pieprz
p_118	czarna porzeczka
p_118	galbanum
p_119	cytryna
p_119	indyjska werbena
p_119	mieta pieprzowa
p_120	bergamotka
p_120	cytryna
p_120	mandarynka
p_120	grejpfrut
p_121	bergamotka
p_121	zielona mandarynka
p_121	cytryna
p_122	galbanum
p_122	pomarancza
p_122	liscie fiolka
p_123	sycylijska limonka
p_124	fiolek
p_124	cedr z Wirginii
p_125	skorka pomaranczowa z poludniowej Hiszpanii
p_126	absolut z drzewa pomaranczy
p_126	imbir z Jamajki
p_127	wloska mandarynka
p_127	limonka
p_127	bergamotka
p_127	gorzka pomarancza
p_127	liscie wetiwerii z Haiti
p_128	bergamotka
p_128	mandarynka ze skorka
p_129	kalabryjska cytryna
p_129	rozowy pieprz
p_129	sycylijska bergamotka
p_130	sycylijska bergamotka
p_130	roza
p_130	fiolek
p_131	bergamotka
p_131	cytryna
p_131	mandarynka
p_131	mieta pieprzowa
p_131	werbena
p_132	bergamotka
p_132	mandarynka
p_132	neroli
p_133	bergamotka
p_133	jablko
p_133	melon
p_133	brzoskwinia
p_133	morela
p_134	bergamotka
p_134	cytryna
p_134	mandarynka
p_134	imbir
p_135	bergamotka
p_136	mieta
p_136	liscie fiolka
p_136	brzoza
p_137	cytryna
p_137	lawenda
p_137	mech
p_138	pomarancza
p_138	cytrusy
p_138	geranium
p_138	roza
p_139	bergamotka
p_139	dziegiel
p_139	czarny pieprz
p_139	elemi
p_140	bergamotka
p_140	lawenda
p_140	brzoskwinia
p_141	bergamotka
p_141	kardamon
p_141	czarna porzeczka
p_142	kwiat cytryny
p_142	zolta mimoza
p_143	czarny pieprz
p_143	mandarynka
p_143	kauczuk
p_144	neroli
p_144	trawa morska
p_144	elemi
p_144	kminek
p_144	czarny pieprz
p_144	galka muszkatolowa
p_145	bergamotka
p_145	grejpfrut
p_145	liscie bluszczu
p_146	bergamotka
p_146	cytryna
p_146	liscie figi
p_146	nuty ogniste
p_147	pomarancza
p_147	bergamotka
p_147	rozowy pieprz
p_148	bergamotka
p_148	szalwia
p_149	bergamotka
p_149	cytryna
p_150	pomarancza
p_150	bergamotka
p_150	rozowy pieprz
p_151	neroli
p_151	osmantus
p_152	bergamotka
p_152	neroli
p_153	pomarancza
p_153	cytryna
p_153	konwalia
p_153	narcyz
p_154	owoce cytrusowe
p_154	cytryna
p_154	zielone nuty
p_154	czarna porzeczka
p_155	bergamotka
p_155	pomarancza
p_155	kardamon
p_155	galka muszkatolowa
p_156	bergamotka
p_156	gorzka pomarancza
p_157	bergamotka
p_157	pomarancza
p_157	neroli
p_158	szafran
p_158	roza
p_158	cynamon
p_159	bergamotka
p_159	neroli
p_160	wloska bergamotka
p_160	jalowiec
p_160	czarny pieprz
p_161	pomarancza
p_161	bergamotka
p_161	cytryna
p_161	mandarynka
p_162	cytryna
p_162	grejpfrut
p_162	mandarynka
p_162	bergamotka
p_163	platki rozy
p_163	cytrusy
p_164	kardamon
p_164	cynamon
p_164	galbanum
p_164	lawenda
p_165	dziegiel
p_165	kardamon
p_165	rozowy pieprz
p_165	bazylia
p_165	galbanum
p_165	aldehydy
p_166	kardamon
p_166	akord ozonu
p_167	pomarancza
p_167	czarna porzeczka
p_167	brzoskwinia
p_168	cytryna
p_168	bergamotka
p_168	mandarynka
p_168	galbanum
p_168	mieta
p_168	frezja
p_168	czarna porzeczka (liscie)
p_169	bergamotka
p_169	czarna porzeczka (paczki)
p_169	lisc pomidora
p_169	lisc figowy
p_170	zielone liscie
p_170	akord zieleni
p_170	akord rosy
p_170	tulipan
p_170	ekstrakt rozowego pieprzu
p_171	bergamotka
p_171	pomarancza
p_171	aldehydy
p_171	roza
p_171	dawana
p_172	cytryna
p_172	slodka pomarancza
p_172	petit grain (gorzka pomarancza)
p_172	bazylia
p_172	zielona mieta
p_172	bergamotka
p_173	roza stulistna
p_173	roza damascenska
p_173	gruszka
p_173	bergamotka
p_173	aksamitka
p_174	kalabryjska bergamotka
p_174	sycylijska cytryna
p_174	paragwajskie petitgrain
p_174	marokanskie neroli
p_174	lawenda
p_174	estragon
p_174	rozowy pieprz
p_175	bergamotka
p_175	cytryna
p_176	bergamotka
p_176	ziola srodziemnomorskie
p_176	lawenda
p_176	rumianek
p_177	bergamotka
p_177	konwalia
p_177	rozowy pieprz
p_178	kwiat pomaranczy
p_178	roza (absolut)
p_178	egipski jasmin
p_179	bergamotka
p_179	galbanum
p_179	estragon
p_179	cytryna
p_180	mandarynka
p_180	biala brzoskwinia
p_181	nuty morskie
p_182	cytryna
p_182	karambola
p_182	tropikalne owoce
p_182	dziegiel
p_183	czarny gozdzik
p_183	czarne jagody
p_183	belladonna (pokrzyk wilcza jagoda)
p_184	pistacje
p_185	tangerynka
p_185	galbanum
p_185	galka muszkatolowa
p_185	sandalowiec
p_186	galbanum
p_186	imbir
p_186	galka muszkatolowa
p_187	mango
p_187	papaja
p_188	dzikie kwiaty
p_188	czeresnia
p_189	herbata ryzowa
p_190	cyklamen
p_191	nuty kwiatowe
p_192	wodorosty
p_192	lisc fiolka
p_192	sol
p_193	limonka z Malezji (owoce i liscie)
p_193	czerwona pomarancza z Sycylii
p_194	esencja skorek gorzkiej pomaranczy
p_195	mieta
p_195	arbuz
p_195	laur
p_196	kwiat cytryny
p_197	slodka mieta (Ramatuelle)
p_197	liscie bambusa (Escalet)
p_197	granat (Place des Lices)
p_198	mandarynka
p_198	kwiat brzoskiwini
p_198	brzoskwinia
p_199	wloska bergamotka
p_199	akord herbaty jasminowej
p_200	czarny pieprz
p_201	klementynka
p_201	rabarbar
p_201	bergamotka
p_201	tangerynka
p_201	melon
p_201	nuty zielone i ozonowe
p_202	gorzka pomarancza
p_202	cytryna
p_202	bergamotka
p_203	bergamotka
p_203	rozowy pieprz
p_203	melon
p_203	jablko
p_204	gozdzik (kwiat)
p_204	kwiaty pomaranczy
p_205	bergamotka
p_205	czarna porzeczka
p_205	szafran z Iranu
p_205	jablko
p_205	rozowy pieprz
p_206	aldehydy
p_206	brzoskwinia
p_206	brazylijskie drewno rozane
p_206	geranium
p_207	bergamotka
p_207	grejpfrut
p_207	mandarynka
p_207	pomarancza
p_207	rabarbar
p_207	czarna porzeczka
p_207	jablko
p_207	melon
p_208	bergamotka
p_208	ananas
p_208	melon
p_208	cynamon
p_208	kardamon
p_209	bergamotka
p_209	rozowy pieprz
p_210	bergamotka
p_210	ananas
p_211	wanilia
p_212	bergamotka
p_212	labdanum
p_212	szafran
p_213	cytryna
p_213	szafran
p_213	styraks
p_214	bergamotka kalabryjska
p_214	zielone jablko
p_214	rabarbar
p_215	galka muszkatolowa
p_215	kolendra
p_215	kminek
p_216	swieze
p_216	zielone
p_216	cyprys
p_217	angielski gin
p_217	dziegiel
p_217	kandyzowane i suszone owoce
p_217	akord kubanskiego rumu
p_218	papirus
p_218	turzyca (absolut)
p_219	swieze cytrusy
p_220	kardamon
p_221	liscie tabaki
p_222	eukaliptus
p_222	rozowy grejpfrut
p_223	bergamotka
p_223	gorzka pomarancza (neroli)
p_224	brzoskwinia
p_224	marchewka
p_224	frezja
p_225	grejpfrut
p_225	magnolia
p_225	lilie wodne
p_226	jablko
p_226	brzoskwinia
p_226	sliwka
p_226	cynamon
p_227	jasmin
p_227	osmantus
p_227	roza majowa
p_228	bergamotka
p_228	rozowy pieprz
p_228	gwatemalski kardamon
p_229	czerwona pomarancza
p_229	paczki czarnej porzeczki
p_229	biala brzoskwinia
p_229	liczi
p_230	bergamotka
p_231	orzech kokosowy
p_232	bergamotka
p_232	neroli
p_233	kokos
p_233	suszona sliwka
p_233	brzoskwinia
p_233	czarna porzeczka
p_233	damascenska sliwka
p_234	neroli
p_234	bergamotka
p_235	bergamotka
p_235	gorzka pomarancza
p_235	limonka
p_235	mandarynka
p_236	suszone owoce
p_237	cytryna
p_237	grejpfrut
p_237	rozowy pieprz
p_238	cynamon
p_238	kardamon
p_238	rozowy pieprz
p_238	kminek
p_239	czystek
p_239	ozonowe aldehydy
p_239	nuty metaliczne
p_240	ziarna kopru
p_241	Fleur de Sel (recznie zbierana francuska sol morska)
p_241	rozmaryn
p_241	zielona mandarynka
p_241	rozowy grejpfrut
p_242	goracy cynamon
p_242	jablka w toffi
p_242	metaliczne aldehydy
p_243	paczki roz
p_243	anyz
p_243	esencja z kwiatow pomaranczy
p_244	bialy irys
p_244	imbir
p_245	szalwia
p_245	grejpfrut
p_245	bergamotka
p_245	kardamon
p_246	geranium
p_247	kardamon
p_247	galka muszkatolowa
p_247	kwiat muszkatolowy
p_247	pieprz
p_248	cytryna
p_248	bergamotka
p_248	jagody rozowego pieprzu
p_249	pieprz
p_249	lukrecja
p_250	bergamotka
p_250	rozowy pieprz
p_250	cynamon
p_250	kardamon
p_251	bazylia
p_251	cytryna
p_251	pomarancza
p_252	bazylia
p_252	cytryna
p_252	pomarancza
p_253	bazylia
p_253	cytryna
p_253	pomarancza
p_254	imbir
p_254	cytryna
p_254	czerwony pieprz
p_254	esencja rumowa
p_255	kardamom
p_255	gozdziki (absolut)
p_255	rozowy pieprz
p_255	pieprz
p_255	cytryna
p_256	roza
p_256	imbir
p_257	anyz gwiazdkowy
p_258	galbanum
p_258	kwiat brzoskwini
p_258	liscie figowe
p_259	fiolki
p_260	wloska mandarynka
p_260	esencja dawany
p_260	hiperesencja kadzidla
p_260	szafran
p_261	bergamotka
p_261	elemi
p_262	mandarynka
p_262	bergamotka
p_262	szafran
p_262	jablko
p_263	konwalia
p_263	bez
p_263	Ylang-ylang
p_263	aldehydy
p_264	rozowe jagody
p_264	czarny pieprz
p_265	bergamotka
p_265	wloska mandarynka
p_265	galka muszkatolowa
p_265	kolendra
p_266	gruszka
p_266	brzoskwinia
p_266	frezja
p_266	bergamotka
p_267	bergamotka
p_267	malina
p_267	kwiat pomaranczy
p_268	kwiaty fuksji
p_268	paczki rozy
p_268	czarny pieprz
p_268	rozowy pieprz
p_269	bergamotka
p_269	cytrusy
p_269	tangerynka
p_270	esencja bergamotki
p_270	gruszka
p_271	neroli
p_271	kolendra
p_271	bergamotka
p_271	mandarynka
p_271	pomarancza
p_272	wloska bergamotka
p_272	mandarynka
p_272	kolendra
p_272	cytryna
p_272	galka muszkatolowa
p_272	kora i liscie cynamonowca
p_273	wloska limonka
p_273	rozowy grejpfrut
p_273	gorzka pomarancza
p_273	rozmaryn
p_273	werbena
p_274	sliwka
p_274	lukrecja
p_274	roza
p_274	gorzka pomarancza
p_274	szafran
p_275	neroli
p_275	wloska bergamotka
p_275	roza (olejek)
p_275	gorzka pomarancza
p_275	mandarynka
p_276	bergamotka
p_276	neroli
p_276	liczi
p_276	nuty zielone
p_277	roza
p_277	kolendra
p_277	czarna porzeczka
p_277	gozdzik
p_277	drewno krzewu rozy
p_278	lawenda
p_278	zielone liscie
p_278	nuty roslinne
p_279	nuty zielone
p_279	zywica elemi
p_279	galbanum
p_279	jablko
p_279	cytryna
p_279	bergamotka
p_280	egzotyczne kwiaty
p_280	jasmin Sambac
p_280	roza
p_280	kwiaty pomaranczy
p_281	swieze zielone cytrusy
p_281	bergamotka
p_281	mandarynka
p_281	akord miekkich kwiatow
p_281	akord owocow
p_282	paczula
p_282	lawenda
p_283	koper
p_283	dziki anyz
p_283	dziki koper
p_283	mieta pieprzowa
p_283	cytrusy
p_283	akordy drzew iglastych i lisciastych
p_284	cytrusy
p_284	swieze zielone nuty
p_284	bergamotka
p_284	czarny pieprz
p_284	szalwia
p_284	galka muszkatolowa
p_284	nuty kwiatowe
p_285	bergamotka
p_285	petit grain
p_285	wawrzyn
p_285	cytryna
p_285	pomarancza
p_285	kolendra
p_285	lawenda
p_285	zywica elemi
p_286	winogrona Isabella
p_286	bergamotka
p_286	elemi
p_286	bylica
p_287	mandarynka i bergamotka z Wloch
p_287	szalwia muszkatolowa
p_288	bergamotka
p_288	kardamon
p_288	galbanum
p_289	kardamon
p_289	cyprys
p_289	rozmaryn
p_290	cytrusy
p_290	grejpfrut
p_290	konkret rozany
p_291	owoc jalowca
p_291	szafran
p_291	koniak
p_292	sycylijska limonka
p_292	kalabryjska bergamotka
p_292	biala gardenia
p_292	czarny pieprz
p_292	ylang ylang
p_293	cytryna
p_293	pomarancza
p_293	lawenda
p_293	bergamotka
p_294	mandarynka
p_294	grejpfrut
p_294	pomarancza z Gwinei
p_294	neroli
p_295	sycylijska lemonka
p_295	tunezyjskie kwiaty pomaranczy
p_295	galka muszkatolowa
p_295	kardamon
p_295	ylang ylang
p_296	bergamotka
p_296	kardamon
p_296	oleander
p_296	szafran
p_296	owoce jalowca
p_297	grejpfrut
p_297	cytrusy
p_297	nuty morskie
p_298	bergamotka
p_298	kwiaty pomaranczy
p_299	czarna porzeczka
p_299	sliwka
p_299	gruszka
p_299	cytryna
p_300	migdaly
p_300	brzoskwinia
p_300	liscie migdalowca
p_301	roza
p_302	marcepan
p_302	miod
p_303	bergamotka
p_303	mandarynka
p_304	bergamotka
p_304	grejpfrut
p_305	cytryna
p_305	gorzka pomarancza
p_305	sliwka
p_306	grejpfrut
p_306	pomarancza
p_307	bergamotka
p_307	mandarynka
p_308	bergamotka
p_309	cynamon
p_309	cytryna
p_309	neroli (ostra)
p_310	bergamotka
p_310	kolendra
p_310	kardamon
p_311	bergamotka
p_311	pieprz
p_311	kardamon
p_311	rozowe jagody
p_311	grejpfrut
p_312	gardenia
p_312	Ylang-ylang
p_312	kwiat brzoskwini (kwiatowa owocowa)
p_313	cynamon z Cejlonu
p_313	mandarynka z Wloch
p_314	mieta
p_314	rozmaryn
p_314	bylica pospolita
p_314	bergamotka
p_314	galbanum
p_315	mandarynka
p_315	kwiat pomaranczy
p_316	cynamon
p_316	rozowy pieprz
p_317	sliwka
p_317	czerwone jagody
p_317	mandarynka
p_318	liscie fiolka
p_319	roza majowa
p_319	bergamotka
p_320	gardenia
p_320	roza
p_321	cynamon
p_321	kwiat pomaranczy
p_322	brzoskwinia
p_322	malina
p_322	roza turecka
p_323	czarna porzeczka
p_323	szafran
p_324	rozowy pieprz
p_324	bergamotka
p_325	cytryna
p_325	lawenda
p_325	nuty hesperydowe i aromatyczne
p_326	roza damascenska z Bulgarii
p_326	bergamotka z Kalabrii
p_326	pomarancza z Kalifornii
p_327	mandarynka
p_327	bergamotka
p_327	cytryna
p_327	cynamon
p_327	kardamon
p_327	rozowy pieprz
p_328	jasmin
p_328	szafran
p_329	fiolek
p_330	kawa CO2
p_330	kolendra
p_330	rabarbar
p_330	absolut z czarnej porzeczki
p_330	bergamotka
p_330	klementynka
p_331	cytryna
p_331	seler
p_331	neroli
p_331	slodka pomarancza
p_331	bergamotka
p_331	rum
p_331	kardamon
p_331	lawenda
p_332	petit grain (olejek z gorzkiej pomaranczy)
p_332	zywica elemi
p_332	kmin
p_332	neroli
p_332	liscie czarnej porzeczki
p_333	bergamotka
p_333	rozowy pieprz
p_334	elemi
p_334	rozowy pieprz
p_335	niesmiertelnik z Korsyki
p_335	nasiona ambrette
p_335	drewno cabreuva
p_335	marchew
p_336	kwiaty wisni
p_336	cyprys
p_336	anyz gwiazdzisty
p_337	bergamotka
p_337	brzoskwinia
p_337	czarna porzeczka
p_338	brzoskwinia
p_338	gozdzik
p_338	ostra papryka
p_339	nuty przyprawowe
p_340	bergamotka i cytryna z Sycylii
p_340	czarna porzeczka
p_340	przyprawy
p_341	grejpfrut
p_341	nuty owocowe
p_342	pikantne przyprawy
p_343	mandarynka
p_343	brzoskwinia
p_343	kokos
p_343	czarna porzeczka
p_344	pikantne przyprawy
p_344	likier porzeczkowy
p_345	bergamotka
p_345	mandarynka
p_345	cytryna z Kalabrii
p_345	kosz owocow
p_345	pieprz
p_346	grejpfrut
p_346	czarna porzeczka
p_346	swieze ziola
p_347	bergamotka
p_347	grejpfrut
p_347	ananas
p_347	melon
p_347	cynamon
p_347	kardamon
p_347	galka muszkatolowa
p_347	imbir
p_347	bazylia
p_347	tymianek
p_347	lawenda
p_348	hiacynt
p_348	zielone klementynki
p_348	aldehydy
p_348	esencja czystka
p_348	esencja galbanum
p_348	tymianek
p_348	lawenda
p_349	jagody drzewa laurowego
p_349	szafran
p_350	grejpfrut
p_350	bergamotka
p_350	fiolek
p_351	gruszka
p_351	aldehydy
p_351	mandarynka
p_351	kwiat cytryny
p_352	pomarancza
p_352	nuty zielone
p_352	fiolek
p_353	dawana
p_353	brzoskwinia
p_353	kokos
p_353	czarna porzeczka
p_354	bergamotka
p_354	brazylijska mandarynka
p_354	kalifornijska cytryna
p_355	liczi
p_355	piwonia (peonia)
p_355	glog
p_356	mandarynka
p_356	absolut kwiatu pomaranczy
p_357	grejpfrut
p_357	neroli
p_357	mandarynka
p_358	esencja rozana
p_358	liscie fiolka
p_358	kwiat pomaranczy
p_358	rozowy pieprz
p_359	szafran
p_359	kolendra
p_359	cynamon
p_359	rumianek
p_359	aksamitka
p_359	pomarancza
p_359	cytron (cedrat)
p_360	pomarancza
p_360	sycylijska bergamotka
p_360	gruszka
p_360	srodziemnomorska figa
p_360	puder szafranowy
p_360	oud z Malezji
p_361	marokanska roza
p_361	czerwone jagody
p_362	rosyjska lawenda
p_362	kardamon z Gwatemali
p_362	indyjski czarny pieprz
p_362	szafran
p_363	oud
p_363	skora
p_363	gozdzik (przyprawa) z Sumatry
p_363	szafran
p_363	elemi z Filipin
p_364	bergamotka
p_364	cytryna z Sycylii
p_364	oud z Malezji
p_364	nuty owocowe
p_365	pomarancza i bergamotka z Kalabrii
p_365	nuty zielone i aromatyczne
p_365	mieta
p_365	szafran
p_365	gozdziki
p_366	nuty kwiatowe
p_367	bergamotka i cytryna z Sycylii
p_367	oud z Malezji
p_367	szafran
p_367	rozowy pieprz z Peru
p_368	galka muszkatolowa
p_368	kardamon
p_368	liscie fiolka
p_368	czarny pieprz z Madagaskaru
p_369	cytryna i bergamotka z Kalabrii
p_369	jablko
p_370	migdal
p_370	heliotropina
p_370	kolendra
p_371	rozowy pieprz
p_371	roza
p_371	zielona mandarynka
p_372	bergamotka
p_372	grejpfrut
p_372	olibanum
p_372	rozmaryn
p_373	bergamotka
p_373	elemi
p_374	schinus
p_375	rabarbar
p_375	grejpfrut
p_375	pomarancza
p_376	kardamon
p_376	anyzek
p_376	cynamon
p_377	petitgrain
p_377	absolut tuberozy
p_377	szafran
p_377	sliwka
p_378	akord wasabi
p_378	liscie figowe
p_378	liscie bambusa
p_378	bergamotka
p_378	cytryna
p_379	yuzu
p_379	imbir
p_379	mieta
p_379	cytryna
p_379	mandarynka
p_380	bergamotka
p_380	pieprz
p_380	winogrona
p_380	malina (hesperydowe pikantne owocowe)
p_381	kardamon
p_381	kolendra
p_381	kmin (kumin)
