Dzien;Temperatura;Opad;Kategoria_chmur;Wielkosc_chmur
462;25;4;0;0
463;27,7;1;0;0
464;29,4;12;0;0
465;29,5;12;0;0
466;27,8;8;0;0
467;24,9;13;0;0
468;21,3;18;0;0
469;18,1;15;0;0
470;15,9;10;0;0
471;15,3;7;0;0
472;16;5;0;0
473;17,5;26;0;0
474;19;0;0;0
475;19,5;2;0;0
476;18,7;6;0;0
477;16,3;5;0;0
478;12,7;6;0;0
479;8,8;7;0;0
480;5,3;2;0;0
481;3,2;7;0;0
482;2,7;7;0;0
483;3,9;8;0;0
484;6;18;0;0
485;8,2;23;0;0
486;9,7;23;0;0
487;10;11;0;0
488;8,8;16;0;0
489;6,6;22;0;0
490;4,1;0;0;0
491;2,2;1;0;0
492;1,6;4;0;0
493;2,7;1;0;0
494;5,4;9;0;0
495;9,1;11;0;0
496;12,9;8;0;0
497;15,9;16;0;0
498;17,5;15;0;0
499;17,5;8;0;0
500;16,4;14;0;0
