Id_kierowcy;Punkty;Id_wyscigu
z18;5;w120
z42;3;w120
z33;2;w120
z38;4;w120
z32;1;w120
z11;10;w121
z12;8;w121
z13;6;w121
z26;4;w121
z18;5;w121
z33;1;w121
z46;2;w121
z20;3;w121
z11;8;w122
z31;5;w122
z12;10;w122
z13;3;w122
z26;4;w122
z18;6;w122
z42;2;w122
z38;1;w122
z26;10;w123
z27;6;w123
z11;8;w123
z12;3;w123
z33;5;w123
z13;4;w123
z36;2;w123
z46;1;w123
z26;6;w124
z27;8;w124
z11;10;w124
z12;4;w124
z33;5;w124
z15;1;w124
z13;3;w124
z20;2;w124
z26;6;w125
z27;8;w125
z11;4;w125
z12;10;w125
z33;5;w125
z45;3;w125
z13;1;w125
z20;2;w125
z27;8;w126
z11;6;w126
z12;10;w126
z45;5;w126
z15;2;w126
z36;3;w126
z8;4;w126
z54;1;w126
z26;1;w127
z27;8;w127
z11;10;w127
z12;6;w127
z33;3;w127
z45;4;w127
z13;5;w127
z3;2;w127
z26;4;w128
z27;10;w128
z11;2;w128
z33;8;w128
z15;5;w128
z3;6;w128
z46;1;w128
z54;3;w128
z26;5;w129
z27;10;w129
z11;8;w129
z12;6;w129
z15;4;w129
z32;2;w129
z20;3;w129
z51;1;w129
z26;10;w130
z27;6;w130
z11;2;w130
z12;8;w130
z33;4;w130
z45;5;w130
z13;3;w130
z18;1;w130
z26;10;w131
z27;6;w131
z11;8;w131
z12;4;w131
z33;3;w131
z45;5;w131
z15;2;w131
z13;1;w131
z11;10;w132
z12;8;w132
z33;3;w132
z45;2;w132
z15;1;w132
z8;4;w132
z3;5;w132
z32;6;w132
z26;8;w133
z27;10;w133
z11;5;w133
z33;6;w133
z45;4;w133
z15;1;w133
z36;2;w133
z46;3;w133
z26;8;w134
z27;4;w134
z11;6;w134
z12;10;w134
z33;5;w134
z45;1;w134
z15;3;w134
z36;2;w134
z26;6;w135
z27;8;w135
z11;10;w135
z33;5;w135
z45;4;w135
z15;2;w135
z36;3;w135
z18;1;w135
z26;10;w136
z27;5;w136
z11;6;w136
z12;8;w136
z33;4;w136
z15;1;w136
z36;3;w136
z32;2;w136
z26;6;w137
z27;10;w137
z12;3;w137
z45;2;w137
z15;8;w137
z13;4;w137
z8;5;w137
z2;1;w137
z26;10;w138
z11;8;w138
z12;6;w138
z33;2;w138
z8;1;w138
z51;5;w138
z18;4;w138
z55;3;w138
z26;10;w139
z27;2;w139
z11;6;w139
z12;8;w139
z33;3;w139
z45;4;w139
z36;5;w139
z20;1;w139
z27;10;w140
z26;1;w140
z11;5;w140
z33;8;w140
z15;4;w140
z36;6;w140
z25;3;w140
z48;2;w140
z27;4;w141
z26;10;w141
z45;8;w141
z11;1;w141
z33;3;w141
z15;6;w141
z20;5;w141
z32;2;w141
z12;10;w142
z26;8;w142
z45;6;w142
z33;5;w142
z15;4;w142
z20;3;w142
z32;2;w142
z36;1;w142
z27;6;w143
z12;8;w143
z26;10;w143
z45;5;w143
z20;1;w143
z32;4;w143
z25;2;w143
z18;3;w143
z27;8;w144
z12;10;w144
z26;6;w144
z45;5;w144
z11;3;w144
z33;4;w144
z32;2;w144
z36;1;w144
z27;10;w145
z12;6;w145
z45;8;w145
z15;1;w145
z51;4;w145
z32;5;w145
z42;3;w145
z25;2;w145
z12;4;w146
z45;10;w146
z33;8;w146
z51;1;w146
z20;3;w146
z52;5;w146
z42;2;w146
z8;6;w146
z12;10;w147
z26;8;w147
z45;4;w147
z11;1;w147
z15;5;w147
z20;6;w147
z32;3;w147
z35;2;w147
z27;10;w148
z26;5;w148
z11;3;w148
z33;8;w148
z15;4;w148
z20;2;w148
z42;6;w148
z25;1;w148
z27;10;w149
z12;6;w149
z26;3;w149
z45;2;w149
z33;5;w149
z15;4;w149
z51;1;w149
z35;8;w149
z27;4;w150
z26;6;w150
z45;1;w150
z11;5;w150
z15;10;w150
z20;2;w150
z52;8;w150
z35;3;w150
z27;8;w151
z12;10;w151
z45;6;w151
z15;5;w151
z51;3;w151
z20;4;w151
z52;2;w151
z36;1;w151
z27;6;w152
z12;10;w152
z45;3;w152
z11;5;w152
z33;8;w152
z51;4;w152
z32;1;w152
z48;2;w152
z27;2;w153
z12;3;w153
z45;6;w153
z11;5;w153
z33;4;w153
z15;8;w153
z51;10;w153
z32;1;w153
z27;6;w154
z11;10;w154
z33;3;w154
z51;4;w154
z52;5;w154
z36;8;w154
z25;1;w154
z8;2;w154
z12;2;w155
z26;6;w155
z45;8;w155
z11;10;w155
z51;3;w155
z20;4;w155
z32;1;w155
z35;5;w155
z27;10;w156
z12;8;w156
z26;6;w156
z45;3;w156
z11;5;w156
z33;4;w156
z52;2;w156
z35;1;w156
z27;4;w157
z12;10;w157
z26;6;w157
z11;8;w157
z15;2;w157
z51;5;w157
z20;1;w157
z52;3;w157
z18;10;w158
z42;8;w158
z36;3;w158
z20;6;w158
z11;4;w158
z52;5;w158
z49;2;w158
z48;1;w158
z18;5;w159
z42;2;w159
z32;1,5;w159
z27;1;w159
z36;0,5;w159
z20;2,5;w159
z52;3;w159
z33;4;w159
z18;6;w160
z51;10;w160
z42;5;w160
z32;8;w160
z27;3;w160
z52;2;w160
z15;4;w160
z49;1;w160
z18;10;w161
z51;8;w161
z42;4;w161
z27;5;w161
z26;3;w161
z20;6;w161
z11;1;w161
z52;2;w161
z18;10;w162
z51;5;w162
z42;8;w162
z32;6;w162
z36;1;w162
z11;4;w162
z12;3;w162
z33;2;w162
z18;10;w163
z42;8;w163
z32;4;w163
z26;6;w163
z36;3;w163
z11;2;w163
z12;5;w163
z48;1;w163
z18;10;w164
z51;6;w164
z32;8;w164
z36;4;w164
z20;5;w164
z52;1;w164
z12;3;w164
z45;2;w164
z18;3;w165
z51;10;w165
z42;6;w165
z32;8;w165
z26;1;w165
z36;4;w165
z20;2;w165
z12;5;w165
z18;4;w166
z51;8;w166
z42;3;w166
z32;10;w166
z36;5;w166
z11;2;w166
z12;6;w166
z15;1;w166
z18;2;w167
z32;6;w167
z27;10;w167
z26;8;w167
z36;5;w167
z20;1;w167
z52;3;w167
z15;4;w167
z18;2;w168
z42;10;w168
z27;8;w168
z26;6;w168
z36;4;w168
z11;3;w168
z15;5;w168
z45;1;w168
z51;6;w169
z42;2;w169
z26;10;w169
z36;1;w169
z15;3;w169
z33;4;w169
z45;5;w169
z13;8;w169
z18;8;w170
z51;1;w170
z42;10;w170
z26;6;w170
z11;4;w170
z15;3;w170
z33;2;w170
z2;5;w170
z18;4;w171
z51;5;w171
z42;3;w171
z27;10;w171
z11;6;w171
z52;8;w171
z15;2;w171
z45;1;w171
z18;1;w172
z51;10;w172
z42;2;w172
z27;6;w172
z26;5;w172
z36;4;w172
z20;8;w172
z33;3;w172
z18;4;w173
z51;5;w173
z42;1;w173
z32;10;w173
z27;6;w173
z26;3;w173
z45;8;w173
z49;2;w173
z18;6;w174
z51;10;w174
z42;5;w174
z32;8;w174
z20;2;w174
z33;4;w174
z49;1;w174
z25;3;w174
z51;12;w175
z11;25;w175
z32;4;w175
z27;15;w175
z18;6;w175
z12;18;w175
z36;10;w175
z31;8;w175
z42;1;w175
z55;2;w175
z11;12;w176
z32;2;w176
z27;8;w176
z18;25;w176
z12;15;w176
z36;10;w176
z45;18;w176
z31;1;w176
z42;4;w176
z55;6;w176
z51;25;w177
z32;18;w177
z27;8;w177
z18;4;w177
z12;6;w177
z36;15;w177
z45;12;w177
z2;10;w177
z34;1;w177
z17;2;w177
z51;8;w178
z11;12;w178
z32;4;w178
z27;18;w178
z18;25;w178
z12;2;w178
z36;15;w178
z45;10;w178
z31;1;w178
z56;6;w178
z51;15;w179
z11;18;w179
z32;25;w179
z18;10;w179
z12;8;w179
z45;4;w179
z31;12;w179
z42;2;w179
z2;6;w179
z17;1;w179
z51;18;w180
z11;8;w180
z32;25;w180
z27;10;w180
z12;12;w180
z36;6;w180
z45;15;w180
z2;4;w180
z55;2;w180
z49;1;w180
z11;4;w181
z32;15;w181
z27;25;w181
z18;18;w181
z12;6;w181
z36;10;w181
z45;8;w181
z31;12;w181
z2;2;w181
z25;1;w181
z51;12;w182
z11;15;w182
z32;10;w182
z27;25;w182
z18;18;w182
z36;8;w182
z45;6;w182
z2;1;w182
z55;2;w182
z49;4;w182
z51;25;w183
z11;4;w183
z27;18;w183
z18;15;w183
z36;1;w183
z45;10;w183
z42;12;w183
z2;8;w183
z25;6;w183
z49;2;w183
z51;6;w184
z32;25;w184
z27;18;w184
z18;12;w184
z36;15;w184
z31;2;w184
z42;10;w184
z2;4;w184
z25;8;w184
z34;1;w184
z51;15;w185
z11;25;w185
z32;8;w185
z27;12;w185
z18;10;w185
z12;18;w185
z36;4;w185
z45;6;w185
z31;2;w185
z56;1;w185
z51;15;w186
z11;18;w186
z32;25;w186
z18;4;w186
z12;12;w186
z42;1;w186
z25;2;w186
z56;10;w186
z34;8;w186
z38;6;w186
z32;18;w187
z27;25;w187
z12;12;w187
z36;8;w187
z45;15;w187
z31;6;w187
z2;10;w187
z25;4;w187
z56;2;w187
z55;1;w187
z51;12;w188
z11;25;w188
z32;8;w188
z18;18;w188
z12;15;w188
z36;10;w188
z45;4;w188
z31;2;w188
z42;1;w188
z34;6;w188
z51;18;w189
z11;25;w189
z32;15;w189
z18;12;w189
z12;4;w189
z36;10;w189
z45;6;w189
z42;8;w189
z2;2;w189
z34;1;w189
z51;25;w190
z11;15;w190
z32;18;w190
z27;10;w190
z18;12;w190
z31;8;w190
z42;2;w190
z25;6;w190
z49;1;w190
z33;4;w190
z11;25;w191
z27;18;w191
z12;15;w191
z45;10;w191
z31;12;w191
z42;6;w191
z25;4;w191
z34;1;w191
z55;8;w191
z33;2;w191
z51;25;w192
z11;15;w192
z32;18;w192
z27;12;w192
z18;10;w192
z36;8;w192
z45;2;w192
z31;6;w192
z25;1;w192
z34;4;w192
z51;25;w193
z11;6;w193
z32;4;w193
z27;18;w193
z18;15;w193
z12;1;w193
z36;12;w193
z45;10;w193
z56;8;w193
z17;2;w193
z51;25;w194
z18;8;w194
z32;10;w194
z11;12;w194
z27;18;w194
z12;6;w194
z2;2;w194
z56;15;w194
z39;1;w194
z49;4;w194
z51;25;w195
z18;18;w195
z32;12;w195
z11;8;w195
z27;4;w195
z12;10;w195
z31;2;w195
z33;15;w195
z25;6;w195
z39;1;w195
z51;18;w196
z18;12;w196
z32;15;w196
z11;6;w196
z27;25;w196
z12;8;w196
z36;10;w196
z31;4;w196
z56;2;w196
z25;1;w196
z51;25;w197
z18;8;w197
z32;18;w197
z11;15;w197
z27;12;w197
z36;10;w197
z56;4;w197
z33;6;w197
z25;1;w197
z49;2;w197
z51;25;w198
z18;15;w198
z32;12;w198
z11;10;w198
z27;18;w198
z36;6;w198
z31;8;w198
z33;4;w198
z25;1;w198
z50;2;w198
z51;25;w199
z18;15;w199
z32;12;w199
z11;18;w199
z27;8;w199
z2;6;w199
z33;4;w199
z25;10;w199
z49;1;w199
z42;2;w199
z51;18;w200
z18;25;w200
z32;15;w200
z12;8;w200
z31;12;w200
z56;10;w200
z25;6;w200
z17;4;w200
z49;1;w200
z42;2;w200
z51;25;w201
z18;8;w201
z32;15;w201
z11;18;w201
z27;12;w201
z12;10;w201
z36;6;w201
z2;2;w201
z33;1;w201
z17;4;w201
z51;18;w202
z32;15;w202
z11;25;w202
z27;12;w202
z12;10;w202
z36;8;w202
z31;2;w202
z33;4;w202
z17;1;w202
z50;6;w202
z51;12;w203
z32;15;w203
z11;18;w203
z27;25;w203
z12;10;w203
z36;6;w203
z31;4;w203
z2;8;w203
z56;1;w203
z25;2;w203
z51;18;w204
z18;25;w204
z32;10;w204
z11;15;w204
z27;12;w204
z12;8;w204
z36;2;w204
z39;6;w204
z17;1;w204
z49;4;w204
z51;25;w205
z18;15;w205
z32;18;w205
z11;12;w205
z12;4;w205
z36;8;w205
z31;10;w205
z2;6;w205
z56;2;w205
z41;1;w205
z51;25;w206
z18;18;w206
z11;15;w206
z27;12;w206
z12;8;w206
z31;10;w206
z39;4;w206
z17;6;w206
z49;1;w206
z4;2;w206
z51;25;w207
z18;18;w207
z32;15;w207
z11;12;w207
z27;10;w207
z12;2;w207
z36;6;w207
z2;4;w207
z39;8;w207
z50;1;w207
z51;15;w208
z18;25;w208
z32;12;w208
z11;18;w208
z27;10;w208
z12;6;w208
z36;1;w208
z31;8;w208
z56;2;w208
z50;4;w208
z51;25;w209
z18;12;w209
z32;15;w209
z11;10;w209
z27;18;w209
z12;8;w209
z36;4;w209
z39;1;w209
z17;6;w209
z49;2;w209
z51;25;w210
z18;18;w210
z32;12;w210
z11;15;w210
z27;6;w210
z36;8;w210
z31;10;w210
z2;2;w210
z17;4;w210
z50;1;w210
z18;15;w211
z32;12;w211
z11;18;w211
z27;25;w211
z12;10;w211
z36;8;w211
z31;6;w211
z2;4;w211
z25;1;w211
z39;2;w211
z51;18;w212
z18;15;w212
z32;25;w212
z11;12;w212
z12;10;w212
z36;6;w212
z2;8;w212
z56;1;w212
z25;2;w212
z39;4;w212
z51;18;w213
z11;10;w213
z26;6;w213
z27;15;w213
z18;25;w213
z32;12;w213
z50;4;w213
z25;8;w213
z39;1;w213
z9;2;w213
z11;25;w214
z26;10;w214
z27;15;w214
z32;12;w214
z50;18;w214
z34;2;w214
z31;1;w214
z39;6;w214
z4;8;w214
z21;4;w214
z51;10;w215
z11;2;w215
z27;15;w215
z18;18;w215
z32;12;w215
z44;8;w215
z36;25;w215
z25;1;w215
z41;4;w215
z4;6;w215
z51;25;w216
z11;6;w216
z26;18;w216
z27;4;w216
z32;12;w216
z12;2;w216
z44;15;w216
z36;10;w216
z31;1;w216
z39;8;w216
z51;8;w217
z11;18;w217
z26;15;w217
z27;4;w217
z18;2;w217
z44;12;w217
z36;6;w217
z34;1;w217
z25;10;w217
z41;25;w217
z51;12;w218
z11;15;w218
z26;2;w218
z27;10;w218
z32;25;w218
z12;8;w218
z36;18;w218
z34;4;w218
z39;6;w218
z4;1;w218
z51;12;w219
z11;10;w219
z26;4;w219
z27;25;w219
z32;6;w219
z12;1;w219
z44;18;w219
z36;8;w219
z50;15;w219
z25;2;w219
z11;25;w220
z26;18;w220
z18;4;w220
z32;12;w220
z36;8;w220
