id_wizyty	data	nr_wizyty	id_klienta
110	2017-11-23	7	X45
111	2017-11-23	8	X65
112	2017-11-23	9	X76
113	2017-11-23	10	X85
114	2017-11-23	11	Y35
115	2017-11-23	12	Y5
116	2017-11-23	13	Y60
117	2017-11-24	1	X2
118	2017-11-24	2	X61
119	2017-11-24	3	X65
120	2017-11-24	4	X77
121	2017-11-24	5	Y51
122	2017-11-24	6	Y60
123	2017-11-24	7	X18
124	2017-11-24	8	X52
125	2017-11-24	9	X69
126	2017-11-24	10	Y11
127	2017-11-24	11	Y46
128	2017-11-24	12	Y63
129	2017-11-24	13	Y1
130	2017-11-24	14	X59
131	2017-11-25	1	X80
132	2017-11-25	2	Y3
133	2017-11-25	3	X74
134	2017-11-25	4	Y51
135	2017-11-25	5	X1
136	2017-11-25	6	X45
137	2017-11-25	7	X52
138	2017-11-25	8	Y96
139	2017-11-27	1	X88
140	2017-11-27	2	X98
141	2017-11-27	3	Y96
142	2017-11-27	4	X88
143	2017-11-27	5	X98
144	2017-11-27	6	X18
145	2017-11-27	7	X55
146	2017-11-27	8	X62
147	2017-11-27	9	X77
148	2017-11-27	10	X85
149	2017-11-27	11	Y21
150	2017-11-27	12	Y35
151	2017-11-28	1	Y5
152	2017-11-28	2	Y57
153	2017-11-28	3	Y51
154	2017-11-28	4	X55
155	2017-11-28	5	X80
156	2017-11-28	6	X32
157	2017-11-28	7	X59
158	2017-11-29	1	X74
159	2017-11-29	2	Y10
160	2017-11-29	3	Y67
161	2017-11-29	4	X3
162	2017-11-29	5	X71
163	2017-11-29	6	X80
164	2017-11-29	7	Y2
165	2017-11-29	8	Y52
166	2017-11-29	9	Y51
167	2017-11-29	10	X73
168	2017-11-30	1	X59
169	2017-11-30	2	X54
170	2017-11-30	3	X69
171	2017-11-30	4	X77
172	2017-11-30	5	X90
173	2017-11-30	6	Y4
174	2017-11-30	7	Y52
175	2017-11-30	8	Y63
176	2017-11-30	9	X46
177	2017-11-30	10	X79
178	2017-11-30	11	X69
179	2017-12-01	1	X80
180	2017-12-01	2	Y53
181	2017-12-01	3	Y63
182	2017-12-01	4	X3
183	2017-12-01	5	X54
184	2017-12-01	6	X71
185	2017-12-01	7	Y2
186	2017-12-01	8	Y5
187	2017-12-01	9	Y7
188	2017-12-01	10	Y3
189	2017-12-01	11	X61
190	2017-12-01	12	Y1
191	2017-12-01	13	Y4
192	2017-12-02	1	X75
193	2017-12-02	2	Y53
194	2017-12-02	3	X17
195	2017-12-02	4	Y91
196	2017-12-02	5	Y97
197	2017-12-02	6	X89
198	2017-12-02	7	X99
199	2017-12-02	8	Y97
200	2017-12-02	9	X89
201	2017-12-02	10	X99
202	2017-12-02	11	X2
203	2017-12-02	12	X56
204	2017-12-02	13	X63
205	2017-12-02	14	X78
206	2017-12-02	15	X90
207	2017-12-02	16	Y23
208	2017-12-02	17	Y51
209	2017-12-04	1	Y58
210	2017-12-04	2	Y52
211	2017-12-04	3	X58
212	2017-12-04	4	Y1
213	2017-12-04	5	X55
214	2017-12-04	6	X60
215	2017-12-04	7	X75
216	2017-12-04	8	Y2
217	2017-12-05	1	Y51
218	2017-12-05	2	X32
219	2017-12-05	3	X73
220	2017-12-05	4	X83
221	2017-12-05	5	Y21
222	2017-12-05	6	Y55
223	2017-12-05	7	X2
224	2017-12-06	1	Y1
225	2017-12-06	2	X2
226	2017-12-06	3	X55
227	2017-12-06	4	X70
228	2017-12-06	5	X78
229	2017-12-06	6	Y11
230	2017-12-06	7	Y45
231	2017-12-06	8	Y53
232	2017-12-06	9	Y7
233	2017-12-06	10	X52
234	2017-12-06	11	X80
235	2017-12-06	12	X71
236	2017-12-06	13	Y10
237	2017-12-07	1	Y55
238	2017-12-07	2	Y67
239	2017-12-07	3	X32
240	2017-12-07	4	X56
241	2017-12-07	5	X83
242	2017-12-07	6	Y3
243	2017-12-07	7	Y52
244	2017-12-07	8	X55
245	2017-12-07	9	Y4
246	2017-12-07	10	X64
247	2017-12-07	11	Y45
248	2017-12-07	12	X77
249	2017-12-07	13	X18
250	2017-12-07	14	X80
251	2017-12-08	1	X85
252	2017-12-08	2	X90
253	2017-12-08	3	X100
254	2017-12-08	4	X85
255	2017-12-08	5	X90
256	2017-12-08	6	X100
257	2017-12-08	7	X3
258	2017-12-08	8	X57
259	2017-12-08	9	X64
260	2017-12-09	1	X79
261	2017-12-09	2	Y1
262	2017-12-09	3	Y27
263	2017-12-09	4	Y52
264	2017-12-09	5	Y59
265	2017-12-09	6	Y53
266	2017-12-09	7	X59
267	2017-12-09	8	Y21
268	2017-12-09	9	X61
269	2017-12-09	10	X77
270	2017-12-09	11	Y51
271	2017-12-09	12	Y56
272	2017-12-09	13	X45
273	2017-12-09	14	X75
274	2017-12-09	15	X84
275	2017-12-11	1	Y27
276	2017-12-11	2	Y56
277	2017-12-11	3	X52
278	2017-12-11	4	Y3
279	2017-12-11	5	X3
280	2017-12-11	6	X56
281	2017-12-11	7	X71
282	2017-12-11	8	X79
283	2017-12-11	9	Y2
284	2017-12-11	10	Y46
285	2017-12-11	11	Y55
286	2017-12-12	1	Y51
287	2017-12-12	2	X55
288	2017-12-12	3	Y1
289	2017-12-12	4	X74
290	2017-12-12	5	Y56
291	2017-12-12	6	X45
292	2017-12-12	7	X60
293	2017-12-12	8	X84
294	2017-12-12	9	Y55
295	2017-12-12	10	X59
296	2017-12-12	11	Y46
297	2017-12-12	12	X73
298	2017-12-12	13	Y46
299	2017-12-12	14	X80
300	2017-12-12	15	X81
301	2017-12-12	16	Y97
302	2017-12-13	1	X91
303	2017-12-13	2	X101
304	2017-12-13	3	Y97
305	2017-12-13	4	X91
306	2017-12-13	5	X101
307	2017-12-13	6	X32
308	2017-12-13	7	X58
309	2017-12-13	8	X65
310	2017-12-13	9	X8
311	2017-12-14	1	Y10
312	2017-12-14	2	Y53
313	2017-12-14	3	Y6
314	2017-12-14	4	Y55
315	2017-12-14	5	X61
316	2017-12-14	6	Y3
317	2017-12-14	7	X65
318	2017-12-14	8	X80
319	2017-12-14	9	Y53
320	2017-12-14	10	X1
321	2017-12-14	11	X5
322	2017-12-14	12	X85
323	2017-12-14	13	Y3
324	2017-12-15	1	Y58
325	2017-12-15	2	Y4
326	2017-12-15	3	X32
327	2017-12-15	4	X57
328	2017-12-15	5	X73
329	2017-12-15	6	X8
330	2017-12-15	7	Y21
331	2017-12-15	8	Y56
332	2017-12-15	9	Y52
333	2017-12-15	10	X58
334	2017-12-15	11	Y21
335	2017-12-15	12	X63
336	2017-12-15	13	X85
337	2017-12-15	14	X52
338	2017-12-15	15	X83
339	2017-12-16	1	X82
340	2017-12-16	2	Y98
341	2017-12-16	3	X92
342	2017-12-16	4	X102
343	2017-12-16	5	Y98
344	2017-12-16	6	X92
345	2017-12-16	7	Y97
346	2017-12-16	8	X4
347	2017-12-16	9	X59
348	2017-12-16	10	X69
349	2017-12-16	11	X80
350	2017-12-16	12	Y60
351	2017-12-18	1	Y56
352	2017-12-18	2	X64
353	2017-12-18	3	Y4
354	2017-12-18	4	Y55
355	2017-12-18	5	X52
356	2017-12-18	6	Y34
357	2017-12-18	7	Y59
358	2017-12-18	8	Y46
359	2017-12-18	9	X4
360	2017-12-18	10	X58
361	2017-12-18	11	X74
362	2017-12-18	12	X80
363	2017-12-19	1	Y23
364	2017-12-19	2	Y57
365	2017-12-19	3	Y3
366	2017-12-19	4	X64
367	2017-12-19	5	X55
368	2017-12-19	6	X84
369	2017-12-19	7	X83
370	2017-12-19	8	Y98
371	2017-12-19	9	X93
372	2017-12-20	1	X103
373	2017-12-20	2	Y98
374	2017-12-20	3	X93
375	2017-12-20	4	Y98
376	2017-12-20	5	X43
377	2017-12-20	6	X70
378	2017-12-20	7	Y63
379	2017-12-20	8	X2
380	2017-12-20	9	Y51
381	2017-12-20	10	Y56
382	2017-12-21	1	X54
383	2017-12-21	2	Y4
384	2017-12-21	3	Y60
385	2017-12-21	4	X59
386	2017-12-21	5	Y27
387	2017-12-21	6	Y58
388	2017-12-21	7	Y4
389	2017-12-21	8	Y10
390	2017-12-21	9	Y92
391	2017-12-21	10	Y99
392	2017-12-21	11	X94
393	2017-12-22	1	X104
394	2017-12-22	2	Y99
395	2017-12-22	3	X94
396	2017-12-22	4	Y101
397	2017-12-22	5	X45
398	2017-12-22	6	X71
399	2017-12-22	7	Y46
400	2017-12-22	8	X56
401	2017-12-22	9	Y46
402	2017-12-22	10	Y29
403	2017-12-22	11	Y59
404	2017-12-23	1	Y56
405	2017-12-23	2	X84
406	2017-12-23	3	Y100
407	2017-12-23	4	X95
408	2017-12-23	5	X105
409	2017-12-23	6	Y102
410	2017-12-23	7	X95
411	2017-12-23	8	Y99
412	2017-12-23	9	Y93
413	2017-12-23	10	X86
414	2017-12-23	11	X96
415	2017-12-23	12	Y91
416	2017-12-23	13	X86
417	2017-12-23	14	X96
418	2017-12-28	1	Y100
419	2017-12-28	2	Y94
420	2017-12-28	3	Y8
421	2017-12-28	4	Y9
422	2017-12-28	5	Y12
423	2017-12-28	6	Y13
424	2017-12-28	7	Y14
425	2017-12-28	8	Y15
426	2017-12-28	9	Y16
427	2017-12-28	10	Y17
428	2017-12-29	1	Y18
429	2017-12-29	2	Y19
430	2017-12-29	3	Y20
431	2017-12-29	4	Y22
432	2017-12-29	5	Y24
433	2017-12-29	6	Y25
434	2017-12-29	7	Y26
435	2017-12-29	8	Y28
436	2017-12-29	9	Y30
437	2017-12-29	10	Y31
438	2017-12-29	11	Y32
439	2017-12-29	12	Y36
440	2017-12-29	13	Y37
441	2017-12-30	1	Y38
442	2017-12-30	2	Y39
443	2017-12-30	3	Y40
444	2017-12-30	4	Y41
445	2017-12-30	5	Y42
446	2017-12-30	6	Y43
447	2017-12-30	7	Y44
448	2017-12-30	8	Y48
449	2017-12-30	9	Y49
450	2017-12-30	10	Y50
451	2017-12-30	11	Y54
452	2018-01-03	1	Y61
453	2018-01-03	2	Y62
454	2018-01-03	3	Y64
455	2018-01-03	4	Y65
456	2018-01-03	5	Y66
457	2018-01-03	6	Y68
458	2018-01-03	7	Y69
459	2018-01-03	8	Y70
460	2018-01-03	9	X16
461	2018-01-03	10	X19
462	2018-01-03	11	X36
463	2018-01-03	12	X37
464	2018-01-03	13	X30
465	2018-01-03	14	X31
466	2018-01-03	15	X48
467	2018-01-04	1	X26
468	2018-01-04	2	Y79
469	2018-01-04	3	Y80
470	2018-01-04	4	Y81
471	2018-01-04	5	Y82
472	2018-01-04	6	Y83
473	2018-01-04	7	Y84
474	2018-01-04	8	Y85
475	2018-01-04	9	Y86
476	2018-01-04	10	Y87
477	2018-01-05	1	Y88
478	2018-01-05	2	Y89
479	2018-01-05	3	Y90
480	2018-01-05	4	X6
481	2018-01-05	5	X7
482	2018-01-05	6	X9
483	2018-01-05	7	X10
484	2018-01-05	8	X11
485	2018-01-05	9	X12
486	2018-01-05	10	X13
487	2018-01-05	11	X14
488	2018-01-05	12	X15
489	2018-01-05	13	Y71
490	2018-01-08	1	Y77
491	2018-01-08	2	X20
492	2018-01-08	3	X21
493	2018-01-08	4	X22
494	2018-01-08	5	X23
495	2018-01-08	6	X24
496	2018-01-08	7	X25
497	2018-01-08	8	Y72
498	2018-01-08	9	X27
499	2018-01-08	10	X28
500	2018-01-08	11	X29
501	2018-01-08	12	Y73
502	2018-01-08	13	Y78
503	2018-01-09	1	X33
504	2018-01-09	2	X34
505	2018-01-09	3	X35
506	2018-01-09	4	Y75
507	2018-01-09	5	Y74
508	2018-01-09	6	X38
509	2018-01-09	7	X39
510	2018-01-09	8	X40
511	2018-01-09	9	X41
512	2018-01-09	10	X42
513	2018-01-09	11	X44
514	2018-01-09	12	X47
515	2018-01-09	13	Y76
516	2018-01-09	14	X49
517	2018-01-10	1	X50
518	2018-01-10	2	X51
519	2018-01-10	3	X53
520	2018-01-10	4	X66
521	2018-01-10	5	X67
522	2018-01-10	6	X68
523	2018-01-10	7	X72
524	2018-01-10	8	Y75
525	2018-01-10	9	Y5
526	2018-01-10	10	Y60
527	2018-01-10	11	X2
528	2018-01-10	12	X61
529	2018-01-10	13	X65
530	2018-01-10	14	X77
531	2018-01-10	15	Y51
532	2018-01-10	16	Y60
533	2018-01-10	17	X18
534	2018-01-10	18	X52
535	2018-01-11	1	X69
536	2018-01-11	2	Y11
537	2018-01-11	3	Y46
538	2018-01-11	4	Y1
539	2018-01-11	5	X59
540	2018-01-11	6	X80
541	2018-01-11	7	Y3
542	2018-01-11	8	X74
543	2018-01-11	9	Y51
544	2018-01-12	1	X1
545	2018-01-12	2	Y63
546	2018-01-12	3	X55
547	2018-01-12	4	Y51
548	2018-01-12	5	X32
549	2018-01-12	6	X59
550	2018-01-12	7	X74
551	2018-01-12	8	Y10
552	2018-01-12	9	Y67
553	2018-01-12	10	Y60
554	2018-01-13	1	X18
555	2018-01-13	2	X52
556	2018-01-13	3	X69
557	2018-01-13	4	Y11
558	2018-01-13	5	Y46
559	2018-01-13	6	X18
560	2018-01-13	7	X3
561	2018-01-13	8	X32
562	2018-01-13	9	X55
563	2018-01-13	10	X60
564	2018-01-13	11	X75
565	2018-01-13	12	X83
566	2018-01-13	13	X32
567	2018-01-15	1	X59
568	2018-01-15	2	X74
569	2018-01-15	3	Y10
570	2018-01-15	4	Y67
571	2018-01-15	5	X3
572	2018-01-15	6	X71
573	2018-01-15	7	X80
574	2018-01-15	8	Y2
575	2018-01-15	9	X43
576	2018-01-15	10	Y60
577	2018-01-16	1	X18
578	2018-01-16	2	X52
579	2018-01-16	3	X69
580	2018-01-16	4	Y11
581	2018-01-16	5	Y46
582	2018-01-16	6	Y3
583	2018-01-16	7	X60
584	2018-01-16	8	X35
585	2018-01-16	9	Y75
586	2018-01-17	1	Y74
587	2018-01-17	2	X46
588	2018-01-17	3	Y51
589	2018-01-17	4	X57
590	2018-01-17	5	Y57
591	2018-01-17	6	X5
592	2018-01-17	7	X60
593	2018-01-17	8	X18
594	2018-01-17	9	X3
595	2018-01-18	1	X32
596	2018-01-18	2	X55
597	2018-01-18	3	X60
598	2018-01-18	4	X1
599	2018-01-18	5	X52
600	2018-01-18	6	X60
601	2018-01-18	7	X73
602	2018-01-18	8	X75
603	2018-01-18	9	X83
604	2018-01-18	10	Y11
605	2018-01-18	11	Y29
606	2018-01-18	12	Y33
607	2018-01-18	13	Y4
608	2018-01-19	1	Y46
609	2018-01-19	2	Y55
610	2018-01-19	3	Y67
611	2018-01-19	4	X46
612	2018-01-19	5	X73
613	2018-01-19	6	Y56
614	2018-01-19	7	X18
615	2018-01-19	8	X56
616	2018-01-19	9	X69
617	2018-01-19	10	X83
618	2018-01-19	11	Y59
619	2018-01-20	1	Y60
620	2018-01-20	2	X17
621	2018-01-20	3	X63
622	2018-01-20	4	X64
623	2018-01-20	5	X65
624	2018-01-20	6	X77
625	2018-01-20	7	Y1
626	2018-01-20	8	Y5
627	2018-01-20	9	Y63
628	2018-01-20	10	X55
629	2018-01-20	11	Y51
630	2018-01-20	12	X43
631	2018-01-20	13	X60
632	2018-01-20	14	X75
633	2018-01-22	1	X83
634	2018-01-22	2	Y3
635	2018-01-22	3	Y47
636	2018-01-22	4	Y6
637	2018-01-22	5	Y56
638	2018-01-22	6	X59
639	2018-01-22	7	X61
640	2018-01-22	8	X75
641	2018-01-22	9	Y2
642	2018-01-22	10	Y59
643	2018-01-22	11	Y56
644	2018-01-22	12	X1
645	2018-01-22	13	X17
646	2018-01-22	14	X5
647	2018-01-23	1	X65
648	2018-01-23	2	Y1
649	2018-01-23	3	Y34
650	2018-01-23	4	Y60
651	2018-01-23	5	X73
652	2018-01-23	6	X58
653	2018-01-23	7	X79
654	2018-01-23	8	Y21
655	2018-01-23	9	Y51
656	2018-01-23	10	Y2
657	2018-01-23	11	Y56
658	2018-01-23	12	X3
659	2018-01-24	1	X32
660	2018-01-24	2	X5
661	2018-01-24	3	Y95
662	2018-01-24	4	X87
663	2018-01-24	5	X97
664	2018-01-24	6	Y95
665	2018-01-24	7	X87
666	2018-01-24	8	X97
667	2018-01-24	9	X17
668	2018-01-24	10	X54
669	2018-01-24	11	X61
670	2018-01-25	1	X74
671	2018-01-25	2	X76
672	2018-01-25	3	X84
673	2018-01-25	4	Y2
674	2018-01-25	5	Y3
675	2018-01-25	6	Y34
676	2018-01-25	7	Y45
677	2018-01-25	8	Y47
678	2018-01-25	9	Y56
679	2018-01-25	10	Y7
680	2018-01-25	11	X52
681	2018-01-26	1	X79
682	2018-01-26	2	Y57
683	2018-01-26	3	X3
684	2018-01-26	4	X57
685	2018-01-26	5	X71
686	2018-01-26	6	X84
687	2018-01-26	7	Y63
688	2018-01-26	8	X18
689	2018-01-26	9	X69
690	2018-01-26	10	X78
691	2018-01-26	11	Y11
692	2018-01-26	12	Y51
693	2018-01-26	13	Y7
694	2018-01-27	1	X59
695	2018-01-27	2	X56
696	2018-01-27	3	X45
697	2018-01-27	4	X65
698	2018-01-27	5	X76
699	2018-01-27	6	X85
700	2018-01-27	7	Y35
